RegionID,RegionName,StateName,SizeRank,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
274772,Northeast Dallas,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.74,1.11,1.49,2.05,0.75,2.44,1.88,1.89,0.38,1.14,1.33,0.76,1.91,1.14,0.76,0.57,0.19,0.38,0.19,0.37,0,0.19,0.37,0.74,0.18,0.55,0.55,0.73,0.18,0.18,0,0.18,0,0.18,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0.18,0,0,0,,,,,
112345,Maryvale,Arizona,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.42,1.9,1.06,1.69,0.42,2.32,0.42,1.69,1.27,0.63,2.11,1.9,1.9,2.11,1.05,1.47,2.31,2.1,2.31,1.05,2.31,0.63,1.05,0.84,0.63,0.63,0.84,0.42,0.84,0.42,0.84,0.42,0.63,1.25,0.42,0.42,1.25,1.25,0.63,0.42,,,,
192689,Paradise,Nevada,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,2.77,2.94,2.42,3.11,1.89,1.89,2.06,3.09,1.2,1.2,1.38,0.52,0.34,0.69,0.34,0.17,0,0.34,0.34,1.2,0.69,0.69,1.72,,,
118208,South Los Angeles,California,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,1.36,3.62,2.26,1.81,1.36,2.71,3.17,1.36,1.81,3.17,0.91,0.91,0.91,0,1.36,0.45,2.71,1.81,0.45,0,0,0.9,0.45,1.35,1.35,0.9,0,0,0.45,0,0,0.45,1.35,0.9,0.9,0.9,0,1.35,,,,,,
192820,Sunrise Manor,Nevada,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61,4.9,6.19,6.45,6.45,5.68,4.9,4.64,5.66,4.11,4.88,9.74,3.59,3.33,2.81,2.3,3.57,3.31,1.53,2.54,2.8,1.52,1.27,0.76,1.02,0,1.78,0.51,1.01,0.51,0.25,0.51,0.76,1.27,0.76,2.28,11.41,,
192796,Spring Valley,Nevada,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,2.79,2.96,2.79,3.28,3.44,4.26,2.28,2.26,1.93,1.6,7.78,2.05,1.1,1.71,2.48,1.69,1.99,1.06,0.15,1.06,1.52,1.67,0.45,0.3,0.45,0.45,0.3,0.3,0.15,0.3,0.3,0.6,0.3,0.45,0.91,,,
268496,Southeast Los Angeles,California,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,1.48,1.48,2.96,1.48,2.96,2.22,1.48,0.74,1.48,0.74,0,2.23,0.74,2.23,2.23,2.23,0.74,2.23,1.49,0.74,1.49,0.74,2.23,1.49,0,0.75,0.75,0,0.75,0.75,0.75,0,0,0.75,0.75,0,0.75,0.75,1.49,,,,,
112547,Paradise Valley,Arizona,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.35,0.7,0.52,0.17,0.87,0.87,0.52,0.7,0.87,0.7,0.17,0.52,0.52,0.52,0.87,0.35,0.87,0.87,0.52,1.22,0.35,0.52,1.74,0.7,0.35,0.52,0.17,0.35,0.17,0,0.17,0.35,0.35,0.69,0.52,0.17,0.17,0.52,0.52,0.35,0.17,0.17,0.35,
111818,Deer Valley,Arizona,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,1.58,1.98,1.38,0.39,0.79,1.18,1.18,0.59,1.58,1.18,0.98,1.77,1.38,1.77,0.39,0.98,1.18,1.18,2.16,1.18,0.79,0.98,0.98,0.78,0.59,0.2,0.78,0,0.59,0.39,0.59,0,0.98,0.98,0.2,0.39,0.98,0.59,0.2,0,0,0.59,0.2,0.2
267955,North Mountain,Arizona,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,1.73,1.73,2.16,1.52,1.3,0.65,1.08,0.43,2.16,0.43,1.08,1.95,1.51,0.87,2.16,0.87,0.43,1.08,3.89,1.3,1.08,1.73,0.65,1.3,0.22,0.22,0.65,0.22,0.43,1.08,0.22,0.65,0,0.43,1.3,0.65,1.08,0.65,0.65,0.22,0.43,0.43,0.22,
