"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",1,93.7609516219397,92.0158024598954,89.091563143218,87.5554665604863,86.0505973295854,84.5685279187817,84.1155896859664,84.4053969250078,81.9075712881023,78.0027254543049,77.1697735017037,75.618271748618,75.5956688255984,74.9164407935215,75.4986701657591,74.0878629932986,72.5537004878963,72.5986597170514,70.2479338842975,69.5634498480243,70.484410849956,74.3148118306386,74.2494583720211,73.037323037323,72.434004766958,71.9344842850819,72.6799740514763,71.1820534943917,73.1799163179916,74.0627724498692,72.684088222838,75.2612169637369,75.6421112051933,74.9362244897959,78.1105628621001,78.2227784730914,78.4366576819407,77.2411128284389,78.4366576819407,80.8176906696112,87.9068662390116,85.0979635970819,87.828680085354,95.0173802251324,93.1807881848441,97.3344385201725,99.4987346617005,96.4963963185339,96.800324017821,97.2342264477096,101.169775529561,98.2224839185263,101.044474393531,102.214005922669,105.147222960871,107.538802660754,104.099935938501,104.988786492338,106.150142263077,105.786344483857,104.565316431706,104.828188701223,107.598813280095,106.971493084956,103.88141809291,103.108188882247,107.272727272727,110.432747619217,109.630807453747,107.572410407462,106.866374566989,106.866374566989,107.816711590296,110.222489476849,108.218079775506,109.979633401222,115.337234370188,115.40558543445,118.998015873016,117.740384615385,116.285602917384,115.977305607739,115.315228096752,115.20390070922,113.814814814815,116.057656308499,117.97883149873,119.627842244799,122.585110319481,124.903703703704,130.1578510108,131.322227224974,132.171060582604,130.890052356021,133.923845416297,131.34890341156,131.375579598145,132.582012489786,126.426718547341,136.889641546712,138.709080821158,137.441712891493,136.619693315529,142.231630847172,149.340574088441
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946.72131147541,2050.83776595745,2206.81043527929,2332.21476510067,2303.31495774529,2324.17320944997,2076.83482743671,1999.85706117782,1999.71412235563,2001.43472022956,2176.47058823529,2001.43472022956,2200,2155.88235294118,2176.47058823529,2210,2226.2983706721,2210,2217.5,2217.5,2200.05285412262,2205.02642706131,2382.54015912235,2402.92801108919,2338.72669859929,2407.60020822488,2402.92801108919,2222.91508720961,2154.53194650817,2154.53194650817,2056.82154483575,2146.66666666667,2237.7075864816,2266.00985221675,2146.66666666667,2228.27797985736,2167.99458380844,2091.95672624647,1978.75609773884,2167.99458380844,2112.5,2203.4877851807,2112.5,1995.43899657925,2004.08765754513,1984.03648802737,1997.75533108866,1877.58952186435,1874.375,1869.04901845539,1876.37668918919,1846.59090909091,1802.74566473988,1751.41242937853,1723.93814139111,1737.5,1710.37628278221,1621.11111111111,1710.37628278221
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,123.456790123457,123.039581777446,123.039581777446,121.05349356647,118.453865336658,115.792759051186,116.403532245116,115.967571378216,99.5831403427513,99.1901956009289,116.758241758242,110.714285714286,110.714285714286,117.416829745597,109.123485486979,106.036703506266,106.686190046833,115.044247787611,115.493958777541,110.978520286396,115.4554882346,115.10989010989,110.819892473118,120.187479075996,112.731127782749,120.187479075996,120.187479075996,112.765640567385,118.806488003008,122.52346193952,113.615331195928,112.609762075805,117.851542158077,118.373648996397,127.454343658561,128.929730476468,131.099025306793,122.8550318164,130.22350090854,144.769503546099,146.743990513127,153.810866658644,155.377056417384,144.769503546099,146.562364655634,156.821745948772,147.069338940385,151.594354417146,154.487038448122,161.20218579235,164.887816841507,166.425470332851,168.018539976825,162.809917355372,162.126318101933,175.95265566515,176.814268142681,175.78125,180.433207522172,179.761801931565,179.112663232445,178.288633461047,177.226717555131,173.710601719198,178.799489144317,176.630434782609,174.867021276596,181.086568292619,190.59795436664,190.972222222222,193.086195133045,188.441337697415,189.550024723916,192.149327477354,195.777351247601,200.121527809867,202.266287321869,203.850958884516,202.257076552703,203.739213806328,204.814246260392,204.526736084157,212.515883100381,213.87875046302,216.126350789692,216.025137470542,214.35285765983,220.143093010457,212.515883100381,234.839906038635,238.453815261044,236.284841118814,238.453815261044,243.081525804039,243.081525804039,243.133080126307,253.818607853737,255.72960855446,267.789273824386,268.50022992259,266.085745833703,258.741258741259,268.798869339918,265.688259109312,276.277372262774
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2528.68399225878,2500,2505.55555555556,2569.44444444444,2572.08692879681,2597.07513867877,2855.71428571429,2830.87582084038,2847.44523226606,2824.00403429148,2919.32059447983,2836.51064122722,2723.1467473525,2740.26807710811,2723.1467473525,2741.17151233724,2723.1467473525,2695.76549734206,2829.58808940892,2821.42857142857,2723.1467473525,2640.65831556503,2723.1467473525,2723.1467473525,2551.61215495245,2522.93779892455,2499.97826529425,2499.375,2340,2357.13125406108,2357.13125406108,2387.42157458004,2357.13125406108,2346.31628343501,2330.33551893201,2337.71929824561,2204.2115434006,2240.37393434352,2277.94165847263,2205.53730642891,2124.7723132969,2015.46391752577,2043.10344827586,2189.51707891637,2206.33401823992,2257.24637681159,2376.54320987654,2414.98275012321,2555.24861878453,2346.24017957351,2270.65786478489,2248.75,2227.94036502547,2222.81075429761,2266.75114237614,2393.00793978613,2409.47266969572
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",5,69.9745547073791,70.1230361954898,72.4189701399096,71.2939378502292,63.1710613163876,63.280371362631,63.1710613163876,60.7956368302855,60.4207495388492,60.377358490566,56.9440050616893,59.6107055961071,55.0275229357798,58.7751825114165,59.0108751941999,58.6088906266985,55.463482392498,56.2347188264059,53.279427359491,53.3333333333333,54.4711014176663,55.8803427478642,54.6788990825688,51.4584717607973,52.6686474547749,52.5872949095499,52.3353141214416,51.4645299980457,54.422241542598,55.8924731182796,57.2916666666667,57.8592092574735,58.494147421702,59.018759018759,59.2468217798033,62.1719358643436,63.8203784070239,62.1719358643436,64.0006440616728,64.0006440616728,68.0457267283615,66.646126082373,62.9809340188518,62.6285347043702,64.0160184647704,65.0100437197211,61.1306673458991,57.742639040349,59.8042761670681,62.296858071506,67.5292449485998,69.6220226976243,70.8192587032245,67.2113863995783,74.2255575601704,68.747697563874,76.8049155145929,75.8906986745304,75.2293577981651,71.3882356554574,80.8595524420497,77.4519821430744,74.3701704244734,80.4049681723513,81.5639564992232,81.5380631796996,81.2903225806452,80.7635829662261,80.9747504403993,85.7740585774059,81.9327075771325,90.1767863108773,91.1761849261849,88.0153005391555,88.0681818181818,90.1875901875902,90.5052766545287,91.6129032258064,100.008460565983,98.8042364243127,95.296423321901,100.372999816647,99.4878748774668,100.590128755365,99.7975122938964,99.0598964571637,98.9010989010989,97.5801881079462,98.064187468161,96.0428571428571,97.9552089983716,100,100.514258999532,102.701115678215,104.413928820433,104.602510460251,100.418410041841,104.411244292706,102.661266994504,101.769911504425,106.421356421356,114.079226726263,120.070057158523,119.414678899083,119.494364851958
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",6,101.556576519934,102.918032786885,100.378577581734,100.950697664856,98.3763837638376,97.2045814882772,95.1472191930207,91.4136467515508,94.7795275590551,91.3031624863686,91.3584046189597,89.2792894995156,90.8653846153846,87.5055383252105,84.3949859299053,83.5697012203862,83.6871674235248,84.3867156428759,81.7137809187279,80.9073107049608,80.1232502009022,80.0760848889976,79.8212005108557,78.5869427401172,78.642355263538,79.6035525704615,80.2554744525548,85.8522971232289,84.5384615384615,86.7075664621677,84.8044305988231,85.6168266389239,87.8563061304178,89.9337330388135,89.936191672781,93.152771308803,101.137800252844,105.452240067625,102.282195029753,105.962897526502,107.319818932195,109.245639840303,109.901781000806,110.4734408375,110.916907290075,115.78073089701,115.567200986437,115.233641500998,115.422165933367,114.516888888889,119.944072536158,122.36368371112,122.478386167147,118.074280807213,117.37240730546,118.187205313973,118.515649654302,121.911374310803,118.512780790085,122.155431515672,118.819994537012,120.307111464668,118.256663544455,119.274809160305,120.150922302963,120.785223929389,121.578259462599,121.133275513154,120.280654861343,121.072688361638,120.405607368516,119.378098242452,123.054755043228,127.188392232496,126.817405056573,126.845444059977,127.451051719531,127.052990393554,128.242074927954,130.547976501305,126.923076923077,126.583885703629,127.071198451001,126.186726382524,126.79416737109,127.807900852053,131.09664193888,132.012651265127,132.27566845705,134.342940889106,137.11536643026,138.367231777001,136.939830402577,136.489604685212,137.024344578977,137.160895261074,137.777738427915,138.628639557458,142.045454545455,146.711932717074,147.719215315528,147.719215315528,147.327740535537,151.957977648023,149.728445958274
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",7,113.215488215488,113.333333333333,111.434108527132,111.845449923742,104.909777591272,104.909777591272,103.305785123967,107.531249258794,107.142857142857,109.915809167446,114.018425577397,115.740740740741,111.105959790749,106.077981651376,107.424960505529,105.858150458898,104.49096331947,103.129445234708,102.527472527473,101.166605905942,103.194444444444,103.027754415475,105.555555555556,106.177606177606,107.25321888412,102.257181942544,105.321390937829,107.168762088975,107.168762088975,114.516932270916,120.923683825301,121.346304048781,116.56746031746,117.515673981191,118.796198521647,119.261477045908,132.661290322581,145.292207792208,145.79386446538,145.84533239291,149.007378688075,150.458522040744,147.434126153794,144.975801287046,144.04609475032,144.71172203131,147.989957887917,145.336478104262,152.521735881019,156.716417910448,160.993247758102,160,160.086629656974,173.627223511214,174.111131235086,170.105633928603,168.311085316309,169.566674017404,170.611959710001,170.399221032132,165.9678546471,167.768558563718,170.613790247992,171.242442166141,173.091396811919,185.733070348455,185.23279031826,183.733463988241,186.892809439003,186.904310612277,182.216748768473,184.07960199005,183.201466879016,189.256980596309,188.875828343642,190.874343048256,196.498749553412,196.498749553412,198.911252488274,208.19480077491,204.353628419453,199.76329787234,204.285714285714,205.317261904762,207.203718048025,206.34880952381,205.012077294686,217.88767497817,225.962521962851,220.109554777389,221.828327248589,225.823591923486,220.507651084711,229.416809605489,221.845935261316,227.287331337894,232.79919500757,228.624535315985,237.593806251023,237.593806251023,242.105263157895,247.85069084698,255.375078468299,249.521072796935,247.974687662676
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",8,147.175331530318,165.459865680962,146.715643906655,143.298969072165,133.386868484757,132.555673382821,130.192810314632,130.160388047019,132.454970397234,135.44939972912,134.597792562154,135.309180103862,135.639853254584,140.768854064643,141.364192740521,135.640941961828,134.169370227016,133.657351154313,132.854554931506,133.657351154313,133.590257377028,130.737943056363,130.127352024481,127.07054296589,127.689630810755,127.620841180163,127.620841180163,127.601429095549,133.233852057131,140.761636107193,137.084685995027,136.679206765821,133.806038426349,130.401655350101,131.402652712905,128.205128205128,130.362113931282,129.437678154962,133.536818008394,137.492762015055,137.995629097721,136.13595706619,140.015480768483,144.645753140803,150.107411385607,149.983316649983,149.983316649983,147.369905152525,149.846365454596,151.293433136217,150.179061918163,148.090005232862,146.153846153846,147.869019939407,146.962018889807,145.722213658085,146.233382570162,140.582655826558,144.458506599168,151.190500188988,156.452540321304,169.440058301956,169.440058301956,159.163591635916,159.163591635916,162.551027256965,159.620362381363,156.3796442883,158.765510658606,162.741719318399,169.746247319514,162.016020949522,167.36210418703,163.638843426077,168.154843706655,176.423130432787,161.694290976059,168.152505985557,177.076097862159,170.997413049727,169.345379096197,172.042942865714,175.023651844844,172.204213938412,172.199170124481,184.297713485768,185.985230430004,179.878957614958,182.111298348064,174.199467780451,172.370486656201,178.356236786469,185.794205794206,187.15763846622,184.297713485768,185.922868042319,184.274840994852,187.516093893811,187.96992481203,185.847052575677,190.872302158273,190.025954764553,186.040735221063,185.406698564593,185.723716892828
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.851674641148,358.851674641148,360.959870941722,349.666666666667,365.151515151515,379.52380952381,411.735294117647,418.709033613445,416.458333333333,430.555555555556,432.5,432.5,420,443.154761904762,443.005952380952,456.027488116459,464.139660493827,450.694444444444,493.518518518519,472.462462462462,454.431704545455,464.092887254902,465.770553297906,462.369084044999,467.554169493651,473.783116681928,457.875457875458,498.765,489.282879068537,476.316485842816,476.316485842816,505.952380952381,511.70591456736,521.738742596161,549.666666666667,548.270833333333,529.019607843137,529.019607843137,528.605015673981,483.548387096774,450,490.195588235294,510.9125,516.433823529412,523.897058823529,525,524.84535480859,509.410014005602,520,512.867647058824,520.157368502957,531.580687830688,498.511904761905,505.952380952381,505.952380952381,521.590909090909,536.541005291005
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.874089490114,319.67993083812,370.972440167332,370.398950536307,383.742182368564,403.431662963728,400.909334046537,386.59793814433,393.127548048923,392.259414225941,364.145658263305,345.025850575094,348.932078011396,356.235107227959,364.145658263305,364.680828740171,364.680828740171,342.433910185392,350.363252870869,350.363252870869,351.171875,346.246178169939,372.800234595846,365.408038976857,383.523418170355,375.308040113889,374.530415477238,396.014851485149,412.946428571429,396.014851485149,408.380681818182,408.380681818182,417.816665625219,421.209853402466,418.760473911937,405.141843971631,403.439543049876,379.812563323202,396.795755429915,409.821072772828,404.087779572046,423.845818136716
