"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3778518233547,74.3452380952381,74.0384615384615,67.8919393540596,65.0404906307958,63.3116883116883,62.0860927152318,66.7069184231069,64.5788912579957,68.4523809523809,61.7556238831073,61.8448637316562,63.034188034188,70.5882352941177,82.5228134740321,78.5714285714286,70.8279220779221,73.802294197031,74.8674077578051,78.7428571428571,83.5253456221198,86.5800865800866,88.2117080994387,89.1865079365079,88.1944444444444,82.2941176470588,88.4255952380952,96.5029761904762,97.0940713590412,91.7432598039216,96.0703347188799,96.5423669467787,104.988302139037,107.141428571429
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4578713968958,66.2951937135484,64.0781054174247,69.6282442748092,72.6609848484848,71.3804713804714,73.5430071817012,75.0886524822695,78.3333333333333,77.120822622108,77.120822622108,84.2370539896007,86.4235055724417,89.6091515729266,88.7311446317657,88.7311446317657,88.9363748268964,90.1442307692308,93.9226519337017,92.4340072393396,92.8525821596244,96.2069451674475,95.0721191501093,96.8013468013468,98.9583333333333,99.7916666666667,100.211160588069,103.645833333333,100.145137880987,102.654109589041,107.244523153614,103.167593328038,102.282186459489,101.834862385321,106.239537968925,107.692307692308,108.903662645954,109.536082474227,114.784205693297,116.305572894992,118.827160493827,119.67266648955,117.403314917127,119.384172605758,119.594840819052,119.047619047619,113.865147198481,121.584664536741,131.038438289922,122.406639004149,127.41935483871,125.391849529781,124.198958691547,142.1313128695,125.541125541126,130.104166666667,131.604886601064,130.260521042084,144.926328502415,148.427307810292,169.444444444444,154.479695653557,149,169.426900584795,160.885569968495,151.319569120287,154,160.688665710187,164.046140195209,171.747835497835,172.5,168.701298701299,169.912858660999
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.7757343872699,57.0066730219256,57.7281191806332,56.1797752808989,58.5284280936455,59.3331877906802,59.2718035563082,61.0367892976589,58.5284280936455,61.0367892976589,61.5491009681881,61.286945936365,60.1851851851852,59.5903165735568,59.8821981782068,60.1851851851852,60.5652521104266,60.4799143155939,60.3703703703704,60.5968388811439,60.0818842636587,60.3080082135524,60.3080082135524,60.61872909699,61.088295687885,61.8056391611086,62.6750700280112,64.5763800921591,64.3056849953402,64.5756457564576,64.5298863702923,66.8386783284742,67.0391061452514,66.8641552177488,67.0391061452514,68.6245476860925,67.0615924286185,68.9697293047287,68.9816256888982,69.6636588214622,69.4009156545498,69.1519105312209,74.4047619047619,75.4310344827586,79.2556857339766,82.939296657645,80.5585392051558,84.3253968253968,84.4512556266288,87.2638603696099,89.3223819301848,95.3042328042328,95.2380952380952,95.2380952380952,97.7653631284916,106.33021681579,106.802721088435,109.532888465205,112.222222222222,115.648948093068
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",4,65.8934977578475,65.1813471502591,64.8538508844915,66.4342088445808,66.4672722131901,66.4621676891616,67.1474092646517,67.2794117647059,66.4621676891616,64.8051948051948,63.1774094453329,61.9950762222425,61.0115911485775,58.1387043189369,58.6409395973154,57.5889561494168,56.8663326693861,57.1188676982128,55.7901037509976,55.1730159329457,56.2864450266608,55.5168773079524,54.1922290388548,53.7634408602151,53.9072847682119,55.0511266922651,55.655737704918,56.5610859728507,57.6043068640646,57.6043068640646,59.896088321327,64.0074982958419,66.2068962100123,66.6853512705531,65.7118370772036,67.9905479621389,72.294776119403,73.4162895927602,76.4499121265378,78.4753363228699,81.4635564768466,83.4151128557409,85.1500650642467,90.2335456475584,90.2518364160964,90.271021542738,90.2335456475584,89.4359892569382,86.8173331251607,89.238578680203,89.5637570862779,90,90.7643018974795,91.6100735818311,91.3829416884247,91.3829416884247,92.2279792746114,92.8571428571429,93.3257091690981,94.1535180928075,93.1477516059957,94.9775051124744,93.4182590233546,96.4187882504926,97.2904318374259,99.2261926816745,99.5475113122172,100.351007784844,100.446927374302,100.966889234428,101.184556624509,100.188146754468,104.540061200275,106.16470542426,106.177606177606,105.115776435198,104.763781996721,104.477611940299,105.794668294668,107.209488272921,106.9912838058,108.184383819379,109.970674486804,110.823124922664,114.117929050815,115.052732502397,117.790414297319,119.170984455959,123.161764705882,122.564821303434,126.050420168067,132.368816024938,136.932707355243,136.999068033551,141.195652173913,141.76245210728,142.795353435492,145.710784313725,147.687374135365,153.186274509804,156.73289183223,158.041603863795,157.266700935981,161.422054025343,162.188099808061
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.22064287111,119.393382352941,114.432989690722,120.005577867024,115.990057995029,120.034542314335,128.938006340261,126.333210752633,129.159519725557,135.229026036644,128.823529411765,130.120300403319,131.146721311475,131.081081081081,136.752651880424,139.028318438511,136.065573770492,135.655737704918,137.775735294118,131.081081081081,131.081081081081,137.68170169144,136.977549700436,137.896825396825,130.019367333764,136.744407663133,137.069461465142,148.187808896211,157.710758345914,157.710758345914,162.296045766249,158.415147265077,153.27868852459,155.529129607169,155.147419110942,155.76015108593,143.952546296296,149.229287090559,153.283723655722,153.436426116838,157.101669561861,154.337876706543,158.823529411765,161.22038989006,156.836518046709,163.541666666667,176.352941176471,175.459929435484,177.431539187913,170.036764705882,167.587449969845,176.352941176471,170.470588235294,160.437493318155,169.565756499948,181.130573248408,182.720588235294,188.76298394712,190.098071164541,185.483870967742,188.235294117647,186.997880233174,186.448598130841
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",6,68.3890577507599,64.6364307684796,65.4069767441861,60.8497375328084,64.9334415584416,59.7727272727273,60.1662668541649,61.499720201455,53.7391971099595,53.7420382165605,55.7324840764331,55.3384858206523,53.1594784353059,53.1594784353059,50.3120463270639,50.2012072434608,49.5661354599902,49.8771498771499,49.6296781508049,49.3462114151769,49.6342737722048,48.8375851673724,47.5681676880718,49.0581490581491,50.8678881388621,53.8104089219331,56.6427627854312,59.5439189189189,60.790273556231,64.0158182275356,55.6983718937446,63.0363468622825,67.7282377919321,67.7282377919321,67.9916317991632,68.1110422370301,67.7016985138004,69.6362497001142,74.6251497005988,73.8798856053384,69.6362497001142,77.6152274898692,80.5471124620061,80.5330243337196,79.7649034424853,82.270949248616,82.2564005119943,80.0619834710744,86.5633074935401,90.1979659478221,98.3427043253481,99.4318181818182,93.2626199379597,91.5621986499518,91.5727659916426,89.8376448684334,93.75,91.5605095541401,93.1098696461825,98.5963146497033,98.5573041704731,102.623880148354,102.458504098361,103.227834078898,102.987521996481,103.343465045593,100.206611570248,98.9329268292683,102.789256198347,100.723140495868,103.062426383981,99.304892601432,106.566200215285,108.922363847045,108.25,112.788823213326,113.474025974026,115.295480880649,111.239860950174,115.69416498994,114.942528735632,115.295480880649,115.496577649627,120.724346076459,121.040564998028,122.686116700201,126.59816125533,124.833333333333,127.52469482814,124.503630526588,128.757928505348,127.433703295772,128.004179728318,135.174418604651,137.791932059448,134.474522292994,131.037258583347,132.724341751746,134.962805526036,135.714285714286,132.882165605096,135.532302092812,141.904309957437,143.422354104847,145.290697674419
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.1437573352708,85.9913793103448,84.7509389460731,84.7639484978541,86.1148197596796,85.0891410048622,79.8447745901639,80.9749034749035,88.7220553887221,86.7490506153676,81.3398692810458,86.3899613899614,86.591207110075,86.2348158598159,95.6737588652482,103.251162850461,100.043516100957,100.712779625383,106.467661691542,105.051851587648,109.233565513257,99.9992592592593,100.292611558157,96.7453213995118,96.6263693703663,102.699972379355,104.763622620765,105.745374432127,105.795768169273,108.843537414966,112.668126611375,110.913930789707,104.953274917227,106.273056486276,107.954545454545,113.146551724138,111.940298507463,112.316176470588,119.201812230898,123.328432645224,120.137299771167,115.33692002442,114.086798001773,113.855421686747,114.392461141632,118.578927634046,121.969080553295,122.504503370828,122.390963169836,125.3861003861,130.612244897959,133.397270409599,136.681864235056,134.629768137622,134.51918514408,141.133018000376,140.823177954594,140.837869511018,141.176470588235
"Astoria","New York","NY","New York-Newark-Jersey City","Queens",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.231323722149,813.77151799687,813.690786048933,822.075155021137,822.294022617124,842.754367934224,878.134408602151,882.656947890819,863.309352517986,867.552112156429,872.235061076263,874.850924269529,887.179487179487,900.679819348705,880.42049934297,868.115942028986,888.423927263213,880.42049934297,889.571886446886,868.024800708592,921.028880866426,946.961325966851,977.18594764302,1012.23056515345,1011.86215375562,997.693194925029,1017.05960264901,1036.50962647502,1013.31114808652,1041.82121841804,1042.91845493562,1042.91845493562,1062.5,1078.26086956522,1065,1032.42029697565,1000,1010.8672207657,1005.85480093677,981.387478849408,960.461547047661,959.677419354839,968.14404432133
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4832712025549,100,98.506213723605,104.979345180626,108.695652173913,105.581304272745,107.594936708861,107.753705815279,109.746239787523,110.048851961237,108.721019772305,110.213864306785,114.687526179107,117.794585987261,120.330275229358,117.147141250602,121.811700777027,120.390367191831,121.184701179158,125.605811823931,125.583482944345,126.228269085412,128.361858190709,129.837847469708,137.395938582411,139.130434782609,138.084242933109,135.843549774128,142.142857142857,140.014648208481,142.361111111111,148.396674584323,149.560656132741,151.398601398601,153.631341126539,159.303148910811,159.681322326952,159.592529711375,159.398789499711,157.72266065389,158.103819284093,159.84015984016,160.508701472557,161.073825503356,164.558518809617,166.95652173913,166.95652173913,166.40127388535,166.096773359087
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.959078996175,791.666666666667,796.778763242178,789.66894977169,778.761061946903,757.191201353638,745.092309721999,803.448275862069,803.448275862069,812.441968430826,789.196310935441,810.324129651861,815.523059617548,813.01773461385,815.523059617548,813.01773461385,814.4750254842,820.225152246352,831.351351351351,825,835.903083700441,855.024916278101,856.807511737089,858.32178865543,871.17197080302,887.075469411638,898.65563598759,900.88775231235,906.47796710544,919.681482299694,923.151750972763,903.11986863711,887.573964497041,883.64434687157,895.900429414922,905.440414507772,906.666666666667,915.363385464581,915.167829516025,907.438016528926,913.637172106511
