"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651.90960750628,1792.3424179839,1866.15886833515,1899.44134078212,1895.8543983822,1878.66108786611,1878.66108786611,1899.44134078212,1895.80238505951,1903.52096845365,1849.16201117318,1869.98645504044,1869.98645504044,1869.98645504044,1869.98645504044,1866.15886833515,1859.81956974323,1868.66225625346,1872.48984295875,1859.81956974323,1849.16201117318,1866.15886833515,1893.51261669979,1880.00851003475,1882.68156424581,1873.81404174573,1876.23756480592,1866.15886833515,1876.23756480592,1862.98921903919,1868.73972193153,1862.98921903919,1875.71064308867,1830.76923076923,1516.20596890031,1516.20596890031,1484.84848484848,1485.20862272985,1485.56876061121,1485.20862272985,1485.20862272985
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,124.907581407537,127.551020408163,128.787878787879,131.364482974652,127.954114196998,128.784233701392,129.334466544752,129.419401447616,126.221506535197,125.679347826087,126.524002601766,123.722431414739,125,124.282982791587,127.436076976395,126.548406082755,125.850957218882,126.050420168067,125.307881773399,123.236087369421,123.456790123457,122.274172950936,120.421475163071,120.187479075996,120.402530623462,120.383586083854,124.760076775432,122.897067036106,127.231734248357,127.687767812428,127.917414721724,127.365356622999,133.752620545073,134.673467895276,133.752620545073,133.876050420168,142.930748465839,148.499693815064,151.706700379267,164.851784633999,166.6,171.680683492394,178.712779474552,177.627627627628,178.826955074875,185.594343791427,180.968688845401,188.7031408308,185.104864203406,185.104864203406,183.390570934256,182.056892778993,182.47619047619,185.009487666034,178.207739307536,181.050090525045,183.142440572863,184.689642531605,196.078431372549,193.477059148701,190.951571792693,191.973824786325,188.845401174168,189.374623664007,193.396226415094,198.110094183004,201.577840112202,203.962703962704,202.9501525941,200.688073394495,204.79826546003,204.128440366972,202.179133997316,201.277958400251,204.026608726348,205.746949946007,216.207349081365,219.651933405826,219.09355760774,222.382522146421,221.423164269493,217.391304347826,223.186608803472,222.48243559719,226.071943587519,229.82186615203,234.789644012945,238.966424695812,239.620383036936,240.689193930873,240.689193930873,243.184634448575,243.85480711179,250,250.956022944551,255,259.765625,259.765625,268.757467144564,279.965259304014,283.643892339545,271.051433773327,284.789644012945,278.788685331197,284.146341463415
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,118.397887323944,126.05198019802,120.251064875491,122.979331840465,121.182031774446,120.251064875491,116.666666666667,122.473974280465,119.720303191403,122.473974280465,123.535001583782,121.70794424144,125,119.304749757368,115.384615384615,112.923728813559,114.944762127047,114.854517611026,117.096018735363,114.625703158806,113.520375351869,112.765957446809,116.615452057366,119.128658951668,120.958373668925,115.132845591067,116.634799235182,116.705250084881,122.730828118129,121.96996553422,122.314873018885,125.970692786531,126.853888345824,127.560516026136,128.240064195768,132.956809600334,140.771637122002,146.295521138552,150.08576329331,151.982983242018,151.650172406072,151.696553944129,151.236263736264,152.625333971888,154.615017878427,158.407365323391,159.347826086957,165.983520216922,169.955654101996,173.723425873372,169.63296447302,175.039405094375,180.532964418196,186.060047037102,186.169680851064,184.716599190283,180.457746478873,184.86096807415,187.733879590428,182.186234817814,179.613237850479,181.66441327514,182.57804632427,186.247493544941,190.120381901204,196.294548039968,198.262839879154,198.492517904556,197.760365171674,196.93930717128,192.944422173647,192.112497186767,194.723618090452,199.545454545455,200.446428571429,208.700117370892,216.219463356027,222.222222222222,221.984006734007,226.528345477164,226.470588235294,230.263157894737,232.113599126161,233.692618452922,235.824378718495,234.115347018573,234.763226669668,236.220472440945,239.728056910828,238.300492610837,238.095238095238,242.486338797814,242.49574829932,248.547449967721,247.252197802198,245.961474867725,250.72090449655,254.787953642996,255.997346707961,256.672155934202,259.424077103493,262.328213419563,269.933139534884,266.190998902305,267.45812339974
"East New York","New York","NY","New York-Newark-Jersey City","Kings",4,213.028863400359,211.466165413534,202.79382801502,205.583645443196,202.034705159705,200.627507217036,203.287037037037,200.729927007299,200.610061542865,197.981463474213,196.572249589491,197.115384615385,195.281124497992,190.355329949239,186.025521319639,183.493635382956,182.692307692308,179.532754562023,180,178.064058956916,178.77358490566,178.183106575964,174.375,175.538935327761,175.961538461538,175,176.629161682616,179.81981981982,179.59375,183.919270833333,186.298076923077,183.210784313725,188.15987933635,191.6,191.907051282051,193.75,193.842645381984,195.240213523132,201.442307692308,203.381737945591,208,209.920634920635,206.631787330317,208.637096774194,208,209.920634920635,212.765957446808,212.632978723404,214.442867790391,212.083333333333,214.424951267057,218.75,218.602467811159,218.927845528455,225.524475524476,238.070539419087,226.959770114943,229.501915708812,227.586206896552,227.831876940534,238.382816014395,239.620893429487,238.070539419087,240.740740740741,241.037684915236,251.851851851852,254.8463356974,258.888888888889,258.888888888889,266.203125,267.137811309874,266.459074733096,261.368033425487,266.666666666667,271.516183941483,278.298624140088,287.927927927928,299.121405750799,316.631430584919,318.181363636364,321.501543209877,323.079629988018,324.240578188259,329.5,333.190627650551,329.359053497942,327.941176470588,327.805539691605,328.936851211073,327.669902912621,325.652173913043,325.326086956522,317.10758377425,316.666666666667,323.840277777778,319.204980842912,319.204980842912,334.134615384615,333,327.020554315476,332.618194323776,336.256725146199,342.999592999593,348.082595870206,349.5
"Astoria","New York","NY","New York-Newark-Jersey City","Queens",5,,,,,453.155701583845,451.785714285714,439.816691695905,434.947192135927,421.428571428571,420.168067226891,428.082191780822,434.719535783366,424.755381604697,436.869565217391,433.040614709111,432.627272528685,427.182121531437,407.697325505545,410.867579908676,405.206286836935,406.45180617124,409.28245270711,408.255006129955,407.97616581775,409.561293019315,409.561293019315,398.432790837854,420.608585858586,413.133402275078,421.875,432.213930348259,431.754874651811,432.464454976303,446.875,463.333333333333,479.162019772786,461.666666666667,460,459.166666666667,432.899891774892,448.926767676768,436.875,422.001438042313,417.692806221646,417.692806221646,433.367768595041,443.885009770986,447.181784247854,450.051834130782,469.148222669349,481.005694332876,479.385906040268,493.408877069385,500.022582654741,531.16384180791,528.885272579333,522.040302267003,509.259259259259,509.259259259259,564.363143631436,590.876228901297,598.23677581864,583.515681983953,572.81531198773,587.797619047619,588.928571428571,597.5,597.5,576.923076923077,562.570462232243,562.570462232243,573.426018920495,587.790680024287,630.769230769231,617.380560131796,635.127314814815,660.443325200824,671.069182389937,660.443325200824,653.306878306878,639.869909849135,633.333333333333,656.730769230769,687.427936089606,645.00442086649,683.535994697665,696.425585284281,726.92793931732,679.332729468599,672.915559598369,672.915559598369,652.923076923077,653.846153846154,653.846153846154,706.535714285714,699.5,719.346393897365,736.525797187562,724.11591216979,701.229289940828,718.519518272425,702.958579881657,713.928571428571,727.223910681385,725.794314381271
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.225411659991,370.601851851852,388.340807174888,388.888888888889,401.785714285714,416.666666666667,420.168067226891,433.333333333333,433.333333333333,433.924026117751,434.439178515008,440.47619047619,446.279761904762,458.333333333333,473.214285714286,472.222222222222,475.011293054771,486.725663716814,485.008818342152,489.609522313011,500,505.99700149925,493.826748971193,493.621193415638,500,515.130517546031,533.53115727003,534.207112332112,545,546.127562642369,555.555555555556,559.643958508551,562.748024097717,555.555555555556,555.555555555556,569.047619047619,555.555555555556,564.827127659574,571.065989847716,585.553413579086,583.333333333333,583.187475690393,586.672951318342,597.222222222222,595.676172953082,593.021465808034,592.666666666667,586.476540938363,583.187475690393,592.013888888889,601.250601250601,601.250601250601,614.583333333333,605.052383958634,609.451006778309
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164.33566433566,1155.40540540541,1144.04554584992,1144.25621732648,1150.32679738562,1155.40540540541,1185.29269472666,1189.27340155956,1166.66666666667,1183.04825368537,1191.40625,1131.22171945701,1129.87959442332,1138.09523809524,1171.30382747322,1159.14948453608,1142.20482713633,1126.12612612613,1101.69491525424,1170.21276595745,1191.40625,1178.16593886463,1150.16021401064,1142.24137931034,1127.23796817578,1075.38461538462,1072.58064516129,1058.75,1053.37771203156,1032.52923976608,1022.36663814007,1042.1485260771,1028.93890675241,999.442915698625,1041.66666666667,1035.27530112735,982.416251787918,1002.31481481481
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.289340101523,315.257352941176,318.652022991938,312.322544009086,314.213197969543,353.679341471563,341.830699671173,339.252180605439,339.252180605439,319.446661318167,314.213197969543,321.463440787394,314.546599496222,315.890483276326,319.67993083812,326.483579796428,324.074074074074,345.899727944034,356.339084771193,351.963674658098,361.660079051383,377.839592025962,392.259414225941,371.645689859891,364.145658263305,367.96563590899,370.905587668593,375.738362731566,373.516168645108,376.733600908194,365.918328930897,373.516168645108,377.438808087974,373.205107909226,395.924684034047,421.708976308478,448.158914728682,439.824070371851,421.052631578947,433.455882352941,433.734939759036,440.23344524295,431.681015169942,450.819672131148,452.429836065574,446.428571428571,443.249668288368,468.138624930129,459.066897899365,464.49900464499,456.100342075257,459.627329192547,461.508852963818,439.626317379052,441.338727473336
"Crown Heights","New York","NY","New York-Newark-Jersey City","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.477317554241,398.333333333333,431.347150259067,447.523974867725,452.048669201521,447.523974867725,464.939024390244,451.817985394411,452.048669201521,462.778038847118,452.048669201521,452.048669201521,455.989583333333,462.778038847118,455.729166666667,455.259146341463,457.012195121951,487.256371814093,487.39837398374,514.281108319041,505.514705882353,497.958610338378,491.266375545852,495.535714285714,508.738786874282,505.36303630363,557.315188172043,537.923076923077,514.440504334121,524.475524475524,505.31914893617,520.328235732935,542.490950226244,547.058823529412,553.703703703704,538.793103448276,538.793103448276,528.048780487805,558.693191007601,558.693191007601,569.545782848383,569.015043828477,569.116382232415,565.789473684211
"Jamaica","New York","NY","New York-Newark-Jersey City","Queens",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.767469528108,266.926201760325,292.634146341463,283.754282457058,291.164658634538,294.290781627059,301.445285615967,295.305164319249,307.032922912206,317.149179047282,317.727272727273,328.947368421053,329.701834862385,332.833379732739,311.707317073171,314.35705989713,316.485663001342,326.753246753247,319.176882661997,329.5,345.454090909091,344.910144046095,357.183418512209,357.183418512209,363.28125,362.735849056604,362.853773584906,365.453125,371.21148989899,374.57705026455,373.609289556915,377.829309156095,378.331305238888,384.203385611153,378.108108108108,378.108108108108,385.516211604096,391.005291005291,388.671875
