"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,100.204832679704,99.4485465995655,100.885455915599,99.4086021505376,99.4011697757862,98.3510638297872,95.9867835737029,95.4583683767872,95.7446808510638,95.7446808510638,95.5704270235819,95.0999048525214,94.1422594142259,94.1345801528392,93.5433562071117,92.6815642458101,93.1933628714644,92.7310911899146,92.3107174170922,90.310890882932,89.249597291741,89.1606080634501,87.1173084393716,87.0468277945619,86.7036745253657,88.2230285112769,90.7506178566174,90.4918032786885,94.4776119402985,91.3957129622323,90.6593406593407,89.3592004703116,89.8954703832753,91.4634146341463,91.3932221624529,91.4808917197452,93.9143501126972,91.4370569410991,93.0191649986939,98.3020554066131,98.8602493686549,98.3712267019864,96.7440671894976,99.1357397051347,96.5429588205389,94.7817559715681,97.3389355742297,98.2733011092841,98.3123187720187,97.9768753268606,98.9842559674962,98.3598875351453,98.5907553551296,98.9052931563859,98.8691811882486,100.190839694656,97.5318964307719,102.365650235903,104.222668620468,105.19801980198,115.384615384615,109.558823529412,106.257557204439,105.939193979268,106.558183924742,111.542192046557,112.410278689956,113.674582582791,112.182254196643,112.858384013901,117.333658031669,117.657183145322,117.613636363636,117.446818181818,118.471953578337,121.529888551165,120.481927710843,124.195906432749,126.729385722191,128.525006914161,130.31914893617,134.803921568627,138.588802667664,138.694758478931,140.084092501752,139.964264443121,137.056328297973,136.446331109763,139.642656260986,145.469953962951,149.61496149615,150.398354168305,150,151.962307307321,151.625386996904,153.656584756306,154.126895002807,159.618573797678,159.193140105584,159.084880636605,160.899653979239,164.90765171504,160.830972227925,160.492514426606,163.804690373699
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",2,77.5691830182919,70.5852674066599,69.1760189013585,68.4093639288187,65.8042122282299,61.8693229810588,58.8994999462612,60.7152885610936,58.8512241054614,56.2962962962963,57.7242524916944,57.5029588016601,56.7973616709417,59.5298116936728,56.9852345676043,59.964018004884,60.8262103707105,60.8689898544332,60.7834308869878,62.3296354992076,55.0505050505051,55.4490413723512,55.8785712565725,59.0724898694282,56.3234869291396,56.5911431513903,55.2523131689707,62.9254608318065,64.1966053303765,72.2646118466761,71.2031211232725,70.4607046070461,68.870523415978,70.4065040650407,70.654095462581,71.0422812192724,77.1278752093064,81.7884405670665,79.8761609907121,81.7884405670665,83.0974644639686,84.207240948814,86.3991081382386,86.8662481892805,85.8876585386207,85.0544498685693,87.7982890589824,82.8425510446812,82.8217928018149,82.3887744593203,83.7590486039297,85.3092037228542,84.9403122130395,83.2958126969833,83.3869416514889,83.3246482542991,83.2958126969833,83.3102304756412,80.5849722642461,83.3102304756412,84.0010836444254,86.5384615384615,85.0240504783326,84.9220103986135,88.088546644962,86.7720786733513,86.7052023121387,91.0334346504559,91.7303318315746,94.8624235987689,95.6561530506722,97.1765645205314,96.210784774566,95.5111111111111,97.1119290649084,97.3484848484848,97.0774800370183,96.3529941467807,95.4762500284227,102.790982904091,101.994306579705,98.0211688909342,99.8693009118541,99.4243851386709,101.149738604079,101.788866741309,103.872318158032,101.463414634146,103.452139254355,103.09275384601,103.439675174014,104.640112561236,110.647162455058,104.019721577726,111.431571183215,113.291277183126,115.555555555556,116.049382716049,118.072945019053,121.002252252252,118.182195954832,120.236773954865,122.965598525788,121.410821735336,122.164995800966
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",3,87.8051174661344,88.3435606019684,88.0923450789793,86.9272057751369,87.1386354858901,85.7407407407407,85.6072766185126,85.5224091843398,83.9027214823393,82.4503311258278,81.6252815344298,81.2762973352034,79.1017120340667,77.8097982708934,76.4905149051491,74.924828032734,74.095347501436,73.6351842760778,73.735603741867,73.8916256157635,73.6372115856652,73.8733509234828,73.6855094049489,72.8548300053966,72.1964167219642,72.634382566586,73.4454576967176,72.7554179566563,73.5629497542673,74.5079662605436,75.0750426106188,76.3532763532764,76.6650694777192,76.6588357233884,78.4142861149677,79.0373742213704,79.8226164079823,80.5580658191104,82.7067669172932,84.7031636087941,86.7136659436009,86.8620217651699,91.8274178691127,95.565432850902,97.0705524053104,99.6924846625767,101.744111013821,103.775811764552,105.278766310795,103.659833026525,105.960264900662,106.971344180101,108.177254627846,109.58904109589,110.323089046493,112.43851018974,112.394895568566,111.090334912324,111.211788033417,111.790504270699,113.510520487265,114.117250113993,116.938341601701,116.125867644116,119.614361702128,121.109607577808,121.46161492583,121.88044109112,122.558556496529,121.29314957449,121.765601217656,121.78148921364,121.667607920295,121.549525155011,123.775141825683,126.130389064143,127.781042517217,128.858615611193,129.914902468195,131.349931367444,131.055900621118,130.211332181776,129.074393820152,129.314706296414,131.414300736067,133.333333333333,135.864987233146,138.820063869618,142.327670071573,143.375794748375,145.371577574967,147.901543738548,147.651006711409,147.341406207386,148.596587782058,150.602409638554,152.077417835897,154.440154440154,154.693235448348,160,160.493827160494,163.70808678501,165.144061841181,172.034419176398,171.740379092476
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,203.422080533058,190.059750135796,183.432271991365,180.16393442623,180.546955624355,179.712918660287,180,179.425837320574,174.790555978675,171.906301391982,169.125939849624,168.080939947781,173.417172593235,162.145508326382,169.325566824037,169.325566824037,151.923076923077,162.769994932415,159.162536583415,159.749191994936,152.719665271967,149.216156586511,147.300869861845,148.193830422881,152.249396135266,152.638651382034,156.554942723801,149.601063829787,158.076923076923,153.83555351401,157.894736842105,158.076923076923,165.738626874645,165.071770334928,165.391858980885,159.867020943721,169.282548476454,168.014815625042,162.795508274232,168.312387791741,169.865642994242,183.119266055046,183.119266055046,185.363051830942,185.363051830942,187.892376681614,176.838965116177,189.070512820513,191.947565543071,200.88785046729,191.165175691673,185.008710357252,191.326530612245,194.125413006654,187.713310580205,190.974543226381,186.122626671161,193.576108327947,196.902654867257,198.016194845021,200.401164528742,206.232813932172,199.160231611921,187.637969094923,200,193.685251632366,200.42194092827,214.945003432054,216.750841750842,220.344566497008,226.023216722579,223.474492015162,227.13479198352,227.094331603436,217.95827123696,220.609002647838,229.719435255274,230.904614345543,232.973714503693,241.627585377585,246.254884164694,248.152709359606,265.30612244898,259.212970016925,265.30612244898,265.30612244898,265.024137931034,267.480519480519,267.480519480519,267.480519480519,267.480519480519,274.273303403002,270.410367170626,271.916790490342,279.386230313242,288.778877887789,296.601526815431,296.778196065115,300.495224619738,314.835406091371,315.172433838597,326.159687163784,332.73381294964,333.947489636112,342.185645400593
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",5,74.8352306770521,73.8575268817204,73.0206644435011,72.9868724139402,71.9418207380904,71.7127313861023,70.0109449106166,68.3574908354235,67.2478206724782,67.2454281076128,66.7635885257304,65.6862745098039,64.761054041983,63.8577292146644,63.5610440255875,63.3367662203913,62.232187344295,62.1566516116811,62.2805191000203,61.2837285363859,60.0792349726776,59.4997022036927,59.0193704600484,58.4994384098131,58.1490104772992,59.2901622732784,59.84375,59.84375,61.920691693653,62.6587301587302,64.2737807165753,65.6544932293804,67.1140939597315,66.9432035737077,66.8844896150162,67.881408276714,71.5399521406648,74.2326909350464,76.9789397240378,77.8444821519736,79.5100395135075,81.6203143893591,85.8471179804989,88.3975026014568,87.0445344129555,87.1080139372822,88.397599248927,89.2144569898213,88.7808196996967,90.835830041725,91.6870415647922,91.8810007179817,92.1832884097035,92.4622135462009,94.3562610229277,94.6969696969697,93.5634517766497,94.9023861171367,94.9023861171367,95.4601554121658,96.4343872459235,96.0778515389258,96.2822518403339,96.7332123411978,97.2396486825596,97.8747203579418,99.0150637311703,101.483160450232,101.932367149758,103.448275862069,103.321974705862,102.424041285641,102.556299452222,102.386941678862,103.915928769167,104.828462515883,106.272189349112,107.438016528926,109.17517066374,110.104574098218,111.853530823495,111.810422707288,112.54691689008,112.484810365656,112.729629983829,114.864864864865,115.776081424936,117.48995602909,119.120342089188,119.949494949495,123.509723673517,126.67807486631,127.737226277372,128.798106990201,131.523509372489,133.457479826195,134.459036898061,136.749923503894,138.673259424032,139.140955837871,144.65206185567,148.007093317417,149.117468046257,149.718652526513,150.069915914279
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",6,85.9538784067086,85.859375,86.5117328078548,85.3030267567009,85.9034082549354,85.5338708661161,85.0923482849604,84.801017030362,84.0184542279845,82.8729281767956,82.2359396433471,80.9239940387481,80.633147113594,78.8104419534419,77.7942151451884,77.5648156070848,76.1445041791863,76.1700518696238,75.783471495392,75.0237416904084,74.4622173193602,74.2814667988107,74.160447761194,74.0847332813315,73.9970748183301,74.5257452574526,74.580223880597,74.7728860936408,74.8494896666463,76.1933477619968,76.171654432524,76.6847405112316,77.3651635720601,79.080118694362,80.9572492949433,82.8363154406892,83.5140997830803,84.2263696568332,86.8058404637887,88.6699507389163,89.8876404494382,92.6522402607779,95.1374207188161,101.675643327349,103.871928518243,104.830256306215,107.142857142857,108.451757666417,107.465753424658,109.511067292493,110.727630885767,110.967302452316,112.284894837476,113.669064748201,115.054085155351,115.736288769469,117.625361601411,118.954364798447,118.876701462944,119.855239886409,119.279454722493,120.413108475414,121.245915722845,123.042505592841,123.364946694635,123.835480673935,124.5403764925,125.137110631595,126.679245283019,127.279635258359,127.757412398922,128.593040847201,129.252873563218,131.272831050228,131.388012618297,133.956386292835,133.754646840149,134.491320515449,134.659578956111,135.558583106267,135.509574515205,136.593059936909,136.171572700886,137.227304714989,138.85582010582,139.96109124478,141.360732984293,142.908567314615,144.504227517294,144.263957372024,145.444566410538,148.344748858448,149.413020277481,152.268489745183,153.074955516014,157.16488395468,159.07844212836,161.218193470704,162.702127734328,166.140845070423,168.355594270228,172.661870503597,173.639411354929,174.739423666462,175.988957129351
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",7,179.712378017463,175.682692728147,171.153846153846,162.969206334431,157.608088258773,154.408506867523,144.899536321484,148.273273273273,149.900066622252,146.034533216272,146.84246201792,149.723447208407,149.900066622252,152.656356998157,157.380544650204,152.534965034965,154.836363416872,156.659544159544,149.9176276771,146.058423369348,142.18932606155,140.484234234234,139.507868592081,138.859893296219,139.353458246588,140,140.840840840841,144.713526284702,148.53520191887,147.06805019305,147.804054054054,156.25,156.38380114177,163.247540672813,155.342314342177,163.702295685399,160.738255033557,156.455862977602,161.106005040332,164.027149321267,165.653686826843,165.605095541401,158.884465287088,160.213675213675,151.834344677982,158.970992451067,156.957013574661,167.991329479769,168.95266927736,167.991329479769,166.9341894061,166.468017481128,166.9341894061,174.703004891684,176.550308008214,173.238351944551,170.287727539636,173.776519287596,188.087173284028,186.93342776204,187.007874015748,189.038237142088,189.614935822637,191.822879115597,192.793393484463,202.847236593874,203.99318765154,197.363054562592,195.497630331754,193.479039770692,190.259713517682,187.793427230047,183.823529411765,188.782330754328,190.137935418256,195.668031812144,199.76329787234,200.42735042735,214.168906349777,214.120752226988,222.479199041699,216.981132075472,221.801346801347,228.195224719101,224.769603597617,228.195224719101,220.983474250576,226.97321860677,240.268620855358,228.129196392384,235.285392908533,237.473895582329,232.79919500757,242.130750605327,237.325244647253,238.835725677831,252.432938012875,238.079365079365,246.68167604753,249.908552236756,247.887970615243,256.269506272226,269.015435165614,269.85446985447,264.366420616421
"East New York","New York","NY","New York-Newark-Jersey City","Kings",8,213.782696177062,211.045582706767,208.035714285714,208.333333333333,207.619047619048,208.072916666667,210.446247464503,210.265140538974,210.78431372549,209.60932449903,207.535103785104,208.733974358974,200.242598039216,200.954705026115,195.416666666667,194.335088120851,191.576726844584,189.079978551394,190.19019019019,191.826923076923,192.640692640693,192.575596320346,189.990445138095,190.983536066811,189.5,187.5,188.002392344498,190.285417030441,187.019230769231,190.910198871671,191.666666666667,190.901360544218,196.710526315789,196.930473372781,203.082003302146,208.333333333333,209.5,208.434367927578,208.333333333333,208.333333333333,208.434367927578,213.937621832359,208.916666666667,210.593768634466,221.481116774791,224.5,231.617647058824,225.517890772128,222.5,218.613366645846,224.5,230.70987654321,232.159090909091,230.421281158139,230.820105820106,237.8123259866,230.554283679284,239.50390625,238.501455269608,249.434343434343,251.964285714286,251.964285714286,260.714285714286,264.657210401891,265.212765957447,269.886363636364,270.852272727273,277.777777777778,277.777777777778,282.355805347653,283.592862365265,287.258335592301,269.081272084806,285.142857142857,285.895801331285,306.475360006079,304.910070945571,307.539311729629,303.763440860215,311.364753500303,312.5,312.499375,316.565238558909,312.5,311.561561561562,303.030303030303,307.807807807808,308.922725920048,312.5,325.290697674419,324.247685185185,323.398919753086,323.339212228101,329.861111111111,331.789351851852,339.102564102564,339.102564102564,343.75,322.143440709617,324.869791666667,322.822626710134,324.869791666667,335.667012502824,329.981575963719,317.460317460317
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",9,107.327858496526,104.119318181818,104.879328436516,105.490985707665,103.62962962963,103.85898016712,102.169431581265,100.945945945946,99.0445859872611,97.8106889890534,96.6634824229748,94.7368421052632,93.1338891613536,93.545948541157,91.8110236220472,91.6185161218274,91.4024390243902,90.956340956341,89.1774089614151,88.722256407321,89.0908271292747,89.1573505549909,86.9531443496274,89.2793329362716,90.737083558216,91.4329268292683,94.1845982142857,95.2714662216955,97.3254086181278,100.796178343949,102.07336523126,106.112054329372,107.454460620091,108.03324099723,106.285689038399,108.072368827842,112.551159618008,115.603027118707,118.249336870027,122.30422304223,123.372172721042,128.397565922921,133.082009013283,133.030397022332,132.318109259589,132.031538685305,134.472727272727,135.985748218527,137.396173747277,139.227960354721,139.782608695652,138.625672043011,137.577426015141,135.808070623558,136.940652063169,137.774851122309,139.975309709018,140.008643042351,139.431121026213,140.235475051265,143.788249694002,142.665525114155,143.852436871871,144.687991958473,146.993464052288,146.831797235023,148.096181350114,148.237517509949,148.237517509949,149.578651685393,151.592733943601,153.801508995937,154.755205402364,153.602847346078,155.908818236353,157.824933687003,157.930607187113,160.154047305401,158.157524613221,158.730158730159,159.609120521173,159.942857142857,163.04347826087,165.95018517319,169.38787133224,166.852367688022,169.642857142857,169.065027499191,168.765177911519,169.62962962963,171.56862745098,169.825092707046,170.109356014581,173.106060606061,173.277661795407,175.138121546961,177.286558553488,178.57359237523,179.916608756081,180.266909254605,180.076335877863,181.571815718157,182.539682539683,182.131004537059,182.599273144606
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",10,91.4478943394815,91.5998024980746,90.2890695573622,90.167453842851,89.0019071837254,87.5875875875876,86.9248035914703,86.3706549969758,84.6843075749226,83.279869763978,82.3869939450714,81.7527795945062,80.461811722913,80.5601930230996,80.0877581920687,78.580200132263,78.5247812924337,78.4449576597383,77.373578442112,77.4732620320856,77.6989597133482,77.5569558894813,77.8414720452937,78.6006616418267,78.7154912117658,79.2524887593396,81.0666192372506,82.7116087766984,84.9106997078787,86.0948667966212,89.2284596043405,90.7084964626691,92.6517571884984,94.273450122121,94.9415992240238,96.4737192282102,98.4521575984991,100.881063238126,102.323008849558,107.404458598726,106.645966290443,111.111111111111,112.106647895199,111.52900319129,114,113.060495516036,112.730061349693,113.820860544671,115.512492499947,115.461641467554,115.884057971014,116.128315412186,117.776639344262,117.98820058997,118.194842406877,119.883260131142,119.475218658892,119.021739130435,118.754014129737,119.15915462124,119.409523300963,120.262390670554,121.710526315789,122.529446641267,123.291139240506,123.502567027952,125.543816013551,126.972546328071,125.67739251664,125.731156164582,126.125573417773,127.017387427552,129.465731246627,130.275229357798,130.9460181721,133.851098018211,134.848303231255,134.802631578947,136.23326959847,137.635312989924,137.39224137931,138.456464379947,140.048309178744,138.303238490645,138.999844037015,140.47866805411,142.951251646904,144.267822736031,145.850825840003,144.52414254063,144.789334228989,145.786359911599,145.178764897075,145.833333333333,147.217014353877,147.957371225577,147.946859903382,150,151.953205663235,152.719179154787,155.405405405405,155.580986990096,157.289659601798,158.03506705328,156.439759885395
