"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,125.069712623739,125.471756280143,125.555760237041,125.94504638974,125.298746721073,124.314897857499,123.109391487865,120.525751678231,121.845425867508,121.202916160389,120.149253731343,115.399350207034,112.66013564431,113.670355967694,116.021671826625,117.053830345366,117.644339622641,118.778280542986,116.450631942126,114.802659231778,112.150213560261,112.988568215006,109.530142796272,109.421422986708,109.421422986708,113.567493112948,118.979591836735,118.986254295533,122.446384803922,122.124039133473,120.3125,116.285714285714,114.584980237154,115.451612903226,114.377682403433,112.422709387296,115.971252748411,117.677165354331,121.188936983091,126.330000338151,126.970489353754,129.699527234902,132.124840386766,135.183902667291,131.619294130456,127.58865248227,130.841121495327,128.964315927451,128.796400449944,135.575861412526,140.30701754386,143.474088291747,150.813103018985,147.13400464756,146.425073457395,145.870403321471,147.520683569945,149.7449613277,149.678111587983,151.380559140543,158.853061850111,160.201290875552,168.497254118822,168.672860261331,169.828399866972,167.817720099167,164.601769911504,162.575935920945,165.430891443842,167.709147771697,170.758263772955,170.612813370474,170.106469830061,173.487245304043,178.470254957507,184.992183428869,186.103828002098,185.017458792675,185.717111211573,186.294270083501,184.705566162351,186.03595318038,185.957842529448,183.012670107931,187.94785058942,196.313403161672,196.603559301739,201.101130107215,200.831847890671,200,201.327433628319,202.278481012658,199.489307373125,199.242799412015,199.054218882818,200,199.61175818081,205.271565495208,207.482766473918,208.427454387489,208.156033633741,209.080047789725,214.002381581705,208.480565371025,209.263565891473
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2127476313523,73.9678864824496,74.9217095977417,75.11139401655,76.4871273712737,76.3368094141031,77.1656613211711,77.2123015873016,78.7703625853915,81.0283687943262,81.6372939169983,81.0625361899247,81.6326530612245,81.8443804034582,80.8011049723757,82.4414300976801,81.4624759461193,83.2195562601448,83.3951762523191,83.897107056789,84.2471200520906,87.3379140239605,87.9765395894428,91.0334346504559,92.534174553102,95.514950166113,96.0954954954955,95.3794456279356,95.7631797701738,97.3654622531027,99.4238618524333,99.2262701917986,101.514332706767,100.174216027875,101.837425406599,104.552830285227,106.382978723404,106.382978723404,104.891177068215,104.626708727655,106.837606837607,106.128640776699,107.971986970684,109.561752988048,109.942175677033,110.909243718372,112.709050334038,114.471183260954,114.72275334608,113.636363636364,115.413533834586,115.621701786949,118.159113545817,120.244956772334,122.222222222222,122.528735632184,124.720719818376,125.356125356125,127.167630057803,128.300733496333,126.911210514708
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",3,87.7458476700225,87.719298245614,87.3771339886187,85.1641414141414,85.4295879685384,84.0275124188002,83.3907500440313,82.8385145138608,81.0531671903854,79.6950796950797,78.4001189703656,76.9129287598945,75.2739537801949,74.1960705188025,73.1331793687452,72.5138711054204,71.9091673675357,70.9676580285573,70.9296296296296,71.0344827586207,70.7835325365206,70.8354917603031,70.6033376123235,70.3605980650836,69.0596562184024,68.7036012387863,69.6400625978091,69.2686357243319,71.2910128388017,72.6593779943565,72,72.7910083643123,73.5809480664652,74.2501255623848,75.9668508287293,77.4826741567437,77.750592915351,78.6622890073097,81.1538128753514,82.3832966273697,84.6394984326019,86.1589772095609,86.7136659436009,92.6490066225166,95.5074479397228,97.0873786407767,98.0343137254902,97.8867696893192,99.403578528827,101.116312194043,102.644328803492,103.40370529944,104.674127715602,105.922864476399,107.800070516501,109.044493070751,109.216503537992,109.38232994527,108.764186633039,109.090909090909,111.241562401357,111.206376684628,113.471502590674,113.355593888615,114.541953248443,115.961855968589,117.520829437642,119.047619047619,119.528374208086,119.18274173682,118.885211028798,117.985385885252,117.230924709449,116.420832828955,119.628472893662,121.262908615267,123.511793335829,124.67198681098,125.154933916218,126.264755480607,126.264755480607,125.946201485112,125,125.210792580101,127.532016402023,128.570947985804,130.660492446812,133.451957295374,136.594957580074,137.659783677483,139.218009478673,139.218609360936,140.211970074813,140.997591328784,142.857142857143,144.092219020173,146.493756003842,147.800076319989,148.171500630517,151.58371040724,153.24149701337,157.216112182992,159.750812567714,163.900136866489,164.039696438996
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1738.69565217391,1623.33558652246,1598.93929338881,1624.375,1775.62550443906,1775.62550443906,1744.43959877889,1634.85075224072,1667.62618289924,1676.82991890738,1677.40196078431,1752.68172384982,1727.27272727273,1650.88627105582,1633.18636659595,1792.17337075148,1744.94416908685,1763.09402489711,1697.71496742223,1808.16617894747,1786.30739155362,1808.16617894747,1813.12063017009,1833.33333333333,1813.12063017009,1817.07061190713,1813.65576102418,1820.48546279008,1812.79217953258,1812.58549931601,1813.65576102418,1817.07061190713,1616.69606114051,1678.6587296264,1646.94117647059,1635.45454545455,1646.94117647059,1691.12954690491,1669.03536168775,1669.03536168775
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,169.340463458111,173.826086956522,171.38671875,168.445692883895,168.580893458222,168.445692883895,166.103603603604,164.59751321343,168.644903498652,169.16093425052,168.993582560145,165.562913907285,165.138112026194,164.473684210526,163.870355317994,164.795269031635,161.278494623656,164.233576642336,163.845223700121,164.732378318199,163.653039277907,161.566091954023,161.320583429159,157.379157559808,164.233576642336,161.599407204742,163.417582635192,164.670658682635,165.480427046263,166.289592760181,170.563139931741,171.875,172.597597597598,177.139571582057,178.861788617886,182.449494949495,190.165609158936,190.947666195191,194.153229382861,195.409429280397,199.473355842631,199.965953426567,206.043956043956,209.668889062683,210.407239819005,212.314890412816,212.125942245721,218.896343207727,214.986559139785,222.153635116598,223.552056692242,233.447802197802,234.385074374577,236.622518551246,242.384899972595,242.473126974372,244.321050451789,246.366279069767,244.755244755245,247.96626984127,249.233128834356,253.807106598985,251.775848460931,257.136855280191,263.621794871795,263.157894736842,263.436207807248,264.376130198915,267.930750206101,271.538461538462,270.795628759444,273.03483992467,269.396551724138,273.651290070367,271.121704275815,275.551102204409,286.82252922423,291.082434109505,294.561020186613,306.411062225016,308.942243126032,306.411062225016,310.818679679304,313.137254901961,319.444444444444,321.044685990338,328.639986401753,327.786885245902,326.01902173913,333.63453815261,338.543959689838,343.698854337152,358.169663948558,354.100106496273,355.730129390018,358.169663948558,358.003766478343,357.887874837027,353.061224489796,358.28025477707,375.814536340852,378.531073446328,379.770318021201,386.156008432888,382.028985507246
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2145.16999460335,2256.94444444444,2096.23323013416,2300.10973897459,2279.72626176219,2369.18113272392,2437.5,2237.06721894557,2192.98245614035,2406.71077329645,2278.14212844153,2327.80291603821,2384.22343919879,2467.10526315789,2467.10526315789,2402.03466465712,2523.43186733958,2527.1662593773,2483.81474103586,2550.72543163451,2475.31786434509,2466.34168987929,2483.81474103586,2804.39983042636,2436.82664289548,2459.89782190682,2376.54320987654,2376.54320987654,2415.19674355495,2393.33333333333,2364.89600028407,2349.7825370633,2353.24879069159,2364.89600028407,2353.24879069159,2376.54320987654,2379.03225806452,2353.24879069159,2337.00175383636,2337.00175383636,2326.50890720553,2320.75471698113,2319.7761927332,2351.52605854104,2500,2555.24861878453,2655.1724137931,2674.41860465116,2723.73354759718,2680.63871121664,2562.77903406064,2560.03175233181,2615.54093567251,2560.03175233181
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",7,61.0306183337063,61.6512345679012,62.1564448694926,61.875,61.8954439252336,61.0629833070375,60.7287449392713,59.0502826422105,58.4200567644276,57.6368876080692,56.8273214720936,55.9328358208955,54.3280440069532,53.3995416348357,52.6902666071536,52.6062753036437,51.7172797849285,50.9929078014184,50.6329113924051,50.4269064997312,50.1499227202473,49.2254189061018,49.4344957587182,48.9649218649131,48.5343783975511,48.8004362050164,49.2772667542707,49.079754601227,50.674444039373,52.5842784299183,52.5896340768485,54.9286261910847,56.247636025501,57.0799578632595,57.2950819672131,59.2738066682658,60.7872446437469,62.7090301003344,64.5615836858755,66.0456237773711,68.9269746646796,71.2830957230143,72.5641025641026,75.6369426751592,78.429665968993,78.7138643067847,79.6812749003984,80.9312803725051,81.2708776191922,83.4448160535117,85.3734876908569,85.618479880775,86.7291278814325,87.3570948217888,87.9396984924623,88.7094893817587,90.0900900900901,91.6268283597497,90.1492537313433,92.2096317280453,92.5438596491228,92.4731182795699,92.592328042328,93.0252049380256,94.6704067321178,95.8752997601919,96.7156627743725,98.0696279515288,98.9609104403761,99.4285714285714,100,99.5952578587035,99.7035880579661,100.503074343208,102.127659574468,103.993344425957,105.011933174224,105.084745762712,106.694560669456,108.612040133779,109.870299984172,110.200738013669,110.963747732218,111.490561123953,112.035851472471,114.238317604415,115.776081424936,117.077681874229,117.816091954023,117.873660784555,120.042449969679,122.860903905222,125.169147496617,126.751207729469,126.774847870183,130.130131004367,132.37030411449,134.642310535657,135.584745762712,138.888888888889,142.578125,145.811240721103,146.604938271605,148.745374878286,150.347201672881
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",8,91.1789652247668,91.1580779138396,90.4292751583392,88.9025137952177,88.9830508474576,88.2970742685671,87.3704663212435,86.1404599129894,85.7755977927652,84.743716701176,84.2264477095938,81.958195819582,81.2875068194217,79.9087055417701,79.0546096100525,78.2759070564369,77.6683937823834,77.3819820110197,76.4763779527559,76.0953112990008,75.7575757575758,75.0838926174497,74.6071840433999,74.9843652282677,74.8637602179837,75.039448535413,76.0284218399402,77.4468085106383,78.2110007817308,79.8449612403101,78.852172239684,80.0279106432365,81.5677053859213,82.9612777247571,84.5253576072822,87.5903480007554,88.8491353607633,90.5226480836237,92.7632299915158,94.9538096429912,97.5257391391479,101.968503937008,103.723849372385,109.071459135644,110.259558963485,111.808576755749,112.462006079027,113.636363636364,113.424124513619,113.488791032826,116.70113381094,117.020525316219,117.83226581265,119.047619047619,120.820668693009,121.222014925373,122.783459524106,124.238657551274,123.502994011976,125.022986392056,125.082248286608,125.302211302211,125.222427449256,125.96048298573,127.156234598324,128.107960741549,130.106575538146,130.157539384846,130.173773211072,130.27720895959,130.555650783799,130.47324192835,130.942788074134,132.612244897959,132.646631255242,134.543178973717,134.889329492874,135.559252260403,135.874073255288,136.882129277567,136.910796001705,137.634882873859,137.548143053645,137.898354328075,140.190670306685,140.431090790333,142.060312562142,143.427796944308,144.695934367081,146.247137624506,148.724472707089,149.597238204833,149.478930675125,150.597993403481,152.731673525836,154.820548909219,156.605769230769,158.21325648415,161.200281049913,163.223667431778,167.121418826739,168.767507002801,170.191489361702,170.314919979349,170.895141279042
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",9,138.581612586037,139.324837414903,140.712945590994,142.857142857143,141.218005295675,145.169950594479,154.053741735416,153.905645784996,149.622620389692,148.648648648649,145.533980582524,145.454545454545,150.648189393145,153.779033852236,154.970760233918,154.557192265054,152.337398373984,152.337398373984,154.242992852429,153.061224489796,148.861646234676,147.437888198758,143.25436827957,142.465995407172,141.839071242738,144.635627530364,144.917582417582,149.122807017544,150.240963855422,150,157.860824742268,161.714884574145,163.280662151994,160,168.191477617707,174.045609211144,172.273154947678,175.779402024789,182.385035074045,178.205128205128,176.282051282051,184.227541834287,187.273940732481,192.200854700855,193.0736543015,196.592398427261,206.197541919823,207.941483803553,207.941483803553,209.01587147634,209.627329192547,222.56331542594,226.693227091633,227.649006622517,232.1083172147,226.009685672515,229.458041958042,228.835191837549,230.484190040142,235.138985138985,235.235235235235,237.076121505375,237.121831561733,235.840735897187,237.076121505375,240.935979145666,247.933884297521,248.153793359833,249.616564417178,255.555555555556,258.161157024793,257.855746297632,260.736196319018,259.377494014366,270.698106024555,272.007912957468,276.385118767723,283.650326074001,277.700617283951,276.008492569002,275.836120401338,276.046720892073,278.20015950819,283.017924528302,289.075050343642,294.117647058824,304.461484837923,308.747431697642,311.66518254675,313.947477253929,312.5,312.5,317.38730450782,312.018489984592,322.723140495868,326.876513317191,329.181494661922,332.711038961039,338.314832535885,334.429824561404,341.880341880342,346.71190432072,353.218210361068,347.544022242817,347.615198059822
"East New York","New York","NY","New York-Newark-Jersey City","Kings",10,233.6860670194,241.308402041618,241.308402041618,245.93045112782,243.993993993994,241.367403314917,238.095238095238,237.301587301587,237.301587301587,237.301587301587,239.5,236.633249791145,231.347599768652,235.964912280702,230.70987654321,224.938432565551,223.484848484848,222.993827160494,222.993827160494,226.950354609929,222.993827160494,224.358974358974,220.588235294118,222.993827160494,220.588235294118,211.640211640212,215.860215053763,220.588235294118,220.832944905379,221.296296296296,220.942265795207,221.355728854229,220.243218570683,222.863828502415,227.733485193622,234.375,243.425568425568,252.41935483871,247.80701754386,244.404640880412,252.450980392157,233.6860670194,249.964285714286,254.838709677419,253.416695264242,260.12256128064,250.156739811912,249.285714285714,249.5,238.636363636364,244.607843137255,242.067066174416,249.044480907453,249.382352941176,254.251700680272,262.762762762763,265.643195348792,271.460573476703,273.840206185567,267.921146953405,274.420103092784,283.35597826087,286.527226631393,286.596119929453,277.777777777778,285.807291666667,291.369240752758,298.828125,301.21808469523,302.0828125,304.356328102296,313.05114638448,305.839249387636,312.019230769231,318.100358422939,327.682058441679,339.624867308153,351.903731949956,339.166666666667,349.5,352.473498233216,357.228195937873,360.555555555556,362.092447273027,360.828134556575,338.637822792752,357.52688172043,342.456241032999,372.222222222222,365.17043609074,353.517094017094,356.318996415771,376.063188188188,389.633077170296,378.975265017668,388.333333333333,389.29219600726,396.439489774404,402.462121212121,402.462121212121,411.290322580645,430.106630824373,430.106630824373,423.750693226614,428.898112590317
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",11,124.66179848307,122.90934645116,123.47711557458,121.344278592299,118.889946099452,117.041198501873,116.019803645112,113.844393592677,111.419847328244,109.205020920502,107.258064516129,105.185185185185,102.77554304103,101.878754626119,100.553041729512,98.5636453689946,100.858094675886,100.829681148374,99.7116214222425,99.0610328638498,99.1464264901765,99.668938412051,101.153078276673,101.88161505292,102.421720384507,104.593023255814,109.457092819615,111.263736263736,117.297496318115,120.105421686747,118.910744380432,120.664364871956,123.932128116819,125.180488129021,124.192481112681,128.517397881997,132.823052678973,136.674671195739,139.32623381096,143.400751097235,145.369454065644,148.401826484018,150.34836817015,151.71231026846,152.265625,152.620865139949,153.151279985406,152.41935483871,152.812564207931,155.965115548011,156.369307623276,157.659273835251,155.857612653479,156.09514370664,155.143191949339,155.395633531408,155.945618544044,156.043753860706,156.85195376995,157.327934924908,159.429544487016,161.008571449203,160.816784793692,161.796599088798,163.291796469367,162.825137167242,162.422015071022,165.130274709714,166.604291417166,165.117264822199,167.539037771166,166.872682323857,169.355834568198,169.387755102041,170.216962524655,172.514619883041,173.92819797839,173.573695054278,173.498741459907,173.032557879803,172.84865581638,173.595590086141,175.910194174757,178.371339614238,178.81187899949,178.735632183908,179.788074443862,180.945198592257,182.542316627946,182.406602953953,183.007574674648,181.886153456497,183.555420814807,183.658020295994,183.305966064587,184.177631578947,185.74297188755,188.933128434386,190.972222222222,191.435791898836,193.333333333333,193.069811972251,193.265007320644,193.606001936108,193.628737792983
