"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,149.974319465845,150.144425187753,148.3115993213,148.932300788914,148.565573770492,146.550711403001,145.357131443546,145.570113933479,146.61312849162,146.118721461187,147.443621150852,146.019427294017,145.61797752809,146.8656777263,145.810055266728,145.242451967063,145.498652291105,145.816316608324,145.77360827499,146.61812396279,146.784715750233,145.494781926324,145.066744051074,145.282426132618,145.981644421242,148.355141715926,148.991541964867,150.690594945442,151.162790697674,150.566320525532,149.374565670605,150.70126227209,148.746448046616,146.771037181996,146.505073280722,144.951330465814,144.806338028169,147.906793048973,150.816273330395,154.771140418929,154.353136770937,153.001464128843,154.049962149886,158.11739820201,159.316886711641,162.020833333333,165.782333433826,164.183911232345,165.515610217597,165.942823938406,172.413793103448,174.842326559215,180.469861596171,178.52684144819,178.150660478401,180.11088011088,179.767227471768,180.9225926515,182.917316692668,187.836091905859,188.298757533162,189.128618129735,192.715590492724,193.305646165591,192.814790228359,192.371475953565,193.265682656827,194.762684124386,194.479074707878,195.194457382394,195.535714285714,193.986360818351,195.081967213115,197.323453332555,200.458847146544,203.337453646477,203.030028978742,204.398727087493,206.703910614525,207.410754631722,208.684455665932,209.542230818827,209.766305400696,211.800302571861,214.577775879364,217.455138662316,220.864661654135,221.590909090909,221.014511438345,219.977158068286,221.033038622615,221.439362044627,222.323512349425,222.172815194386,219.31267800007,221.144030827396,228.223465203162,233.373821598076,230.837994305534,231.953290870488,233.805233805234,231.634372367313,235.616438356164,232.503691760593,233.208955223881
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",2,140.111163105984,131.707249331902,128.9849933645,124.838446989462,128.424657534247,121.711850871251,121.469885206716,115.865483173708,116.905901116427,114.89424993038,113.22234328265,105.166193838584,109.002654218906,108.643167551907,106.976744186047,100.803931451613,101.593066777661,101.809690601284,100.685518423308,101.828920570265,101.73158239031,100.74472493746,99.8541456299787,97.1881570889499,94.3498242768316,92.2565506452874,91.765873015873,92.6586358112749,92.3005565862709,96.426876483161,98.5881316333343,98.9881214254289,98.9418231791113,100.28431984506,100.443780563999,103.123483227564,105.10764035458,106.019300848062,107.749305341155,111.223458038423,115.663739669421,118.444100978877,116.55310880829,125.066698007393,124.058365857367,122.284735812133,123.785046728972,124.935316060946,124.379174730008,125.4371293903,125.118035882908,128.814902893381,131.093544137022,129.586713016609,130.955259975816,129.315452720902,131.16213683224,133.326433636653,134.373645426961,133.068906889032,138.159385113269,135.232892832721,136.702568351284,140.025850926325,138.932757773566,138.358872960949,138.592750533049,139.982766049117,142.084585045898,142.700394377935,142.288537549407,147.761283459295,145.510026816305,144.272442858373,144.356955380577,144.356955380577,148.35541343079,145.833333333333,144.96845780697,145.766345123258,145.031485472358,144.049240440021,144.153249848794,146.304215027489,147.530344315085,146.506502050685,147.93215692537,147.199305254017,149.143836237431,151.142659279778,151.103718292901,148.331273176761,152.425999389686,159.543512480324,160.98362458148,164.538310412574,168.76729173071,164.674952198853,167.158308751229,170.122275385433,171.041356451791,172.496406324868,176.062176165803,177.708465414663,175.942853273749
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",3,1175.66595336482,1179.45690672963,1171.875,1171.25496031746,1169.27721609477,1168.61979166667,1183.25242718447,1180.35892621946,1180.8066759388,1161.95869751713,1184.79109307144,1192.24888226528,1192.24888226528,1190.9307875895,1237.91821561338,1295.43808834178,1322.85990910011,1325.36382536383,1324.8127645718,1266.28075253256,1277.29257641921,1295.43102263657,1295.19982287411,1311.90882531602,1315.65717785462,1303.44108446298,1306.80145254686,1254.36681222707,1257.99573560768,1256.57510227937,1253.01204819277,1268.11594202899,1253.56310450961,1242.51525193944,1252.50501002004,1266.46010844307,1266.46010844307,1275.51020408163,1275.51020408163,1267.0805583209,1271.23283547088,1317.92281792282,1344.50575028427,1385.62091503268,1430.38977551925,1473.0328057612,1480.50124146493,1475.62018819504,1508.41555426582,1551.75983436853,1506.73400673401,1500,1543.92764857881,1500,1529.24256951103,1520.87290272723,1579.2610250298,1596.27329192547,1615.59635671874,1596.52638610554,1584.6933033202,1597.86821705426,1620.24873007532,1634.24124513619,1633.30751599416,1670.85076708508,1727.0056531043,1745.47577349679,1770.55441092874,1781.89904394796,1819.61352917235,1861.81818181818,1905.22235122261,1923.32394644533,1882.48095756257,1882.47712878255,1872.29437229437,1867.81682366315,1866.15886833515,1869.47477899116,1860.50712461352,1861.89220908188,1871.16564417178,1869.47477899116,1860.46511627907,1867.18175128771,1874.28462562718,1871.45557655955,1865.9217877095,1849.43429068755,1848.76336435765,1848.76336435765,1855.05688499636,1826.48401826484,1836.73459183673,1849.79137691238,1859.50413223141,1562.5,1439.96286051582,1515.49132485808,1537.43315508021,1557.00912548075,1575.05985072525,1589.43234516327,1576.15978240062
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",4,116.085946573751,115.556077538477,116.085946573751,114.81389690909,112.755768393557,110.584518167457,101.958711387863,105.479452054795,105.791743012535,97.9610726186069,100.526225089906,89.555575618978,94.4679575841402,90.7734204793028,87.3147896210418,82.313037723362,79.1326629368121,80.0635245268642,80.3951310543182,79.7321167315356,81.3562095295831,85.7740585774059,83.1682374721663,82.5760420578295,77.0726333990697,76.9746793503009,79.4370692544687,77.7947336923998,78.6210834395817,76.7694518991432,77.2214386459803,80.8169002636097,76.9700959187512,78.5223227629684,81.6639572828408,81.2743823146944,82.1921597683723,82.2437789962041,86.8917576961271,92.1899529042386,90.7047068104128,93.8716428793878,97.6339691189827,98.116169544741,101.196953210011,97.6577324801428,96.8570813603099,103.871230643847,101.544207253754,99.9636495819702,102.639296187683,100.486875296036,105.639175618391,106.447670782673,108.713657310432,109.570575775082,109.61695191524,110.433715220949,109.395666255492,112.025232026312,114.304626711517,114.840408028957,108.728480821504,109.743040685225,109.64783565664,111.162880669232,112.294281848328,115.384615384615,114.164835164835,115.831842576029,116.279069767442,116.279069767442,116.519937856033,117.881755531375,122.254942744245,121.381512605042,123.326286116984,121.067421308079,120.321049966738,119.59395245862,119.761182140841,119.006849315068,119.580406129411,122.095447839922,121.424858416722,123.668139666562,124.776659459891,122.249388753056,123.465703971119,120.939334637965,123.248532289628,124.377916018663,131.13710658558,131.554335292291,125.956301836138,129.231889333819,141.639559027091,142.843145226866,146.229739252995,146.708961141951,150.193798449612,146.910751258728,145.939086294416,150.259067357513,150.816925010473
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",5,120.533065328543,117.873091800228,112.680477087257,111.826418693371,111.5198896298,109.430959013132,107.804858730442,104.676044346977,107.247796278159,104.976065045195,104.078208220205,99.6129656507015,99.4261667941851,99.8424841936395,97.9467303596898,94.8496716338098,94.3836978131213,96.2273161413563,94.8496716338098,93.0763856544015,93.2730304140002,91.071639754378,89.1268816809877,89.8601398601399,89.8601398601399,89.8601398601399,94.2977977836307,96.6921119592875,95.9561343385881,99.0013774104683,99.2553983618764,103.884817459616,105.177219296908,105.19011934499,107.577940411882,106.625,108.695652173913,109.719839908519,112.050310091151,112.669349275696,116.55223880597,120.491150602219,123.938028169014,124.691549337348,125.572324943757,127.869830862703,127.323024765272,127.299578059072,128.361086450037,127.528662237794,130.712432648174,132.772375002651,132.781124497992,132.869995911693,131.50157480315,132.857237380628,134.148327742863,134.342940889106,134.156729131175,135.276595744681,135.357922608817,135.764944275583,134.191622474091,135.277988789247,135.789719626168,135.481095735171,136.752457294882,136.648530620754,136.096796820201,135.026737967914,135.339860225013,134.745098039216,136.03533336732,138.18840082361,137.632583223521,138.769194086791,139.215931900148,139.854902685842,140.999711066166,141.381152047489,141.291810841984,142.309971416033,142.449905033238,141.737667304015,145.114259353801,144.808021895999,145.760667416573,146.874994319576,148.169547647359,151.677095183921,152.935138028579,153.404255319149,152.536929993577,152.667075413857,154.3019062339,155.613004725388,157.166806370495,158.481365377917,160.253931080629,162.957074721781,168.489065606362,170.126874279123,169.232311228746,169.029443838604,169.346561751625
"East New York","New York","NY","New York-Newark-Jersey City","Kings",6,237.698412698413,239.588891583798,234.73597359736,239.661654135338,237.830506243418,237.889273356401,237.306922196796,231.447124304267,231.39736203646,218.859649122807,224.567889192353,229.545263335016,231.183059143585,225.517890772128,219.449122807018,218.253968253968,218.253968253968,219.09594095941,216.423748353096,213.040048543689,219.09594095941,218.325791855204,213.882819815401,210.408333333333,207.203389830508,201.785714285714,206.428571428571,214.985815826331,212.01218136702,219.907407407407,216.333333333333,216.017316017316,216.740384615385,221.952784503632,220.796460176991,221.952784503632,221.333333333333,219.387451680048,222.291116861821,224.505070546737,227.230483271375,227.230483271375,228.75,228.958125,222.001588562351,223.841554559043,222.001588562351,224.512743628186,224.512743628186,222.623345367028,242.070895522388,235.328348441981,244.0097799511,248.59022556391,249.5,257.747933884298,256.035087719298,254.854368932039,256.517543859649,252.003205128205,260.210803689065,256.42663476874,261.24250483559,258.952853820004,259.416863672183,259.803431372549,271.6,273.484848484848,276.318705673759,287.16814159292,286.91445948904,291.203703703704,295.344718474281,302.403846153846,301.068415191578,312.928082191781,317.063492063492,329.41977459907,342.159916926272,340.311004784689,345.355731225296,347.593048128342,351.017225065488,357.572883218394,351.017225065488,349.302429667519,349.825174825175,349.019254312069,352.824858757062,350.34860972361,353.195599553128,354.51224328594,360.096153846154,359.984984984985,360.096153846154,362.403288201161,364.5,374.759365384615,374.519230769231,366.555261956025,367.238562091503,367.990523968785,373.812645687646,377.121946564885,380.519480519481
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",7,155.880748841038,153.308823529412,150.386607836276,148.566433566434,147.058823529412,146.650466682061,144.457547169811,142.300194931774,142.358909321497,139.487478159581,139.165295857144,137.251908396947,138.040712468193,138.81636205396,137.790161521353,136.899747262005,135.154305788109,134.770889487871,134.786985839826,135.573316924154,134.998232711306,134.534394010295,135.174441786284,135.641605426795,136.41425389755,140.018391785209,141.7089678511,141.98380181686,142.798857609139,145.50791231941,146.004098360656,148.020549006316,149.639089394781,149.859205138658,149.299488288277,150.851581508516,153.9581254694,157.372562435854,160.142348754448,162.247096329505,165.317123033686,167.469701204976,168.569155327509,168.47405112316,171.109510086455,173.439048562934,175.15348501264,175.191228964814,177.740440669502,178.467831907772,180.127379928138,180.410960651379,178.033142519649,176.569961489089,175.011825922422,173.300107717749,174.621653084983,173.986468575284,175.026255897985,176.55478398231,177.966101694915,181.262839879154,180.728446288612,181.36398934416,181.784239259145,182.416267942584,181.031307550645,181.542483660131,181.750904252494,182.37436217286,182.928391930294,184.192041612536,187.001839362354,186.618505951557,187.5,187.230419977299,187.872119608164,187.739463601533,188.34922080413,190.055223843572,190.51724137931,193.255991840898,192.923907284785,194.422055314344,196.25350140056,198.141972367794,198.791540785498,199.350212146671,197.44190478207,195.417462527113,197.079412386743,197.865735351184,199.331848552339,201.925444462476,202.073009783046,203.362255965293,205.229716520039,207.454513961902,206.163194444444,205.812973969658,207.094714493123,208.303571428571,211.393034825871,210.340417309431,210.873983739837
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",8,117.524630541872,118.185220424992,117.915659414451,118.137964302943,114.718043288679,115.174009443873,111.675311601002,108.269477820961,108.953102794884,105.760188087774,104.707843190037,103.281096963761,105.106727037516,105.060929450449,104.267425320057,100.6038647343,99.8402555910543,97.3870247166198,96.7137549018692,96.5162797080448,99.2629861299973,99.460801081338,99.6784487990336,99.9137653622397,101.174679026966,103.098073957125,104.790633099567,105.690154440154,110.874780601609,113.555078683834,115.894039735099,114.896551724138,114.896551724138,117.577756833176,120.504169825625,122.003508370683,121.843003412969,120.975261195257,121.290044526004,125.217210007581,126.606198034769,127.717391304348,132.446414484203,129.942568686941,131.098572850979,131.177058746394,131.429745275267,132.192846034215,132.248442019483,132.952294841987,133.446621237933,134.476016530297,134.139060434735,134.925180785984,138.153049345348,138.095227128599,137.96742279389,135.708457982051,136.32183908046,138.163174320107,137.377306635257,135.597682991048,135.661308389205,137.602961543668,136.332622601279,137.349397590361,137.99325798136,137.79504915318,139.24060880829,138.754534461911,140.412245264729,140.883524603845,140.921242618317,141.50171355641,140.227270626514,140.200678583251,140.415859877823,143.40490797546,143.409106795772,143.032786885246,140.406222990493,143.006364789328,145.362083774291,145.21450100278,145.090332828598,147.968644308403,148.070302342602,144.975472009234,143.732761262642,144.222190994751,146.554831206969,148.488120950324,149.395987768279,150.793650793651,150.53393041681,152.514930053358,153.651814423519,153.050417120058,153.192655522061,153.554061903576,155.649167529455,153.094415308842,154.654243591714,153.604910998593,158.363265306122
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",9,161.637931034483,161.682533704439,157.930411206507,154.312539167734,151.221761180267,148.99546338302,149.110149110149,143.42453662842,139.844388020253,139.419404125286,139.870225435985,138.807958123894,141.873242736645,138.964577656676,138.964577656676,132.228017883756,131.727678965507,129.709912371801,128.658411064651,127.231537349341,127.762485253637,125.637342908438,124.846625766871,128.393250183419,129.355077835434,129.834254143646,128.088159917991,127.887426900585,135.360463170733,138.31687067312,140.073684488031,137.18085106383,136.068341691094,142.089231998779,141.764302110609,139.429312581064,149.467681407191,149.315504616364,149.348585954878,147.182436260623,152.574351869509,154.362407911958,154.639175257732,155.631131315812,152.665026620881,153.283462033462,154.663640762827,154.343389088013,157.412707498569,158.374039998672,161.542012927054,158.763403812909,156.130997715156,155.944350758853,156.130997715156,155.895691609977,162.201225259189,164.814814814815,164.261613261041,166.618635926993,169.256879538644,169.739952718676,168.606375092661,170.472657337556,170.659211300765,171.497584541063,168.42856918041,170.167427701674,170.436817472699,170.555861309851,173.306772908367,174.408924408924,175.627901820034,174.282864510568,174.171853131337,175.171307319684,175.167439464194,176.81660899654,178.656503096713,179.815688918858,175.899375476637,173.470319634703,174.428952832987,172.99635701275,174.539825717891,172.081764389457,178.918708673668,179.11714770798,184.386235233693,187.090739008419,184.555808172025,183.790642272217,186.562860438293,185.561047782373,186.847550189568,187.96992481203,189.878892733564,192.797808570434,190.221987315011,193.154761904762,187.63557483731,185.013876040703,185.769649539554,190.03591043515,192.390410533473
"Astoria","New York","NY","New York-Newark-Jersey City","Queens",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.047619047619,745.439469320066,744.047619047619,750.19848820111,744.047619047619,759.953161592506,749.765478424015,772.422680412371,776.822916666667,812.755681818182,842.867331750363,813.636363636364,752.314814814815,768.824635117205,778.17434759792,772.761767156097,789.721149203283,788.157894736842,793.147208121827,741.803143874526,765.715009601024,793.846153846154,761.900712076452,859.649122807018,915.384615384615,916.666666666667,880,896.548493408663,855.714285714286,872.093023255814,885.738706820195,855.67184885951,851.432880844646,870.646766169154,886.075949367089,875,887.777777777778,906.432748538012,938.582644431775,910.596026490066,890.652646437963,890.329988694177,877.777328216036
