"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,349900,357000,349000,339000,333900,325000,315000,299999,302000,307000,299900,299000,295000,298250,299900,299900,322445,319945,315000,299000,289900,294900,282000,293450,279900,289900,299900,325000,339000,340000,345000,326950,315000,309900,315750,299900,299900,289000,299900,347000,355491.5,352500,356983,384559,355000,340000,369000,369000,360000,368495,379000,384900,389000,384000,425000,399000,422250,425000,433949.5,439000,439900,458500,489900,499900,479450,474450,471449.5,467000,450000,456000,469900,465000,459900,449900,469700,499000,504915,499900,499000,499000,499999,532450,525000,516950,499900,514900,549900,549000,532000,535000,529900,510000,499000,485250,484000,499950,525000,539250,549000,548000,545000,524950,519000,499000,5e+05
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",2,179000,180000,180000,178950,179000,175250,174800,167100,165000,160000,159000,154949.5,150900,150000,149900,149900,149900,149000,149894,156821,150000,152500,150000,150000,147000,147000,147250,149900,159994.5,160000,155000,155000,161750,165000,169900,169999.5,169547.5,168900,170000,175000,178500,183900,189900,199900,203000,205900,2e+05,2e+05,209900,214900,215000,217450,219900,219900,234900,235000,235000,235000,239450,240000,249900,249900,254900,252000,254900,254500,249994.5,250000,255000,255000,254900,255000,258944,249999,253394,260000,268490,266944,265000,275000,275000,278940,279900,279900,279900,279900,282000,286000,289000,290000,299450,299999,305000,309749.5,309900,309949,309500,310000,315000,320000,320000,324900,330000,339950,345000
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5275000,5125000,5110000,5624500,5275000,5250000,5250000,5250000,5312500,5250000,5687500,5325000,5200000,5427500,5410000,5470000,6e+06,6430000,6162500,6075000,6400000,6500000,6650000,6622000,6812500,7050000,7e+06,6622000,6700000,6350000,6525000,6575000,6700000,6575000,6485000,6562500,6550000,6485000,6400000,6175000,6175000,6125000,5995000,5800000,5997499.5,5997499.5,5675000,5400000,5425000,5850000,5950000,6225000,6500000,6875000,6850000,6950000,6997499.5,7050000,6999999
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,240000,259000,250000,249900,245000,245000,245000,249900,249000,248888,249900,240000,254400,250000,250000,253900,250000,249000,245500,246000,247700,239450,230000,230000,239000,249900,249900,256900,250000,250000,279000,274450,265000,271600,279000,288000,285000,299000,319000,337000,345000,330000,339450,347500,359450,349000,349000,375000,364900,355900,364900,364900,366000,359000,369900,370000,380000,375000,389000,397500,372500,377000,379000,377952.5,379500,379500,390000,399000,399000,389000,399000,410000,399500,414500,410000,410000,419000,420000,419000,429000,424999,429000,445000,440900,459000,475000,480000,499850,520000,5e+05,514900,522250,515000,512500,533500,516944,517500,515000,549500,550000,572500,565000,577500,587499.5,585000
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6595000,6583500,6583500,7100000,7420000,7457500,6717875,6550000,6850000,7200000,7325000,7325000,7250000,7850000,7950000,7985000,8375000,7920000,7737500,7795000,7855000,8150000,7967500,7500000,7725000,6790000,6887500,7877500,7907500,7860000,7297500,7725000,6995000,7400000,6916000,6750000,6595000,6495000,6473000,6473000,6355000,6350000,6399000,6499500,6500000,6685000,6737500,6685000,6655000,6500000,6497500,6224500,5982500,5998000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",6,116900,118500,119900,116900,117450,117225,119000,114450,110000,109900,106000,1e+05,99000,94900,95000,94900,90000,94500,89900,94250,92100,92000,94900,94900,95000,92250,92900,95000,95850,99900,97900,99000,1e+05,109900,107450,113950,113500,118500,119000,120000,120000,129000,129450,135000,140000,140000,145000,145000,139000,135000,145000,149900,150000,154990,154990,154990,154990,154990,154945,159947.5,161750,159995,164450,162750,168900,169000,166900,169992,169994,169997,169900,169900,172800,179800,180000,179995,176450,180000,184900,189900,189999,190000,189900,189000,191500,199900,205000,215000,219000,220000,227900,224950,225000,223618,220000,222000,228700,240000,239450,242875,249900,245000,249999.5,270000,265000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260625,269000,260000,250000,265000,259900,265000,265000,270000,274900,288695,288695,289000,295000,299375,299000,298888.5,302475,305000,3e+05,304990,305990,309000,309950,310495,310990,309900,309416,313500,313250,314890,313407.5,319900,319490,317950,316900,316000,319000,312684,320000,324888,325000,328365,333900,344800,345000,349900,349945,350500,350000,359445,369888,350000,350000,359900,369900,368990,374999.5,379000
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",8,174950,180000,180000,190000,187567,199400,2e+05,227000,219000,199000,189500,189000,199000,219000,2e+05,195000,2e+05,199950,209000,2e+05,185000,195000,190000,195000,199000,199000,209950,215000,219450,220000,220000,225000,229950,235000,229500,235000,245000,245000,245000,239900,257900,249900,252500,275000,279900,292000,299900,299450,299950,312000,309000,312000,325000,339000,330000,334500,325000,334000,327450,319000,325000,329999,325000,339450,363800,350000,350000,362600,379000,369450,367000,360000,350000,361300,379000,379900,384250,385000,377000,392500,399000,399900,402500,417500,432500,422000,407499.5,419000,440000,415000,432450,449750,449250,449250,440000,441500,439975,440000,449500,474900,457500,474900,485000,487450,495000
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",9,379900,375000,362950,349000,349900,349700,339900,332750,329900,324900,339000,332000,329950,324900,324950,339000,336950,325000,327900,325000,322000,329825.5,319950,327375.5,340000,346500,349250,344900,349000,348000,349900,349700,357000,359900,359450,354500,350000,359900,359990,359900,369900,382500,389500,375000,365000,359500,369495,372000,370000,373500,385000,414900,406500,406249.5,409000,410000,420000,415000,415000,399900,399900,409900,437250,455900,449000,449000,435000,444250,451393,450000,450000,454443,467400,489900,497450,485000,484900,484900,477000,454500,479900,479900,479450,489000,499450,515000,515000,535000,525000,525000,518500,524950,499000,504975,504000,522450,519900,521990,519949.5,529900,529000,523499,526250,523999,525000
"East Side","El Paso","TX","El Paso","El Paso",10,189900,195000,207450,197750,198500,197750,195000,207575,205250,195635,192499.5,189900,190000,189900,180000,189000,184000,185475,182300,185000,185475,183225,180000,183500,179900,180000,180000,183200,180225,172995,171750,174495,180225,184900,184900,184900,184900,184900,177000,176950,179700,179500,179250,179250,179000,187000,189900,187900,190000,190750,190000,193500,192950,190000,187975,191850,191500,187000,189000,187000,190888,187000,188975,189990,195000,193000,195000,192500,189000,189000,192500,186975,193000,193000,193700,192950,193000,192975,192950,192950,193450,193450,192950,191950,189900,191200,191350,190550,192950,191975,194900,196950,196950,196950,193200,196950,199900,196000,199972.5,199890,201400,193725,198000,195500,195950
