"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",1,267500,265275,249900,259900,249000,248288.5,245000,245500,236500,225000,220000,223900,225900,225900,224000,213210,210000,210000,199499.5,213450,199900,219999,223900,218000,218420,210000,204950,199900,209450,215000,210000,224990,216200,229950,246500,235000,225000,219990,224950,235000,238000,235000,248499.5,259950,262500,287000,289499.5,282500,265000,265000,269900,269950,268500,275000,293944,299900,299999,299450,306000,299949.5,315000,315000,329000,327000,324900,325000,334900,329999.5,324999.5,321250,317500,310000,320000,329950,315000,309750,334900,334950,339900,339900,336162.5,347500,339055,338500,337072.5,339000,350000,359950,379000,388999,385000,378988,385000,399999,394941.5,397444,399999,399999.5,395000,399000,407000,407500,4e+05,417500,430000
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8300000,8995000,10572000,10200000,10750000,9475000,9200000,10700000,1.1e+07,10500000,10500000,10375000,9925000,9900000,10995000,11365000,10725000,11230000,11900000,11365000,1.1e+07,10475000,10550000,10500000,10450000,10995000,1.1e+07,10350000,10175000,10450000,10450000,10450000,10450000,10500000,10797500,10500000,10475000,10500000,10647500,9995000,9825000,10795000,10795000,9995000,9500000,9400000,9300000,9225000,9225000,9022500,9045000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432450,409900,399900,440000,432450,427000,429000,429000,420000,445000,463500,450000,462000,450000,449899.5,466000,470000,5e+05,544500,550000,554975,575000,575000,562000,554500,557000,559000,557000,575000,559000,575000,599000,549500,585000,559000,599000,570000,559000,569000,595000,637450,649500,649000,650000,649000,650000,650000,652500,650000,695000,704500,715000,707500,719950,729000,720000,735000,749950,743900
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14497500,13250000,13250000,12900000,12500000,13200000,13075000,14490000,13700000,13500000,13500000,13225000,13225000,13500000,12900000,13862500,13625000,12750000,13275000,13387500,12850000,12500000,11675000,1.2e+07,12500000,12900000,14225000,1.3e+07,13500000,12800000,12997500,13500000,12497500,12500000,13975000,14100000,13050000,12750000,12250000,11500000,13050000,14450000,1.5e+07,1.5e+07,14995000,1.6e+07,15450000,13975000,12750000,1.2e+07,13750000,12500000,1.4e+07,12625000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",5,189500,190250,197000,199900,189000,199900,194700,173847.5,161400,160000,160000,165000,152500,150000,155000,152500,150000,150000,149900,153950,151850,149925,150000,144900,149450,149950,150000,146900,162495,170000,169450,167450,174900,175000,177100,174900,169950,158950,159950,164500,175000,175000,175000,184900,188250,189900,189999,179800,189950,191700,2e+05,206000,209500,210000,209500,209750,212000,209000,215000,210000,209500,207000,209500,222500,235000,230000,220000,225000,220000,220000,224500,222000,227000,226500,229900,229900,226944,235000,255000,252500,249000,257000,257000,259000,269900,255000,259000,264900,265000,270000,268500,270000,279900,287950,295000,299888,310000,298975,295000,295000,299900,316250,320000,329000,325000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",6,340000,344950,339950,337900,325000,318950,307950,305000,311950,3e+05,305900,3e+05,323750,295000,279000,259900,274999,282500,274999,269000,259350,249950,250000,249950,264500,265221,269500,287576,289900,284950,284900,285000,279950,299000,299000,304950,344950,349900,359900,379900,382888,349995,349900,375000,375000,381250,388950,379000,374900,379000,388000,425000,427495,415000,415000,415000,421247.5,449000,429000,445000,415880,418800,419000,410250,398500,399000,399000,412000,399000,399900,399900,399444,399950,419000,425878,423856,417000,425000,429000,430888,415332,422944,429000,422327,427997,425000,424445,444347,448440,460000,475000,475755.5,458500,459900,460556,456250,468586,486110.5,479900,499999,535888,5e+05,499949.5,499950,5e+05
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375000,375000,371995,387000,383000,4e+05,395000,407500,410000,419000,410000,416000,415000,407500,399997,399999,4e+05,405000,410000,410000,429000,448900,465000,465000,475000,480000,465000,459499.5,470000,470000,480000,480000,495000,487250,482500,499000,497000,499000,499000,5e+05,507000,515000,529499.5,549000,559000,552450,564900,569000,569000,569000,585000,580000,6e+05,617000,629499.5,6e+05,6e+05,594000,624950,625000
"East New York","New York","NY","New York-Newark-Jersey City","Kings",8,487100,480000,475000,469000,469000,459999,464499.5,459000,450000,450000,449994.5,450000,439000,439000,430000,438500,429000,427000,419000,429000,439000,439000,439999,439000,445000,439000,449000,453999,469000,475000,479000,479000,479000,479000,479000,479000,479000,479000,479000,499000,499000,499000,499999,499000,499000,499000,499000,499000,506500,519000,525000,525000,525000,525000,525000,529000,539000,539000,550000,559849.5,589999,584500,584500,589000,6e+05,625000,625000,649999,629499.5,650000,649499.5,649000,649000,649000,695000,699000,659999,659999,679000,699000,699999,742000,749000,749000,745000,745000,739000,745000,749000,749000,749000,749000,749000,754000,749000,749000,746500,729000,749000,749000,799000,799500,812500,849999,839000
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879000,799900,789900,749900,712000,735000,737450,807450,849900,810000,789950,789900,792500,797000,749000,759450,869900,869900,748206,749000,749000,737000,699000,755000,874950,844950,767450,699900,680000,709900,724900,789000,799000,797000,737000,792450,799000,775000,757500,772000,762450,825000,799499.5
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999000,999000,1100000,999000,999999,1089000,1150000,1100000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1390000,1390000,1390000,1490000,1490000,1495000,1500000,1590000,1562000,1590000,1500000,1499999.5,1600000,1612500,1599000,1599000,1350000,1350000,1350000,1350000,1522500,1545000,1545000,1522000,1699500,1700000,1699000,1699500,1700000,1700000,1700000,1700000,1700000,1695000,1700000,1725000,1700000,1700000
