"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90200,95000,98000,99900,95645,96390,104000,107900,109900,115000,109000,104998,110000,115000,115000,114900,103000,109276,119900,122000,127000,121000,125250,119000,119900
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91000,92250,95000,97900,99900,104947.5,105000,108500,109900,112050,109000,108847.5,109900,110000,110000,110000,110950,112974.5,115000,116950,119900,119500,124900,125000,125000,128700,130000,133000,134950,134949.5,132000,135000,135900,140000,146000,146950,148000,147500,147072,148000,149900,150000,153041,154900,158900,159900,159900,159900,160000,160000,160750,161900,165000,165000,167000,171243.5,174999.5,175000,175000,177000
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",3,72250,67250,66500,65700,65500,65000,66200,68700,68000,68000,68250,69900,70000,65000,66400,67000,65000,62950,60000,60000,60000,61900,61000,59925,59700,59950,59900,60000,62500,63600,65000,60000,62900,64450,60000,68000,69000,69990,70000,70000,75000,76000,75000,80000,79900,79900,79900,80000,81000,82250,83000,84900,84000,84900,80500,85000,84900,84900,84460,89000,89900,89900,92250,90000,97900,90000,98500,99000,99000,99900,104000,104900,105000,105000,105000,105000,104900,112000,108000,109900,115000,119900,118700,117850,119900,124900,125000,125000,125000,125000,129000,135000,139000,134900,134700,135000,139450,144900,147888,149900,144900,150000,149900,145000,145000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,199900,2e+05,2e+05,209900,215000,217355,212000,209900,210000,209900,214000,214900,219000,214900,215000,210000,205000,210000,209999.5,210000,205150,204000,207900,201600,206050,205000,209000,212000,209000,205000,212900,215000,215000,219900,225000,229500,235248.5,239950,245000,248000,255000,269900,279999.5,279999,280000,280000,280000,290000,280000,285900,290000,299999,309000,306000,315000,318000,309499.5,310000,315000,310000,315000,320000,322000,330000,330000,329900,330000,330000,335000,335000,339000,340000,345000,349000,350000,359000,359450,363900,375000,370000,374999.5,375000,374999,374999.5,375000,375000,393000,389999,399000,4e+05,4e+05,4e+05,409000,419900,425000,429900,430000,429000,430000,436750,449900,450000,450000,449900,449000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",5,70000,68950,69000,68944,68000,67815,68000,69900,68000,67900,65720,65000,65000,63000,62000,62000,60500,60000,59945,60000,59900,59900,59000,55500,55500,57800,57900,57500,59900,60000,60000,60000,58900,59900,57527,60000,63000,63700,65000,65000,69900,69900,69900,75000,75000,77900,78000,80000,80400,85000,84900,85000,85000,85500,82900,89900,89900,89992.5,88000,89900,92750,99000,99250,96500,1e+05,104900,99900,99900,105000,1e+05,105000,105000,105000,110000,108000,110000,110000,115000,117000,116990,120000,124900,128900,125000,127350,129000,134999.5,134000,134900,134900,135000,135000,138900,140000,140000,149250,148499.5,149900,149900,149900,150000,158500,155000,155000,155000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",6,69900,69900,69900,70000,70000,69900,69995,69900,68000,67500,65000,64900,65000,58500,61500,62300,62350,60000,59900,59900,59900,59850,59000,56900,57900,59900,60000,59900,61000,62000,64900,62450,64900,65000,65000,69900,72500,73000,75000,75000,77300,77100,79900,84900,84900,84900,85000,85495,84900,85000,85745,85990,89000,89000,87800,90000,90000,89900,90000,90000,89900,92250,92000,92745,95000,94250,95000,95000,99000,98000,98500,98500,99900,99999,1e+05,1e+05,1e+05,103900,106000,105950,108444,109250,110000,112000,115000,115000,119000,119950,120000,125000,129900,132000,135000,134900,135000,139000,144900,144900,145000,148900,149990,148995,150444,159000,159000
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",7,170000,175000,170000,170000,175000,180000,189900,190000,180000,180000,180000,179999,184900,190000,189000,184500,185000,186887.5,189000,189000,185000,180000,180000,180000,184900,181324,184900,187000,195000,190000,186949,190000,189900,199000,2e+05,205000,209450,210000,219000,214950,229900,235000,239900,244500,250000,255000,254900,257000,259800,259950,259800,269000,269900,270000,280000,289250,282450,279949.5,289000,290000,287500,288000,289500,289900,295000,295990,299000,310000,316000,317000,309990,318000,319900,325000,329945,339000,341500,339450,340000,349900,349947.5,350000,350000,355000,360000,359000,359999,359000,359900,360000,367000,369500,369900,379900,380000,384900,389000,399000,395000,399000,399000,399000,4e+05,4e+05,4e+05
"East New York","New York","NY","New York-Newark-Jersey City","Kings",8,249000,250000,250280,260000,255000,256000,250000,252500,259000,244700,247858,240000,236995,225000,239000,229499.5,229000,229000,229499.5,225000,227432,219949.5,209950,219721,212000,220250,219000,219000,2e+05,205000,199000,199000,197000,199000,198000,198000,199000,199999,199999,2e+05,2e+05,2e+05,2e+05,2e+05,199000,199000,199000,199000,199000,197000,199000,204300,209250,206450,2e+05,2e+05,199499.5,2e+05,210000,212100,216090,199000,199000,199120,199000,199000,199000,199000,199000,199000,199000,199000,2e+05,199000,199000,2e+05,215000,219000,220000,219000,226000,225000,225000,225000,225000,225000,249000,249000,235000,239000,228000,247500,250000,270375,270375,257000,256000,252499.5,255000,258000,260000,260000,275000,278905,280000
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,129000,127950,129000,129450,134900,132500,134999.5,139000,142500,148000,147900,148500,140000,149900,149900,149350,149800,147900,150000,159000,156000,159900,158950,154900,159900
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",10,84200,84950,85750,85000,84900,80700,82500,84500,79900,75900,76500,77000,75000,74000,74900,74800,74000,72100,69900,69900,71200,69900,69900,70100,70900,72000,74000,75000,76900,75000,75000,79000,76500,85000,85000,85390,89000,89900,91950,89993.5,94250,99500,107750,99900,105950,107750,110000,113500,117500,119900,120000,121250,122395,120000,120000,120000,116500,119000,119950,115250,117000,115000,109950,114900,120000,120000,114500,124900,125000,124950,126700,124950,125000,133000,131000,130000,134900,134900,134900,139450,133900,134900,139999.5,139450,139450,144000,148204.5,149000,148000,149000,149000,153750,150000,159500,159900,155000,158450,155900,149994.5,150000,150000,155000,159000,156500,157900
