"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59900,69450,69000,65000,60850,67800,66000,68000,64600,65000,68000,65000,64000,62000,62250,65000,66449.5,74000,65000,65000,66900,72295,75000,72500,69900,75000,71500,74000,74900,77450,81250,84750,79400,77686,77000,86450,88900,82500,85000,89400,89900,90000
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63444,62000,60000,66500,69500,69000,69995,73000,75500,76750,74000,83900,82500,82000,85000,81000,83000,81500,85000,85000,85000,85944,84900,87000,89990,94900,99000,99800,96727.5,1e+05,109000,104400,104700,95950,109900,109900,107888,110750,117000,120000,119888,122450,118000,119888,115990,117950,114500,119999,127000,123000,120000,119999.5,119900,128500,124999,128500,126000,124899,135000,139000,149900,144950,145000,155000,145000,144000,145000,144900,149000,155000,155000,159900,151950
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350000,2295000,2300000,2200000,2195000,2199000,2280000,2199000,2150000,2175000,2195000,2052500,2195000,2250000,2285000,2250000,2255000,2200000,2200000,2249500,2195000,2275000,2250000,2175000,1850000,1730000,1845000,1895000,1920000,1925000,1900000,1895000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",4,64900,64900,62000,65000,65000,65000,65000,65000,65000,62500,61250,59900,59000,55000,55900,55000,55000,54900,54000,52700,53000,52000,51000,49995,52950,54000,54850,54800,56500,58000,61000,64888,65000,65000,65000,65000,69000,70000,73750,75000,75000,77450,79900,85000,84900,84450,82000,84000,80000,82694,84900,85000,85000,86900,85000,87950,88777,89250,89999,89900,88999,90000,90000,92000,94900,95000,94943.5,95400,99000,99000,99000,98000,99999.5,100500,101449.5,1e+05,99900,99750,103450,105000,108444,109700,112000,110000,113800,115000,118899.5,119950,120000,125000,125250,130000,132920,130000,130000,134925,139888,140000,143900,148888,149990,148995,150000,159400,159000
"East New York","New York","NY","New York-Newark-Jersey City","Kings",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260000,263500,264275,264275,275300,283987.5,299000,295900,288432.5,289500,285982.5,284970,297827.5,297827.5,299000,299000,299000,292827,286965,299000,299000,329000,344000,315300,307500,305000,315125,310000,301500,320000,320000,315700,315700,320000,320000,320000,320000,320000,320000,320000,310000,306500,315850,320000,315700,308000,304000,309000,332000,340000,339500,310000
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122250,125000,125000,139250,135000,137000,139900,137700,135000,135000,135000,140000,142750,144900,144900,149900,149900,149900,149700,150000,149500,159900,157500,154900,142700,156400,159945,168000,169450,164500,179900,167900,161250,164000,164000,169000,164950,158425,164900,165000,164500,164974.5,171250,174900,170000,174949.5,179250,183040,194900,185000,178000,187000,179000,175000,179500,179900,195000,198000,198000,196250,190949.5,199500,198650
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495000,448000,498000,470000,498000,518000,499000,499000,492500,479000,495000,499000,499500,490000,475000,495000,499950,548750,525000,530000,548500,549750,549500,549500,549500,549000,515000,544500,542500,535000,533500,549000,557500,535000,560000,530000,532500,540000,575000,609000,596475,589000,592250,589000,595500,589000,575000,569000,560000,569000,577000
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99850,102450,102450,107000,88000,95000,109500,99700,109500,99900,99500,1e+05,112750,109900,1e+05,107500,110000,110000,109933.5,112500,125000,124000,120000,120000,123000,120000,118000,120950,129000,135500,125000,134950,133450,140000,140000,126250,123900,127400,150000,137000,147000,149950,145000,145000,150000,149900,149900,147000,149900,150000,150000,149994.5
"Astoria","New York","NY","New York-Newark-Jersey City","Queens",9,385000,385000,385000,387000,391140,391140,391140,385000,389000,391140,396472.5,396472.5,395445,387960,387960,429000,439000,451500,429000,420000,429000,429000,429000,429000,429000,429250,444960,429000,429000,429000,399000,399000,445000,449500,425000,427000,419000,425000,419000,385000,375000,393500,441500,449000,430000,449000,450000,455000,454000,425000,490000,489500,490000,505000,522500,525000,532500,539500,547000,540000,549000,545000,549000,550000,580000,584577.5,587000,589000,649000,650000,676510,667000,660000,669000,629000,649000,660000,660000,665000,690000,665000,665000,662500,649500,607000,625000,630000,637500,650000,650000,650000,682255,662720,672420,665760,677340,680960,659000,671840,695000,694525,684480,679000,669000,695000
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114700,117000,120000,121000,121250,114500,117000,115000,118250,119900,119900,115000,120000,119900,124950,132500,134000,130000,141900,139500,140000,139500,144750,159500,157000,155000,154950,157500,149450,152000,159900,159950,165000,161950,159450,158950,167500,175450,174900,168950,175000,174900,174900,181000,174900,169000,171250,174900
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865000,8e+05,747000,749500,772000,779500,779000,785000,789000,764500,759500,797000,799000,777000,777000,750000,699000,799000,799000,789000,775000,799000,782000,799000,794719.5,775000,799000,825000,849000,850000,862500,875000,899000,899000,899000,897000,875000,872000,832500,815000,825000,799000,825000,799000,775000,749997.5,749000
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829000,849000,849000,859500,887000,960000,934000,950000,957000,999000,995000,1100000,1095000,1100000,1050000,995000,1157500,1157500,1142400,1100000,1095000,1099000,1100000,1150000,1192000,1192000,1100000,1150000,1212500,1195000,1195000,1190000,1125000,1118275,1117550,1125000,1145000,1095000,1092500,1117550,1100000,1100000,1068375,1068375,1060500,1100000,1117550,1142750,1097500,1075000,1052400,1085000,1100000,1148500,1190000,1195000,1180000,1172500,1195000
