"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,257450,265000,269000,269000,257900,256400,259000,260000,249975,249000,250000,248888,250000,250000,250000,250000,250000,248000,249999,250000,249000,249900,250000,249000,260000,260000,265000,260000,255900,260000,267450,274900,274950,274900,294500,306750,319900,314000,320000,335000,350000,350000,359949.5,364900,375000,376500,389450,392500,385000,389000,399900,389900,389450,390000,399000,399000,410000,399999,425000,409500,399999,399999,405000,409900,418000,429700,422000,432500,425000,429950,449999,449999.5,449450,449999.5,467000,475000,475000,484950,474950,485000,489000,477000,481999.5,479900,495000,499900,5e+05,536500,539000,539000,542000,549000,550000,549900,559000,559900,550000,579000,592500,6e+05,609450,625000,649000,649000,649000
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,225000,240000,230000,239500,235450,230000,235900,239000,239000,239000,239000,229950,229000,220000,219900,219000,225000,222000,230000,222950,224900,230000,239900,233000,239000,229950,234450,239000,249900,249000,249900,250000,249000,250000,264999,259000,272000,289000,299900,299900,299997.5,3e+05,310000,332500,329000,332500,339000,332500,344950,349000,350000,349900,350000,359000,359500,385000,385000,385000,379450,379000,375000,380000,389450,395000,399000,395000,399500,399949.5,399949.5,399250,409999,429000,415000,419000,420000,425000,429000,435000,435000,435000,450000,439000,459000,459000,459900,459900,462500,475000,479450,479900,480000,490000,499000,499000,499000,499450,499000,499900,510000,524900,529450,530000,529500,525000,535000
"East New York","New York","NY","New York-Newark-Jersey City","Kings",3,469000,450000,449900,449000,449000,439000,449000,434000,429000,429000,419000,419000,410000,410000,399999,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399999,399900,423500,439000,439000,439500,449000,449000,449999,459000,459000,462500,469000,475000,489000,489000,489000,489000,498997,499000,499000,499000,499000,499000,499000,499000,499000,499000,5e+05,525000,519000,5e+05,525000,529000,539000,549000,559999,569000,575000,580000,595000,599000,595000,599000,599000,599999,599000,599000,629000,639000,639999.5,649000,649999,659000,659500,675000,699000,699000,699997,699000,699000,699997,7e+05,719000,725000,729000,715000,729000,739000,739000,739000,729500,748500,749990,750000,768000,775000,779000,768500
"Astoria","New York","NY","New York-Newark-Jersey City","Queens",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293999.5,1300000,1300000,1379000,1314500,1349000,1349000,1337500,1248888,1400000,1400000,1450000,1475000,1450000,1390000,1399000,1375000,1399000,1449000,1525000,1478500,1400000,1449000,1498000,1498000,1498500,1447500,1400000,1435000,1479000,1459000,1439000,1495000,1588000,1595000,1649000,1649000,1692500,1690000,1650000,1649000
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999000,999000,1e+06,999999,999000,1084000,1100000,1100000,1175000,1199000,1200000,1249000,1250000,1250000,1250000,1290000,1290000,1300000,1350000,1370000,1350000,1389000,1392500,1399000,1399000,1399000,1399000,1449000,1450000,1400000,1425000,1350000,1350000,1350000,1350000,1399000,1412500,1499000,1499000,1475000,1499000,1499000,1499000,1497000,1499000,1499999,1500000,1595000,1600000,1600000,1600000,1599497.5,1599999
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749500,817250,712499.5,739450,807000,805750,742000,780000,850000,950000,950000,965000,965000,950000,950000,950000,926250,950000,989450,997000,998000,997000,997000,1e+06,1095000,1e+06,1095000,1187000,1150000,1175000,1238000,1218500,1220000,1250000,1200000,1350000,1250000,1225000,1200000,1287450,1350000,1324500,1200000,1398500,1374000,1388500,1399000,1399000,1350000,1399000,1397000,1395000,1464500,1450000,1597000,1600000,1725000,1800000,1675000,1600000,1600000
"Flatbush","New York","NY","New York-Newark-Jersey City","Kings",7,599000,592000,590000,582500,550000,549000,549000,549000,549500,549000,537000,544000,537000,525000,525000,525000,499999,525000,525000,539000,544000,544000,525000,499999,499999,499000,499499.5,515000,520000,515000,529000,529000,529000,529000,539000,539000,549000,549000,565000,597000,599000,599000,599000,632000,629000,649000,649000,649000,644000,629000,650000,654500,650000,659000,689000,685000,699000,699000,699000,699000,749000,799000,749000,749000,794000,799000,799999,849000,849999,862500,849000,849000,844500,892000,974000,899000,924500,990000,850000,850000,950000,944000,949500,9e+05,950000,950000,950000,992000,1049499.5,1099000,1e+06,949000,949000,985000,998000,992499.5,996500,999000,999999,1150000,1200000,1164080,1269500,1215000,999000
"Crown Heights","New York","NY","New York-Newark-Jersey City","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999000,999000,999000,1099000,1199499.5,1200000,1200000,1200000,1199999,1295000,1300000,1299499.5,1362743,1300000,1269750,1362500,1350000,1325000,1280000,1225000,1200000,1200000,1295000,1300000,1350000,1350000,1350000,1395000,1350000,1395000,1397000,1350000,1372500,1372500,1495000,1549000,1599000,1599000,1599000,1595000
"Jamaica","New York","NY","New York-Newark-Jersey City","Queens",9,449000,459000,450000,449000,449000,441500,430000,439999,429000,425000,419500,424999,419999,399999.5,405000,399900,4e+05,399000,399000,399999,399000,399000,399000,389000,399000,399000,399000,399000,399000,399000,399000,4e+05,419999,425000,419000,415000,425000,429000,429000,435000,439000,439000,465000,469000,465000,465000,469999,469000,469499.5,474000,470000,469000,470000,469000,479000,489999,479000,489000,529000,525000,519000,519000,525000,525000,549000,589000,539000,549000,569000,599000,589000,599000,625000,639000,649000,639000,639000,649000,6e+05,604999.5,629000,629000,629000,659000,697000,699000,659000,650000,659000,650000,650000,675000,679999.5,689000,695000,688900,677000,675000,699000,699000,682499.5,695500,699475,699000,694500
"Williamsbridge","New York","NY","New York-Newark-Jersey City","Bronx",10,479000,495000,487000,489000,479000,479000,475000,469000,469000,461000,464000,462500,465000,449000,450000,439000,445000,440000,440000,440000,432499.5,432499.5,439000,429000,429000,429000,429499.5,439000,445000,449000,450000,450000,449000,442500,425000,440000,449000,450000,459000,449500,450000,475000,475000,490000,499000,499000,490000,489000,489000,479000,499000,495000,495000,495000,489999.5,485000,489000,489000,489000,479000,479495,475000,479990,485000,485000,495000,529000,549000,549000,549000,525000,519000,515000,539000,549000,549000,539499.5,549000,559000,569000,569000,569000,579000,599000,599000,599000,589000,589000,589000,589900,599000,598000,585000,599000,589999.5,586950,592500,589999,599000,599999,599000,610000,6e+05,634500,629500
