"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,164900,169000,169900,169000,164900,164900,159950,159900,163700,165000,165000,169000,168900,168270,167700,164500,168500,164900,163900,159900,159900,159000,154900,154000,150000,154000,154900,154900,158856,156950,159900,159900,159250,159900,159900,162750,161250,161250,159900,158950,160000,159900,159250,159900,159900,159500,163950,164900,164000,169000,169000,169900,169000,167400,165000,167500,165000,179950,179950,179900,180000,182500,183450,179900,181000,187700,189450,189900,188500,189900,189950,194950,199900,2e+05,199999.5,202500,208000,2e+05,2e+05,208500,210000,215000,221500,222250,219900,219700,225500,225000,225500,232750,239000,235000,240000,242500,245000,239900,242500,241200,249900,249950,252500,257750,257000,255000,249900
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",2,147450.5,140000,139900,135950,135000,129000,129000,129000,125490,125000,124900,121000,124945,128245,124900,125000,122900,119990,117888,115990,109900,109950.5,110400,110200,119900,119900,124000,129000,127900,135000,135000,135000,135000,139900,134950,138500,135100,136450,140000,143000,148900,150000,153000,155000,160000,164850,160456,165000,166450,167900,169900,175000,175000,172950,172800,171900,169900,171685.5,171371,171185.5,169900,169900,177450,179000,180000,179900,178000,179900,182500,179950,184900,184999.5,187000,189900,187950,195950,198900,199849.5,199900,199000,199000,199000,199500,205000,210000,215000,210000,214900,210000,219900,220000,220000,219000,219900,220000,219900,225000,225000,230000,225785,225785,230000,230000,228500,234900
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",3,144900,144900,144900,142000,140000,137900,135000,136995,134900,135000,135000,134900,130000,129900,129900,129500,127500,125000,124900,125844,124900,125000,124900,120000,120000,123900,125000,124900,125000,125000,124900,125000,129000,129949.5,132350,135000,135000,139000,144950,145550,149999.5,150000,155450,159950,160000,165000,165000,170000,169900,169250,169900,174900,175000,179650,179800,184250,180000,179999,180000,183500,182995,184900,185000,189900,193500,195000,195000,195000,194900,195000,199000,199900,199900,199995,199900,199999,204900,210000,214999,215000,215000,219000,216000,215000,219000,219900,223000,224900,225000,229992.5,239650,240000,239900,244450,245000,249842.5,249999,250000,259000,260000,260000,264500,269900,269900,269420
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",4,392000,399000,399500,419000,419000,415000,412500,404500,399999,4e+05,409500,412500,399500,4e+05,415000,419000,405000,415000,402500,399000,399000,399000,389000,382350,385000,385000,389000,389000,389000,385000,384500,375000,389000,379350,390000,379000,369000,372000,379000,379000,360000,379500,385000,375000,382000,382000,379000,385000,395000,392500,398500,387000,389000,398000,399000,399000,398000,419500,425000,4e+05,417250,399500,425000,417000,404500,415000,405000,402500,399500,419000,429000,433500,449000,438000,433500,430000,437000,450000,449000,444000,438000,450000,439000,440000,440000,440000,439000,445000,459000,459000,475000,472000,464000,469000,472450,482000,492000,480000,497000,499000,499000,499000,499000,499000,499000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,4e+05,399450,410000,405000,399500,399000,395500,379950,382500,379500,380000,395000,385000,374000,374000,350000,350000,349450,347000,349000,339000,339000,340000,339500,340000,339500,339500,349900,350000,350000,359950,350000,350000,352500,355000,364950,377000,379900,385900,399000,406900,427000,439900,444950,450000,450000,439900,450000,469000,450000,464500,450000,469000,450000,468000,487250,474000,475000,469000,469950,479500,499000,522450,505000,527450,515000,532450,525000,517499.5,515000,530000,549900,539000,539000,554000,550000,540000,549900,539000,546950,548950,549950,549000,549900,550000,552475,565000,571900,575000,590000,589000,582500,589000,580000,595000,595000,595900,610950,629900,625000,619000,630000,643950,649000,649900
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York",6,410000,419000,409500,415000,402250,407000,399000,399000,399000,399000,399000,399000,395000,395000,389000,385000,379000,379000,375000,375000,375000,372000,375000,379000,379000,375000,375000,375000,379000,379000,377000,369500,352500,375000,375000,372500,379000,379000,385000,390000,395000,398000,395000,396500,399000,395000,395000,389000,399000,399000,399000,399000,409999,399000,399000,411250,399000,399000,395000,399000,399000,399000,418000,415000,402500,399000,399000,399000,399000,399000,410000,412000,4e+05,422500,427000,417000,428500,425000,419000,410000,4e+05,412500,422000,429000,425000,429000,440000,445000,450000,464500,470000,475000,469000,457000,469000,465000,469000,469000,469000,469000,469999,475000,475000,475000,475000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",7,132061.5,134900,134900,131450,130450,131000,129900,129000,125000,125000,125000,124900,124925,122495,120000,120000,120000,120000,119950,118900,119900,116500,115966,114900,114900,115900,115990,115990,117287,118350,118100,119800,119900,119990,122000,128500,125000,129900,135000,135000,139900,140000,142900,148944,152700,159000,159000,160000,159999,160000,159000,164900,164990,164150,164150,165000,167450,165000,167000,170000,169999,174000,170000,174900,178900,179950,179900,179990,184900,185000,186900,185000,185000,189900,189999.5,189900,189900,194900,195000,199250,199900,199900,199900,199900,205000,205000,209999,214900,219900,220000,225000,224900,228900,227000,229000,230000,239900,240000,239999.5,244900,244945,248694,249000,250000,249999
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",8,149000,147999,146700,145000,147500,145000,145000,144900,141950,139900,139900,139900,137700,135000,134900,134900,134000,134900,132495,131660,132500,129999.5,129900,129000,128950,129900,129999,130000,133900,134900,130000,132500,134900,136950,138000,140000,142250,145000,145800,147650,150000,154250,154999,160000,165000,169000,169900,174900,174999,175000,178000,179800,178950,180000,185000,190000,199000,195750,199000,199900,199000,198754.5,199900,209945,206500,205000,209000,209000,210000,209450,205700,210000,210000,212500,210000,214900,215000,219000,219900,222000,225000,227000,225000,227888,228000,229999,234900,234900,238500,241950,245000,247750,249900,250000,250000,259250,265000,265000,269000,269440,269900,275000,275000,279900,279900
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",9,407500,4e+05,420000,399000,399000,399500,399000,415000,399950,407450,399888,399900,407450,399000,399450,389900,359000,362000,365000,370000,375000,365000,398000,389500,379500,365000,369000,389000,389000,387000,389000,379900,390000,399000,392500,399000,390000,404444,422450,429500,442000,436944,429950,439000,450000,447000,479900,466500,479900,474999.5,471499.5,455000,475000,479950,480000,510000,507500,520000,480000,480000,479500,495000,499000,499000,499000,499000,499000,499000,515000,511500,507500,499900,513000,525500,527000,537000,550000,559000,557000,560000,562500,567500,558500,570000,570000,575000,6e+05,599444,614777,609500,609500,599999.5,619500,619000,609500,605000,614500,640000,649000,647250,639900,619888,629499.5,647000,640000
"East New York","New York","NY","New York-Newark-Jersey City","Kings",10,399000,399000,399000,399000,399000,399000,399000,399000,399000,389000,389000,389000,379950,379000,370000,364000,368100,369000,369000,367900,369000,369000,365000,360000,360000,362350,369000,369000,369000,375000,379000,379000,379000,375000,370000,379000,380000,379000,389000,389000,395000,390000,389000,399000,399000,399450,419000,419000,425000,419000,419000,425500,418750,4e+05,399999,4e+05,4e+05,429000,429000,415000,409900,419500,415000,410000,399000,415000,419000,419500,419000,419500,410000,424500,414950,428201,426600.5,425000,439000,439000,429000,432499.5,432000,432000,428250,425000,425000,425000,425000,435000,440000,429000,449000,449000,445000,450000,449000,449000,449000,450000,444000,449500,449000,454500,464500,471999.5,475000
