"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,249000,248000,249250,249000,249900,249990,249775,241750,239900,239900,239000,229000,219900,227500,232500,230000,234900,229950,225000,225000,224500,224900,225000,224625,219900,229000,232000,234900,244950,245000,239900,229000,225000,229000,228245,219950,225000,235000,249600,250000,259500,260000,264000,269000,254450,250000,264900,274450,269900,279000,286000,294700,305000,299000,299999,3e+05,3e+05,314950,299990,310000,325000,325000,349900,350000,359900,365000,349000,339601.5,349500,350000,362900,350000,350000,359000,367000,385000,385000,384900,389000,384900,384900,395000,389999,375000,394999,399900,405000,418750,410000,4e+05,399700,399900,399000,398237.5,386450,389500,389500,405000,410000,415000,410000,409950,419000,399999,409250
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99997,100500,103500,106000,109694,110000,112000,114999,116800,119900,119999,119000,117950,117000,117000,116900,115250,118000,120000,125000,126500,129900,129900,132000,132000,134900,135000,138500,139900,140000,143550,145000,147316,149000,150000,153000,155000,155000,154900,155000,154900,155000,159800,160000,160000,165000,166150,169000,169900,169900,169900,168900,170000,174000,175000,179000,180000,184249.5,182900,185000,185900
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",3,150000,152500,149900,148650,145000,139970,135000,134900,130000,129900,129900,125000,124950,124994.5,123900,120000,120000,119200,119000,119000,118888,119900,118000,116800,115000,115000,116900,117000,124900,129900,124000,123300,125000,129900,134500,135000,137000,139900,146300,146300,149900,153597,152500,162000,169000,169000,169700,169900,169000,169900,170000,175000,175000,179959,183000,185000,189000,189990,193000,194947,199000,199888,199625,199999.5,199990,206200,205500,209000,209900,214811,218888,212950,212023,209900,209890,215000,215900,224900,229600,230000,235000,231500,229900,230000,235000,230500,237950,240000,245000,249000,258000,259000,257500,259000,259999,264900,262940,265000,269500,269900,272950,275000,285000,289900,288000
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7975000,8475000,9147500,7895000,8900000,9800000,9899500,10125000,8700000,8700000,9e+06,9675000,9600000,9500000,9372500,8995000,10597500,9995000,9950000,9950000,9997500,9950000,9350000,9175000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,2e+05,201500,202500,209950,209900,212950,209000,2e+05,210500,209950,214950,215000,219000,214775,210000,205000,205000,210000,209250,209250,205600,205000,205000,204500,209000,209000,210000,214900,209000,210000,215000,219000,219400,224900,229900,232550,239000,245000,249900,249900,259900,269900,280000,279450,279999,280000,279900,287125,279900,289662,290000,299949.5,305000,309000,315700,315000,305000,304500,309900,309250,315000,315000,313500,329000,329950,325000,329900,329000,335000,335000,339450,345000,349000,349999.5,350000,350000,359900,365000,377000,375000,380000,380000,384184,385000,390000,396624,399999,409900,419900,425000,429900,430000,439900,440000,446500,450000,462250,462250,459450,470000,482500,490000,485000,485000,490000
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5e+07,14250000,14500000,14750000,1.4e+07,12900000,1.4e+07,14750000,1.4e+07,14250000,14925000,14900000,15488000,16750000,15990000,16370000,15990000,15488000,1.5e+07,1.5e+07,14770000,1.5e+07,14300000,14125000,14550000,14750000,14350000,14750000,15575000,1.6e+07,16200000,16500000,17500000,16872500,16850000,16625000,16972500,16825000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",7,95900,98000,96900,96750,94700,89900,89900,89900,88000,85500,85000,82900,80000,79900,79000,79500,78000,76500,75000,75000,74950,74000,74694,72000,72900,72950,74900,74900,79500,82000,80000,85000,87000,89900,89947.5,94999,95000,99000,99500,104800,109000,112800,115000,119900,120000,119990,120000,124900,123500,125000,129900,130000,131000,134900,135000,139900,139999.5,140850,137894,140000,140000,140000,140000,144400,149500,149000,149900,149999,150000,150000,150000,150000,150000,154995,155995,159900,160000,160000,164900,165000,165000,166950,169000,169900,172900,176000,179900,180000,185000,189945,198000,195000,199999,199999.5,199997,199900,199999,209000,215000,218000,219000,225000,227950,239999,235000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",8,175000,174900,170000,168900,166000,161950,159900,154900,150900,150000,150000,149000,147990,144850,145000,145000,140000,144000,140000,140000,142900,139900,139000,139000,139994.5,139970,144669,147900,149950,153250,149900,150000,155650,159822,160000,169975,174900,174950,175000,184900,189900,195000,196749.5,210800,215000,220000,220000,220000,220000,215900,224900,225000,225000,239000,239900,245000,245966.5,249000,249894,250000,254970,259990,259900,269900,269900,265000,269990,270000,274900,277990,275990,277095,278939,278310,279990,279000,284900,285020,289900,289900,290000,289900,290000,292990,295000,299900,3e+05,305000,309490,319662.5,320000,320000,329000,325000,325000,324400,329000,327000,320390,325000,337490,340000,344015,355000,349999
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",9,164950,163223.5,160000,154000,160000,169000,173950,175000,169900,169000,169900,170000,175000,180000,177000,174900,169000,170000,170000,171000,170000,172255,170250,170000,174900,170000,175700,180000,185000,183575,181250,189000,189900,199000,205000,209900,210000,210000,210000,219000,229900,232000,239945,239388.5,239777,239900,239900,246500,249000,249450,248000,250000,250000,250000,260000,259950,259000,256450,265000,274990,270000,275000,279000,270000,270000,275000,279000,289000,289450,294000,295000,299000,299450,299994.5,299999.5,299945,309000,299900,319000,324900,326000,325000,320000,325000,329900,329900,335000,339000,339999.5,343446.5,349900,349000,349000,350000,354900,350000,366000,370000,370000,375000,375000,375000,388000,391997.5,391997.5
"East New York","New York","NY","New York-Newark-Jersey City","Kings",10,389000,382500,379000,379000,370000,358000,358000,359000,349000,349000,349000,349000,339900,344500,339950,339000,330000,329000,325000,328000,328500,339000,349000,349000,349000,349000,349000,349000,350000,359000,359000,362500,359000,359000,352500,359000,359000,359000,365000,372000,359000,349000,349000,359000,359000,359000,359000,375000,379000,369300,429000,439000,459500,409499.5,399999,429000,467000,402500,449999.5,439943.5,429000,425000,425000,429000,402500,429000,457000,459000,450000,450000,449000,499000,479000,459000,464000,459000,459000,495000,489000,482500,475000,492499.5,499000,549500,569000,549500,599000,582000,549900,550000,569000,589000,549000,525000,517497.5,529000,527000,529000,560000,554950,554500,609495,589000,560000,560000
