"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,329000,325000,319900,320000,325000,319900,315000,309900,309900,309000,309000,309000,309000,309652.5,309000,3e+05,305000,309000,314997,310000,309000,312000,315000,319000,325000,325000,328000,330000,330000,329900,329900,329000,325000,328681.5,329000,325000,324900,325000,329500,329900,342900,349000,349000,355000,350000,355000,359999,367490,369000,369900,369000,365000,369900,377000,389000,390000,389000,399000,399000,410000,415000,419450,425000,419450,425000,425000,420000,424900,419000,415000,425000,424900,439900,425000,429000,440450,449000,449000,450000,449000,442000,450000,457000,450000,455000,455000,473325,470000,465000,469500,459900,459000,450000,449000,439000,446450,450000,479000,475000,475000,479900,479900,485000,475000,479000
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",2,299811,293500,289000,279900,280000,269900,275000,269000,274900,269999,265150,255000,259900,259900,260000,249945,249999.5,250000,249000,240625.5,250000,249995,249450,246200,239900,239600,241569,244900,247500,249000,250000,259000,259000,265000,265000,260000,260000,269900,275000,279900,271550,281500,279900,299000,299900,309900,320500,316373.5,302500,315000,315000,324950,329900,324950,339000,339000,344900,345000,349000,349000,349000,347495,345000,350000,349000,349444,349900,350000,357950,354999,354987,359949.5,359900,359900,359949.5,359900,359900,359400,359850,359000,359900,359900,365000,363632.5,359999,369900,369900,365000,379900,388999.5,390000,388750,399999,409900,410000,419000,425000,419999.5,414500,415000,427450,425000,425000,429949.5,430000
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,1590000,1495000,1462500,1360000,1350000,1395000,1347000,1350000,1400000,1395000,1300000,1300000,1300000,1300000,1300000,1395000,1380000,1495000,1395000,1449000,1425000,1500000,1600000,1650000,1750000,1699999,1650000,1650000,1750000,1699000,1754500,1635000,1750000,1925000,1995000,1995000,1932000,1945000,1945000,1995000,1995000,2095000,2110000,2200000,2255000,2225000,2395000,2450000,2585000,2595000,2595000,2597500,2500000,2495000,2405000,2450000,2400000,2395000,2405000,2495000,2395000,2495000,2500000,2500000,2495000,2499000,2495000,2499000,2550000,2497500,2580000,2590000,2550000,2125000,1950000,2005000,2197500,2280000,2250000,2285000,2250000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999499.5,998944,1099999,1162500,1241500,1350000,1390000,1370000,1287500,1275000,1250000,1325000,1200000,1275000,1295000,1195000,1150000,1149500,1124500,1150000
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York",5,1570000,1500000,1464500,1469750,1395000,1342000,1329000,1349499.5,1299000,1295000,1300000,1296000,1295000,1162500,1250000,1307580,1350000,1425000,1395000,1403500,1488500,1500000,1575000,1575000,1498000,1550000,1550000,1499999,1450000,1550000,1495000,1460000,1597000,1595000,1649000,1677500,1600000,1600000,1695000,1700000,1699000,1899950,1795000,1795000,1892500,1995000,2350000,2275000,2250000,2250000,2300000,2349000,2297500,2100000,2350000,2195000,2385000,2462500,2350000,2475000,2495000,2450000,2450000,2480000,2450000,2350000,2295000,2395000,2500000,2500000,2495000,2500000,2850000,2762500,2499500,2500000,2500000,2460000,2450000,2375000,2380000,2392500,2395000,2392500,2357500,2450000,2350000,2450000,2395000,2385000,2350000,2360000,2458500,2485000,2500000,2500000,2500000,2195000,2144500,2247500,2250000,2195000,2162500,2100000,2125000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",6,285500,279900,274950,270000,269250,267000,257500,259000,255000,250000,250000,249999,249000,240199,239000,234500,239000,234900,235000,239200,239900,239900,230000,229900,220000,222000,234950,245000,239900,239000,239000,249999.5,249450,249999.5,246000,249949.5,250000,249777,250000,250000,250000,269500,277900,279500,286950,299000,279900,274499.5,283300,288950,299900,307500,319900,318900,319900,322450,326000,330000,336950,349450,329949.5,329900,329900,340000,325000,335000,329749.5,329500,337000,349888,349888,350000,347444,350000,349950,349900,359900,350000,349950,350000,350000,350000,359925,377000,369000,359000,360000,359000,365000,362000,369000,383450,387000,399000,399900,404950,427500,429900,422500,415000,422499.5,422499.5,425000,430000,425000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",7,280000,280000,280000,284900,280000,280000,279999,275000,275000,274000,270000,255000,250000,254500,250000,245000,240000,241949.5,240000,239000,240000,240000,239925,243900,245200,247750,249900,259949.5,262500,270000,264900,277609,279109,289900,285000,279950,279900,288990,299000,291280,290000,295000,299900,305000,312494,324445,325000,324900,324950,323445,329950,337500,341250,329000,329990,344900,340000,349900,345000,343080,340990,339450,344950,349500,347020,345000,340000,344035,340000,335000,340000,339950,338000,340000,340000,356990,359000,359997.5,368200,364999.5,360686,365000,368800,365000,367957.5,372499.5,377461,378990,388894,395000,404495,415000,409900,424900,424975,424970,424057.5,425955.5,435000,450000,444919,442000,444888,438400,425000
"East New York","New York","NY","New York-Newark-Jersey City","Kings",8,550000,550000,549000,549000,545600,549000,549000,549000,549000,549000,549000,545000,539499.5,529000,529000,530000,530000,533000,529000,525000,525000,522500,529000,529000,525000,525000,525000,525000,529000,526000,539000,539000,529000,529000,519000,519000,516000,519000,520000,519999,529000,519000,519000,519000,519000,525000,525000,529000,529000,539000,549000,549000,559000,550000,550000,569000,579000,599499.5,599000,599000,599000,599000,599000,599999,619000,629000,629000,649000,629000,645000,649000,649000,649000,649000,650000,675000,679000,675000,679999,695000,699000,699000,725000,725000,725000,728500,729000,729000,749000,749000,749000,749000,750000,759949.5,759900,769000,775000,776500,798500,799000,799000,799000,8e+05,819500,8e+05
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",9,340000,339450,339900,335000,334250,334000,329900,325000,325000,315000,325000,324000,319900,325000,325000,322000,3e+05,3e+05,310000,3e+05,3e+05,301287.5,306850,315000,319900,324950,324900,324900,319000,324900,327500,325000,327500,338900,349000,350000,349000,350000,359900,359900,375000,375000,392400,389700,390000,395000,395000,390009,399900,4e+05,399900,399900,399000,399900,399900,399000,399900,395000,399000,410000,4e+05,410000,409000,415000,419900,420000,423934,415000,415000,415000,419450,424950,425000,425000,425000,425000,435000,425000,429000,430000,429950,429900,435000,445000,450000,450000,454900,455000,455000,459000,452450,459000,454000,454950,454950,454900,459900,467900,469900,465000,465000,470000,475000,475000,475000
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792500,795000,827500,795000,812500,749500,795000,795000,795000,775000,849000,849000,822000,849500,899000,835000,848000,849000,849500,849000,848500,848000,849000,850000,862500,899000,878000,849000
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",11,3e+05,308950,310000,305950,299900,299900,299000,292500,298000,288000,291752,299000,298900,298950,294900,289950,285000,272500,274900,279500,265500,284450,279900,275000,294000,297490,3e+05,3e+05,315000,339000,331495,325000,325000,325000,349900,359990,350000,337900,335000,350000,364995,349925,365000,365000,379900,381400,375000,378000,375000,362425,350000,350000,367750,369900,375000,369683,382400,384950,394500,395000,379450,372250,368075,375000,374900,385000,389900,389000,399900,399000,397780,396280,399000,399000,399949.5,399700,409000,399900,416250,424200,414950,414950,414950,405000,4e+05,421800,424900,416950,419450,414500,412250,423445,425000,429450,425000,440000,440000,434750,437000,434995,434990,440000,449750,434995,438750
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",12,359000,350000,349900,349900,349975,347400,350000,349900,339900,332500,339900,326000,330000,324900,322000,324900,319000,309450,309000,299999,317000,3e+05,309000,319000,319000,324900,324900,324900,339000,339900,334250,332500,329950,329000,330000,340000,355000,359900,359400,360000,369500,360000,368500,368500,362000,352450,361000,375000,375000,387000,395000,379900,379950,381800,374949.5,374999,389900,399700,399900,398500,409900,409500,4e+05,409450,4e+05,4e+05,399000,399000,409900,419000,418500,419000,430000,427250,429000,429000,432400,429000,425000,425000,420000,420000,420000,424925,420000,425000,446000,439000,437500,439900,449000,439000,439250,441500,451500,462450,463582,487000,488500,469000,450000,462000,458000,464950,450000
"Astoria","New York","NY","New York-Newark-Jersey City","Queens",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000,1100000,1025000,1050000,1014999,999000,997000,1100000,1200000,1200000,1299000,1299000,1248000,1250000,1295000,1299000,1299250,1350000,1399499.5,1399000,1378000,1289000,1279000,1250000,1195000,1229000,1197000,1200000,1250000,1294000,1250000,1251000,1299000,1249500,1238000,1250000,1269000,1298500,1289500,1285000
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",14,375000,369500,369000,372450,359900,359900,350000,345000,339900,337000,349500,339900,349250,349900,349900,350000,349900,349900,349900,349900,339450,349900,349000,349950,349900,350000,349700,349500,349000,349500,349500,349000,359900,359900,359450,350000,350000,359900,359900,367000,379000,380000,388750,385000,385000,379500,375000,388000,391250,399500,399900,409000,407000,415000,420000,425000,422375,415000,415000,409750,416000,424900,432500,439900,440000,448950,449450,449950,450000,445000,449900,459900,470000,492450,499900,479900,474900,459750,450000,448150,455000,466200,473449.5,479950,489000,499000,497000,499950,499000,499000,495000,499000,489900,490878,493439,499000,499900,499900,499900,514900,499000,485499.5,499000,497700,499342.5
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989999,998900,999000,999999,999999.5,999000,1075000,1100000,1100000,1100000,1150000,1199000,1199000,1210000,1199000,1200000,1249999,1200000,1199999,1200000,1289000,1250000,1250000,1300000,1298500,1300000,1299000,1299999,1300000,1300000,1299999,1300000,1350000,1350000,1350000,1350000,1350000,1299999.5,1250000,1275000,1250000,1250000,1299000,1299000,1295000,1299000,1300000,1298388.5,1350000,1390000,1392500,1395000,1392500,1375000
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195100,1150000,1250000,1225000,1199499.5,1212500,1350000,1200000,1211000,1199500,1250000,1290000,1300000,1339500,1349000,1349000,1565000,1749000,1495000,1475000,1401540,1357500,1350000,1350000,1368375,1370000,1349500,1317500,1341900,1353405,1325000,1350000,1305000,1299999,1300000,1295000,1295000,1350000,1349500,1355000,1372500,1340000,1300000,1349000,1380500,1388000,1419100,1395000,1395000,1395000,1393500,1393500,1435000,1576650,1450000,1430000,1445000,1400000,1420000,1415500
