"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808784086534517,0.825965507660554,0.887273135907595,0.865344371362267,0.945129955368863,0.99931361731849,0.93754082309506,0.891084977419155,0.860938578329883,0.887172284644195,0.855131304365793,0.801669104557154,0.795908183632735,0.755871016735443,0.66854456543658,0.782651751235934,0.783289817232376,0.793650793650794,0.8475,0.793314356952286,0.811751063007344
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",2,,0.72450476889215,0.72450476889215,0.730135900109156,0.732179303289223,0.722049689440994,0.708413175510442,0.717131929418218,0.699648711943794,0.700934579439252,0.682794790589143,0.686323092170466,0.686323092170466,0.689579684763573,0.690666666666667,0.690637200736648,0.689783852742847,0.692304473244914,0.690936106983655,0.682162708438605,0.681705167091573,0.679694137638063,0.677812923633077,0.675706249198187,0.676014021031547,0.670640834575261,0.700932685813527,0.689189812336366,0.689358035329599,0.688061422002999,0.686768985909979,0.691121743753323,0.682554075987943,0.683192261185006,0.675658609192731,0.676748582230624,0.693839474624241,0.689421338155515,0.689421338155515,0.689259046524986,0.71652499815494,0.703703703703704,0.683262911038866,0.693756194251734,0.698808778830681,0.708348184655272,0.691487972883802,0.697796432318993,0.69576611820314,0.688861314862705,0.69637041334437,0.693069306930693,0.726335520149953,0.73378179821847,0.721133268596874,0.712213185932334,0.736222161309156,0.717703349282297,0.71261340455681,0.734870317002882,0.734433559871149,0.734976221357544,0.767857142857143,0.754201882443335,0.738453276047261,0.775416427340609,0.742531513049363,0.759707371975239,0.716845878136201,0.716216216216216,0.755278830536004,0.686685574975427,0.740396530359356,0.72279792746114,0.72291582762787,0.756770486342438,0.732843137254902,0.779076238174736,0.779214015151515,0.770334928229665,0.806392358559882,0.798133595284872,0.761358989957416,0.774902598706672,0.76627486437613,0.765828196429839,0.826724103198774,0.845195480683887,0.813794754676475,0.824858426209482,0.799315158417323,0.812368972746331,0.834425365265853
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.94693396226415,4.84693396226415,5.2129917184265,5.65568181818182,5.64552919708029,4.8,4.44444444444444,4.2,4.04347826086957,4.52380952380952,4.66190476190476,4.625,4.95901639344262,5.11541325390916,5.10102040816327,4.9995,4.95,4.425,4.4,4.32234432234432
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",4,,,,,,,0.66435227967682,0.659547738693467,0.651951202451341,0.632458233890215,0.628729116945107,0.635424940428912,0.635424940428912,0.647348951911221,0.652184412430314,0.664497817607727,0.649038461538462,0.643500643500644,0.654116145500957,0.633499564601037,0.633616118769883,0.635574089915407,0.634920634920635,0.633383010432191,0.634517766497462,0.637567435017165,0.634920634920635,0.63622754491018,0.621728813849699,0.643893960341949,0.626904777067166,0.623306233062331,0.616547334924423,0.616874851050161,0.617919670442842,0.616142945163278,0.622007668315553,0.622630975065052,0.632596174476796,0.632458233890215,0.634364917479683,0.63622754491018,0.660136286201022,0.656655441854383,0.654940119760479,0.639253628196268,0.64736499674691,0.647472937559611,0.643132271935917,0.650054171180932,0.644449848681366,0.64367816091954,0.61352630420427,0.640336134453781,0.657103043761075,0.631809338521401,0.655961390374877,0.643666323377961,0.630744696490108,0.648202710665881,0.638297872340426,0.642298172362927,0.667626713172465,0.646298472385429,0.664652567975831,0.66214482248718,0.690709046454768,0.673267326732673,0.681883348997016,0.670640834575261,0.675092478421702,0.643176733780761,0.699181446111869,0.681198910081744,0.675675675675676,0.686638388123012,0.751992512495929,0.759679818672125,0.764781626643963,0.732007906518909,0.730915211549014,0.744047619047619,0.730187979156237,0.68382427183873,0.720937967736571,0.753363228699552,0.739371534195933,0.697424892703863,0.740690333308012,0.761808024377857,0.763520678685048,0.768925615401455,0.765462339252909
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",5,,,,,0.680851063829787,0.672747215300407,0.674915635545557,0.685378590078329,0.68407960199005,0.69193742478941,0.69193742478941,0.675858340091917,0.674676524953789,0.677583286278938,0.674092072324019,0.664149266992448,0.664149266992448,0.670600858369099,0.653602249293975,0.643648879846162,0.64728183359184,0.65157269817835,0.64568345323741,0.650969612177983,0.656857593273778,0.659810935104752,0.652633875316853,0.65154558851226,0.661271219897355,0.652435961828227,0.656598818122127,0.663972286374134,0.669456066945607,0.648510206669202,0.654098360655738,0.652670888592281,0.657894736842105,0.65864833906071,0.658616904500549,0.658589100679859,0.668579030084497,0.680225241362839,0.674854640586862,0.677684269952723,0.656857593273778,0.665496847722052,0.674161463349506,0.666666666666667,0.676524113764193,0.678607744070709,0.687799043062201,0.703140303968477,0.703672049025582,0.716941051513542,0.69193742478941,0.696077431839331,0.68082788671024,0.674786043449638,0.66348195329087,0.666370501999112,0.68952952127097,0.69453829172206,0.696747107349475,0.68992552166697,0.708431397157066,0.721045515998197,0.705237627410045,0.713470319634703,0.704592901878914,0.711253347315039,0.708040363403525,0.685207577589682,0.704592901878914,0.707213578500707,0.71353065539112,0.726936893488141,0.729383745162251,0.72536268134067,0.735648594723853,0.744186046511628,0.754733781429191,0.735680504466632,0.736369563169209,0.733007552199023,0.741190268753844,0.742827868852459,0.736290819470117,0.776720034617049,0.782663185551496,0.798881869934569,0.775053221418503,0.785868662670263,0.786988457502623
"East Side","El Paso","TX","El Paso","El Paso",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636792452830189,0.659507493708061,0.67266631049779,0.669386595810477,0.660662338583795,0.66396163777204,0.673554601216919,0.697069943289225,0.684099313259377,0.68021008883744,0.654129190515127,0.654804500868471,0.626361655773421,0.644730991551801,0.64774532276419,0.691258919469929,0.669344042838019,0.66181898632582,0.664942741041744,0.699947173798204,0.715131031149115
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",7,0.691881918819188,0.690335305719921,0.690335305719921,0.679577975591538,0.683872131556442,0.688016215966037,0.676470588235294,0.67804823034323,0.671852899575672,0.655021834061135,0.642999006951341,0.659578251965208,0.66334991708126,0.662100456621005,0.650406504065041,0.651552287581699,0.650054171180932,0.658740359897172,0.658740359897172,0.658317548369639,0.64887493458922,0.644782894799584,0.641711229946524,0.640201927489674,0.632205280773522,0.637920018890329,0.639799777530589,0.659801688650075,0.647345612134344,0.65274105098763,0.65,0.653630475059046,0.650406504065041,0.645994832041344,0.636380680965952,0.631768953068592,0.631964672933641,0.636772815025239,0.641592920353982,0.64468236952526,0.649236728184097,0.650538754269202,0.651804613236179,0.652938221998995,0.65864833906071,0.65806795820515,0.645994832041344,0.651747794838288,0.656295576081672,0.659416241291448,0.643848238482385,0.656782753837696,0.650887573964497,0.664573521716379,0.67154822539078,0.670945157526254,0.670307845084409,0.670454351726754,0.669542984979227,0.668764565225882,0.661444439963357,0.665188470066519,0.67827584703266,0.688468158347676,0.692862097090122,0.688389169343736,0.691144708423326,0.684575253601677,0.669065036859353,0.689876843037083,0.691144708423326,0.689061665380735,0.685966453135146,0.701365817644887,0.704225352112676,0.702458605117913,0.719165767709457,0.704607046070461,0.694383979103178,0.711132908288377,0.705429670799487,0.729414034847847,0.731707317073171,0.723898611949306,0.732917150600077,0.725273872699625,0.727919161676647,0.742375601926164,0.773376763344962,0.749861316836572,0.740611262898981,0.754098360655738,0.765864332603939
"East Memphis-Colonial-Yorkshire","Memphis","TN","Memphis","Shelby",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.527712264150943,0.581026775830582,0.54613399165857,0.531914893617021,0.488786658999425,0.452790246562426,0.437675070028011,0.431980517685563,0.463467343931916,0.494127516778524,0.551823416506718,0.505661850839516,0.515114521337217,0.520954598370198,0.50251677852349,0.501815182134796
"Southeast","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.727978081147404,0.754725001511396,0.766389658356417,0.753530172855135,0.755602240896359,0.796271144839508,0.798025429138885,0.805655296229802,0.793082396739648,0.786714519765507,0.804649083594099,0.810965362501921,0.831550802139037,0.796332046332046,0.808019441069259,0.808022971538503,0.808457711442786,0.796243364638628,0.807104316546763,0.796609958084833,0.777914277914278
"Northwest","El Paso","TX","El Paso","El Paso",10,,,,,,,,,,,,0.740037950664137,0.768049498376981,0.774621910734047,0.793103448275862,0.757805395574417,0.764980875478113,0.745920745920746,0.774068381109598,0.788079550321972,0.803050991638668,0.813329121920404,0.794438927507448,0.775694893341952,0.771720091084253,0.747702589807853,0.762582613116421,0.778537121193019,0.77438867280959,0.765344191004277,0.78039276826389,0.764514548734187,0.770020533880904,0.778251599147121,0.756836292685836,0.787744979673268,0.779821835588271,0.761370833715356,0.76786476189251,0.779132791327913,0.758681332773736,0.76530612244898,0.763358778625954,0.711367639435825,0.712245626561942,0.720906282183316,0.735196309362791,0.703200775945684,0.722372052046272,0.724678231673195,0.753750644458931,0.72289156626506,0.719856028794241,0.734974238181408,0.741989293687842,0.753300811971789,0.747690531177829,0.745941202281702,0.746284666651449,0.749866095340118,0.750706699305779,0.740745523650026,0.743799373317446,0.747566063977747,0.760362783219407,0.759634641375611,0.748291498870406,0.759606791778374,0.688705489614243,0.718816067653277,0.764074201853638,0.718601392175331,0.731162196679438,0.719438116932422,0.729610272293199,0.731707317073171,0.775786866840962,0.769445998880806,0.763798056301661,0.743006371840728,0.773152751506519,0.756715853197125,0.738255033557047,0.736067297581493,0.747188002142475,0.742987140912926,0.753333333333333,0.806291351589349,0.766773162939297,0.747268060859087,0.780261493040911,0.781948168007149,0.804832232154424
