"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3125,1.37931034482759,1.25961538461538,1.24375,1.22222222222222,1.31613897152571,1.28793495660966,1.27272727272727,1.27237146415229,1.1927380952381,1.23872857413642,1.3125,1.33333333333333,1.33333333333333,1.38012295081967,1.33826879271071,1.4,1.33333333333333,1.33333333333333,1.33333333333333,1.2915288930877
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07994186046512,5.06736131736132,5,4.99285714285714,4.97939393939394,4.92633228840125,4.92633228840125,4.92307692307692,5.02555366269165,5.06533333333333,4.875,4.92307692307692,4.99258160237389,4.99,4.99129080118694,4.95268138801262,4.96076923076923,5,5,5.00676589986468,5,5,4.99212413452028,4.85,4.7045101088647,4.79663577589845,4.87821943282194,4.85610766045549,4.7489539748954,4.73684210526316,4.75,4.78971962616822,4.78915786384977,4.7489539748954,4.79867659222498,4.75983033932136,4.7679070580014,4.66666666666667,4.67833333333333,4.7045101088647,4.75600011157809,4.7494769874477,4.75580735081561,4.85863968233636,4.71153846153846,4.75,4.7489539748954,4.72222222222222,4.66666666666667,4.79867659222498,4.81083015267176
"Astoria","New York","NY","New York-Newark-Jersey City","Queens",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77374892193778,2.77777777777778,2.73076923076923,2.77577649695805,2.8,2.8125,2.75,2.73775216138329,2.72727272727273,2.73684210526316,2.68917541229385,2.62631578947368,2.72247474747475,2.71428571428571,2.6,2.67857142857143,2.66666666666667,2.57894736842105,2.75,2.66666666666667,2.61324786324786,2.8,2.85,2.83333333333333,2.87303629469122,2.8,2.85895806861499,2.8,2.82352941176471,2.75,2.75,2.72727272727273,2.75,2.77777777777778,2.70588235294118,2.7631221719457,2.78222222222222,2.7385542027491,2.76923076923077,2.78571428571429,2.81818181818182,2.82843137254902
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74729166666667,3.72727272727273,3.8,3.84418269230769,3.94868421052632,3.9,3.88777777777778,3.88888888888889,3.795,3.7096130952381,3.61290322580645,3.70051635111876,3.6875,3.77777777777778,3.7,3.75,3.66666666666667,3.69180769230769,3.75,3.74375,3.66666666666667
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,1.71349644830308,1.998,1.85357142857143,1.76470588235294,1.82608695652174,2.07,1.82162534435262,1.95670666869209,2.08053691275168,2.34105229993699,2.30769230769231,2.24374933119315,2.13571428571429,2.20878136200717,2.09821428571429,2.125,2.21335125448029,2.25,2.36650485436893,2.33333333333333,2.27857142857143,2.26928571428571,2.27857142857143,2.30582524271845,2.09016804614999,2.24375,2.13571428571429,2.21547619047619,2.27857142857143,2.08571428571429,2.17291666666667,2.10769230769231,2.23660714285714,2.29508196721311,2.35537190082645,2.52666666666667,2.40606280193237,2.35,2.39268707482993,2.50609756097561,2.59666666666667,2.66666666666667,2.5448063840921,2.59667487684729,2.56666666666667,2.5531914893617,2.44839483948395,2.60714285714286,2.60357142857143,2.68990384615385,2.52941176470588,2.44516129032258,2.46919504643963,2.53194915254237,2.57175895906281,2.57359307359307,2.60769230769231,2.7,2.74074074074074,2.70603044496487,2.70714285714286,2.63806380638064,2.62631578947368,2.56330128205128,2.61936090225564,2.6,2.66076696165192,2.61875,2.66857962697274,2.65833333333333,2.68808962264151
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991468253968254,0.997748133202425,1.05,1.05083333333333,1.09375,1.11875,1.05869932432432,1.1224358974359,1.12230769230769,1.165,1.13636363636364,1.12916666666667,1.12307692307692,1.075,1.13571428571429,1.17647058823529,1.24875,1.1875,1.15384615384615,1.12972027972028,1.25705128205128,1.27777777777778
"East Side","El Paso","TX","El Paso","El Paso",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.764705882352941,0.741063644289451,0.787037037037037,0.780955261548869,0.75,0.716845878136201,0.717360483935293,0.769124265664652,0.749185667752443,0.740131578947368,0.762629410808174,0.762100926879506,0.765096304008329,0.755703422053232,0.811921891058582,0.800697787634554,0.807142479513614,0.807106598984772,0.807106598984772,0.794270833333333,0.797186520376176
"Flatbush","New York","NY","New York-Newark-Jersey City","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31125,2.33333333333333,2.40909090909091,2.4,2.4375,2.4375,2.4375,2.42857142857143,2.46153846153846,2.56,2.525,2.49553571428571,2.42857142857143,2.4375,2.44388888888889,2.46770833333333,2.55,2.53863636363636,2.5,2.56428571428571,2.61384615384615,2.58064516129032
"Harlem","New York","NY","New York-Newark-Jersey City","New York",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.03313253012048,3.03738317757009,3.08636363636364,3.09606866002215,3.03313253012048,3.04112807491921,3.04237288135593,3.11377245508982,3.15652183694283,3.08333333333333,3.1,3.13035714285714,3.23529411764706,3.18181818181818,3.1625,3.14441514860978,3.05718954248366,3.03738317757009,3.08765328874025,3.14597315436242,3.15921492694948,3.15789473684211,3.04798962386511,3.185,3.21290143964563,3.32222222222222,3.26666666666667,3.2,3.26416302955291,3.28107675906183,3.32596105233592,3.36842105263158,3.39080459770115,3.316,3.316,3.39270568278202,3.45727272727273,3.35833828480887,3.31111111111111,3.35294117647059,3.54901905252317,3.37807606263982,3.27777777777778,3.50403225806452,3.5998417721519,3.67172812725958,3.48660472319009,3.54545454545455,3.44255485893417,3.46153846153846
"East Harlem","New York","NY","New York-Newark-Jersey City","New York",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,3.80098245831525,3.84615384615385,3.84615384615385,3.875,3.94011032308905,3.98148148148148,4.04761904761905,3.99583333333333,4.1,4.11694444444444,4.48047020484171,4.26648351648352,4.58720238095238,4.71531943662745,4.69798657718121,5.02599653379549,5.15463917525773,5.17567427102139,5.20833333333333,4.65688073394495,4.25,4.10588235294118,4.1,3.84615384615385,3.775,3.88321995464853,4,4.11695906432749,4.04761904761905,4.29824561403509,4.59523809523809,4.51053921568627,4.35022026431718,4.295,4.04761904761905,4.16666666666667,4.12084426536732,4.09,4.04761904761905,4.18937282229965
