"RegionName","City","State","Metro","CountyName","SizeRank","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1995,2200,2000,1995,1972.5,1900,1900,1997.5,1950,1850,2095,2122.5,2327.5,2385,2448,2472.5,2511,2300,2497.5,2385
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,2495,2200,2300,2350,2195,2300,2299.5,2490,2275,2345,2325,2195,2100,2450,2495,2395,2495,2557.5,2520,2650,2600,2472.5,2550,2750
"East Boston","Boston","MA","Boston-Cambridge-Newton","Suffolk",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3250,3150,3300,3300,3300,3200,3000,2700,2650,2800,3162.5,3500,3600,3700,4000,3900,3850,3450,3450
"Brighton","Boston","MA","Boston-Cambridge-Newton","Suffolk",4,3200,3200,3200,3400,3500,3400,3300,3300,3700,3600,3600,3600,3800,3600,3500,3500,3500,3600,3600,3500,3525,3600,3799,3800,3850,3800,3800,3899,3800,3750,3750,3750,3900,4000,3850,3800,3800,3837.5,3800,3800,3900,3800,3750,3800,3800,3775,3800,3800,3800,3995,4000,4000,4000,4000,4000,4000,4000,4000,3725,3737.5,4150,4350,4350,4300,4300,4300,4300,4300,4300,4200,4200,4300,4200,4200,4250,4200,4250,4300,4250,4250,4250
"Corona Valley","Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695,2725,2690,2700,2725,2800,2750,2700,2780,2798,2800,2797.5,2780,2750,2770,2760,2700,2787.5,2750,2850,2895,2850,2850,2850
"North Dorchester","Boston","MA","Boston-Cambridge-Newton","Suffolk",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,3000,3000,3050,3100,3100,3000,3000,3000,2800,2797.5,2800,2850,3100,3195,3125,3100,3100,3100,2975,2700
"Allston","Boston","MA","Boston-Cambridge-Newton","Suffolk",7,,3900,3900,4000,4000,3900,3900,3900,3900,3900,3900,4000,4000,4050,4000,3947.5,3997.5,4000,3975,3900,3975,3975,3900,4000,4050,4000,4150,4200,4000,4000,3997.5,3975,3900,4000,4000,4195,4200,4200,4150,4000,3900,3900,3825,3900,3900,3900,4125,4300,4400,4500,4500,4400,4400,4500,4200,4075,4350,4100,4000,4200,4500,4500,4500,4500,4500,4500,4400,4400,4400,4225,4600,4800,4800,4800,4800,4750,4600,4500,4500,4500,4437.5
"Mission Hill","Boston","MA","Boston-Cambridge-Newton","Suffolk",8,4400,4200,4300,4600,4500,4500,4500,4500,4500,4600,4600,4800,4800,4750,4800,4800,4800,4800,4800,4800,4950,4950,5000,4900,4800,4800,4800,5000,4895,4800,4600,4600,4775,4800,4850,5000,4800,4850,4800,4800,4750,4600,4500,4500,4500,4575,4550,4825,5000,5000,5000,4875,4800,4800,4650,4600,4675,4400,4650,5000,5100,5100,5100,5000,5000,4950,4900,4850,4800,4850,5100,5250,5250,5250,5200,5100,5000,4950,4950,4875,4800
"North Central","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,3200,3000,3000,2987.5,2800,2975,2837.5,2975,2750,3000,3000,3150,3000,3000,3000,3000,2887.5,2800,2750,2750,2800,2500,2925
"Spring Hill","Somerville","MA","Boston-Cambridge-Newton","Middlesex",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,4650,4800,4800,5000,4300,3975,4050,3887.5,4200,4200,3825,4400,4400,5000,5000,5000,4800,4600,4400
