"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.5,740,788,788,789,789,799,799,799,800,815,847.5,800,800,800,825,850,800,850,835,815,825,825
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097.5,1249,1300,1300,1300,1300,1300,1250,1285,1200,1175,1195,1100,1115,1105,1175,1262.5,1200,1185,1295,1250,1262.5
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",3,,2950,3095,2975,3275,3250,3150,3500,3675,3800,3600,3700,3500,3300,3212.5,3212.5,3100,3250,3395,3500,3600,3500,3300,3100,3300,3070,3100,3250,3300,3295,3300,3300,3375,3355,3300,3300,3300,3300,3299,3295.5,3225,3200,3250,3500,3510,3677.5,3700,3600,3649.5,3700,3750,3675,3850,3762.5,3717.5,3750,3820,3735,3700,3775,3695,3700,3700,3750,3750,3795,3750,3800,3775,3775,3775,3795,3782.5,3795,3750,3735,3600,3597,3510,3500,3540,3650,3555,3649,3650,3625,3700,3750,3750,3700,3687.5,3600,3600,3650,3600,3650,3550,3500,3555,3550,3600,3600,3600,3600
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York",4,,,,,,,,,,,,,2750,2590,2595,2600,2600,2695,2800,2800,2900,2750,2700,2600,2695,2650,2650,2695,2695,2695,2700,2725,2795,2800,2895,2800,2800,2750,2795,2700,2600,2495,2600,2800,3000,3200,3200,3195,3150,3200,3227.5,3150,3200,3200,3295,3275,3250,3200,3200,3202.5,3200,3295,3297.5,3300,3300,3300,3300,3297.5,3300,3295,3275,3275,3300,3295,3295,3250,3150,3195,3100,3000,3152.5,3195,3000,3200,3280,3300,3325,3395,3397.5,3382.5,3250,3250,3202.5,3200,3195,3195,3100,3095,3100,3190,3200,3200,3200,3150
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",5,,,,,,,,,,,,,,,,,,,650,650,650,625,650,627,650,650,650,650,675,670,695,650,650,662.5,650,700,650,695,700,700,695,695,692.5,660,650,650,650,650,650,650,675,695,695,675,657.5,650,650,675,699.5,700,737.5,700,695,675,695,725,735,750,724,725,725,750,750,745,695,700,750,700,750,750,800,775,800,785,800,850,850,795,795,812.5,800,800,800,850,832.5,800,850,850,850,850,875,850,875,850
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",6,,,,,,,,,,,,800,800,795,750,795,795,795,750,765,750,750,750,750,750,750,770,775,750,785,787.5,795,795,825,850,892.5,850,860,850,847.5,825,850,850,800,795,795,795,795,795,795,795,800,800,800,799,800,800,800,800,825,800,825,850,850,850,850,850,850,832.5,850,850,850,850,850,850,875,900,850,895,900,977.5,992.5,950,1000,1100,1100,1050,995,975,975,975,995,975,957,975,995,995,995,995,1000,1000,1000,1000,1025
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,1124.5,1150,1145,1150,1175,1200,1295,1250,1250,1250,1250,1112,1150,1134.5,1100,1100,1150,1134.5,1075,1200,1195,1195,1195,1200,1200,1200,1200,1200,1250,1285,1250,1275,1250,1250,1250,1250,1285,1275,1300,1295
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York",8,,,,,,,,,,,,,,1350,1350,1350,1350,1450,1450,1600,1400,1495,1497.5,1550,1500,1500,1495,1495,1550,1550,1600,1625,1595,1600,1650,1575,1650,1695,1695,1750,1750,1795,1750,1675,1750,1675,1675,1650,1632.5,1650,1675,1797.5,1812.5,1712.5,1675,1712.5,1675,1700,1750,1800,1795,1675,1675,1750,1750,1797.5,1800,1797.5,1800,1795,1712.5,1675,1797.5,1772.5,1650,1650,1712.5,1675,1712.5,1662.5,1662.5,1675,1675,1812.5,1850,1750,1750,1772.5,1850,1850,1795,1800,1772.5,1772.5,1795,1797.5,1850,1850,1895,1850,1850,1850,1895,1850
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",9,,,,,,,,,,,,,,,,,762.5,775,772.5,795,825,822.5,775,745,750,747.5,761,775,750,775,780,795.5,799,799.5,799.5,795.5,800,834.5,880.5,795,834.5,800,800,797,825,837,849,849,850,850,850,850,850,825,850,885,870,872.5,872.5,882.5,850,850,850,850,850,850,895,850,885,950,870,850,860,895,900,885,885,925,900,895,850,860,860,975,935,1044,1047,995,985,975,1095,1095,1022,1050,1095,1095,1025,1044,1000,1099,1100,1034.5,1025,1025
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",10,,,,,,,,,,,780,765,765,795,799.5,795,775,797,795,785,795,735,697.5,750,725,675,712,695,695,750,700,700,712.5,712.5,750,725,715,750,717.5,750,695,695,725,749,788,795,789,776.5,795,800,800,812.5,850,850,800,800,825,795,795,795,795,800,825,850,825,850,825,850,800,850,850,850,862.5,850,875,800,850,875,850,850,880,800,850,850,875,880,892.5,899,895,895,950,915,950,925,950,995,932.5,950,925,999,985,999,997.5,1045
"Astoria","New York","NY","New York-Newark-Jersey City","Queens",11,,,,,,,,,,,,,,,,,,,,,,,1700,1700,1700,1800,1795,1805,1875,1950,2100,2000,2100,2070,2100,2100,2050,2050,2097,2100,2000,2025,2105,2200,2100,2100,2100,2100,2100,2100,2100,2100,2150,2250,2250,2225,2262.5,2200,2200,2300,2265,2300,2150,2150,2200,2312.5,2325,2350,2300,2300,2300,2300,2300,2350,2300,2175,2400,2200,2150,2300,2300,2225,2100,2200,2200,2200,2100,2150,2300,2350,2150,2125,2150,2100,2100,2175,2200,2250,2150,2197.5,2225,2250,2150,2200
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1135,1180,1140,1150,1050,1165,1150,1100,1117.5,1117.5,1147.5,1100,1100,1200,1237.5,1200,1200,1200,1200,1200,1135,1145,1170,1224.5
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings",13,,,,,,,,,,,,,,,,,,,,,,1750,1700,1675,1600,1600,1650,1700,1750,1800,1800,1800,1750,1750,1750,1800,1800,1850,1850,1995,2000,2100,2250,2199.5,2137.5,2200,2175,2100,2150,2150,2150,2200,2200,2225,2200,2250,2300,2300,2225,2250,2250,2250,2296,2300,2350,2350,2495,2500,2450,2500,2495,2500,2500,2400,2225,2300,2500,2450,2400,2447.5,2800,2550,2137.5,2137.5,2100,2225,2275,2250,2322.5,2300,2250,2175,2175,2100,2100,2105.5,2212.5,2250,2250,2187.5,2225,2275,2250,2300
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings",14,,,,,,,,,,,,,,,,,,,,,3300,2722,2700,2725,2800,2799,2799.5,2800,2895,2891,2950,3100,3150,3195,3000,3000,3000,3099,3100,3100,3100,3000,3046,3100,3300,3257.5,3250,3282.5,3275,3400,3425,3300,3395,3372.5,3400,3413,3500,3490,3350,3500,3411,3325,3400,3400,3450,3500,3600,3500,3500,3450,3450,3500,3525,3650,3537.5,3350,3265,3395,3300,3200,3395,3300,3200,3300,3350,3400,3500,3432.5,3350,3400,3411,3432.5,3413,3300,3350,3282.5,3300,3305,3200,3287.5,3300,3455,3262,3282.5
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,2997.5,2900,2825,2850,3000,3200,3195,3099,3100,3299,3297,3225,3145,3375,3300,3375,3372.5,3400,3500,3000,3000,3095,3000,2997.5,2895,2825,3000,3200,3297,3300,3499.5,3350,3447,3300,3275,3219,3195,3319,3300,3282,3295,3395,3525,3595,3499,3299,3150
