"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130,995,995,995,1049,1075,1049,995,1050,1050,1050,950,999
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",2,2657.5,2495,2450,2600,2750,3212.5,3425,3200,3350,2850,2635,2685,2750,2800,2800,3000,2925,3095,3095,3050,3100,3000,3095,3000,3075,3095,3132.5,3050,3200,3247,3300,3300,3100,3095,3000,3150,3100,3199,3216,3200,3200,3299,3395,3295,3300,3299,3295,3300,3300,3300,3300,3300,3300,3300,3295,3300,3250,3250,3300,3300,3325,3200,3250,3295,3300,3350,3350,3337.5,3297.5,3295,3295,3295,3300,3250,3288.5,3225,3175,3250,3350,3295,3150,3195,3200,3157,3157,3195,3200,3250,3300,3300,3300,3230.5,3250,3259,3225,3180,3150,3238,3250,3226,3200,3276
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099.5,2150,2200,2222.5,2195,2195,1950,1795,1937.5,1900,1999,2200,2000,1900,1997.5,2100,2200,1900,1850,1850
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York",4,,,,,,,,2350,2300,2300,2450,2495,2500,2450,2495,2495,2500,2550,2595,2600,2595,2595,2600,2595,2595,2600,2650,2600,2650,2695,2700,2750,2750,2700,2700,2750,2732.5,2750,2725,2700,2700,2750,2800,2750,2700,2695,2700,2750,2795,2795,2800,2725,2700,2700,2700,2725,2750,2700,2795,2800,2800,2695,2750,2750,2800,2825,2799,2750,2700,2725,2750,2800,2795,2750,2699.5,2695,2700,2700,2700,2700,2695,2700,2750,2750,2750,2750,2750,2765,2795,2799.5,2775,2790.5,2750,2745,2700,2700,2675,2700,2750,2750,2750,2750
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2000,1772.5,1750,1772.5,1950,1900,1797.5,2024.5,1799,2100,2075,2025,2000,2122.5,2197.5,2200
"East New York","New York","NY","New York-Newark-Jersey City","Kings",6,,,,,,,,,,,,,,1600,1600,1500,1483,1470,1450,1477,1500,1500,1500,1500,1600,1600,1592.5,1585,1600,1600,1600,1600,1550,1562.5,1600,1550,1550,1600,1600,1600,1535,1500,1500,1545,1550,1500,1546.5,1550,1550,1600,1600,1600,1600,1675,1675,1650,1700,1750,1750,1799,1749,1800,1800,1900,1850,1700,1695,1800,1800,1850,1900,1900,1900,1800,1800,1825,1875,1999,1800,1900,2000,1895,2000,2000,2050,2099.5,2099,2000,2000,1950,1900,1900,2000,2100,2108,2199,2150,2150,2150,2200,2200,2150
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York",7,,,,,,,,,,,,,1475,1450,1450,1472,1500,1575,1475,1550,1525,1525,1550,1525,1500,1480,1650,1650,1700,1650,1625,1595,1674,1648,1650,1650,1650,1694,1670,1695,1700,1750,1700,1700,1700,1700,1700,1700,1750,1799,1800,1800,1850,1895,1900,1850,1897.5,1900,1900,1925,1900,1925,1950,1950,1995,1995,1950,1950,1950,1900,1950,1995,1995,1995,1900,1925,2000,1937.5,1900,1985,1900,2100,2000,2000,2047,2100,2100,2186,2100,2000,2000,1995,1995,2000,2000,2010,2050,2095,2100,2100,2150,2150
"Astoria","New York","NY","New York-Newark-Jersey City","Queens",8,,,,,,,,,,,,1600,1600,1625,1700,1800,1867.5,1800,1800,1910,1800,1825,1800,1895,1805,1900,1977.5,2100,2150,2250,2240,2056,2000,1950,1950,1999,1950,2095,2095,2137.5,2125,2175,2200,2135.5,2100,2150,2160,2160,2200,2300,2257.5,2300,2400,2375,2395,2300,2300,2295,2299,2250,2295,2300,2300,2300,2350,2340,2300,2350,2300,2300,2295,2300,2300,2300,2300,2350,2400,2400,2350,2400,2200,2250,2200,2200,2200,2200,2300,2300,2350,2275,2200,2200,2200,2199,2200,2200,2200,2200,2200,2250,2295,2295
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings",9,,,,,,,,,,1500,1500,1500,1500,1495,1500,1597.5,1650,1600,1600,1500,1600,1650,1650,1700,1700,1700,1700,1795,1875,1800,1800,1800,1750,1750,1799.5,1799,1800,1850,1982.5,2000,2200,2200,2199,2150,2199,2150,2100,2150,2150,2150,2200,2250,2300,2300,2200,2295,2300,2250,2291,2300,2397,2499,2500,2450,2475,2450,2450,2475,2400,2450,2400,2399,2400,2400,2450,2499,2500,2495,2475,2500,2323,2400,2350,2300,2395,2400,2446,2429,2499,2475,2474,2400,2350,2350,2300,2389,2448,2500,2516,2590,2575,2500
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2977,2900,3080,2900,2999,2900,2900,2954,3000,3000,3100,3100,3025,3000,3000,3046,3000,2950,2950,2992.5,3000,3157,3198,3156,3150,3135,3100,3029,3000,2950,2922,2933,3000,3300,3300,3200,3250,3208,3100,3250,3300,3250,3250,3040,3150,3099,3095,3000,3000,3100,3250,3275.5,3416,3195,2995,3000,3025,3095,3098,3100,3100,3061,3000,2950,2899,2900,2950,2900,2999,3000,3000,3000,3000,2995
