"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245,1245,1250,1197.5,1200,1200,1150,1001,991,995,1050,1100,1200,1285.5,1262.5,1295,1312.5,1337.5,1475,1350,1250,1250,1300,1495,1525,1500,1550,1500,1497.5,1300,1495,1512.5,1595,1600,1595,1550,1495,1500,1550,1550,1450,1400,1450,1500,1695,1650,1600,1672.5,1550,1600,1550,1697.5,1500,1600,1600,1600,1600,1695,1700,1800,1799.5,1800,1800,1750,1672.5,1650,1695,1697.5,1650,1650,1700,1795,1700,1737.5,1700,1672.5
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",2,,,,,,895,937.5,895,875,875,899,850,850,850,850,850,850,850,850,850,850,825,800,825,825,850,850,875,895,875,895,895,895,875,875,850,850,850,850,850,850,850,850,865,850,875,850,850,850,850,865,875,895,887,900,895,895,895,900,899,898,900,920,922,925,932,935,925,925,945,950,950,975,975,975,965,990,995,950,985,960,964.5,950,995,999,1025,1049,1065,1094,1095,1095,1095,1050,1050,1050,1095,1100,1100,1150,1150,1168.5,1175,1170,1180
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",3,,,,,,,,,,,,1195,1150,1150,1150,1195,1195,1150,1200,1195,1175,1157.5,1195,1195,1195,1150,1195,1195,1195,1150,1150,1150,1100,1100,1095,1100,1100,1150,1150,1150,1195,1175,1195,1195,1195,1195,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1275,1250,1285,1295,1295,1299,1268.5,1275,1275,1295,1300,1300,1300,1300,1300,1250,1297.5,1275,1275,1295,1212.5,1275,1295,1317.5,1350,1312,1350,1375,1395,1395,1395,1370,1395,1395,1395,1400,1435,1450,1450,1495,1495,1550
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York",4,,,,,,,,,,,,,3075,3095,3160,3200,3202.5,3200,3400,3500,3417.5,3707.5,3695,3750,3562.5,3500,3465,3500,3520,3570,3600,3600,3599,3455,3395,3300,3250,3299,3200,3400,3407,3350,3217,3300,3295,3217,3250,3200,3135,3100,3130,3272.5,3200,3195,3350,3350,3350,3425,3400,3350,3300,3295,3295,3300,3350,3350,3400,3412.5,3395,3337.5,3375,3350,3350,3354.5,3354.5,3350,3350,3350,3400,3300,3350,3400,3350,3295,3297.5,3228,3217,3156,3153,3295,3300,3295,3206,3300,3350,3350,3350,3300,3350,3300,3208.5,3272.5,3295,3300
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2345.5,2327.5,2372.5,2312.5,2350,2245,2275,2300,2400,2375,2445,2500,2500,2500,2397.5
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York",6,,,,,,,,,,,,,2200,2450,2600,2500,2700,2850,2997.5,3195,3175,3300,3350,3433,3150,3097.5,3095,3097.5,2900,2850,2895,2910,2900,2850,2697,2650,2659,2795,2750,2950,2995,2990,2800,2800,2797.5,2950,2925,2950,2925,2900,3000,3000,3085,2895,3097.5,3072.5,3090,3030,2995,3000,3000,2995,2995,2995,3000,2995,3000,3030,2995,3000,3030,3000,3000,3000,3000,3072.5,2995,2995,2950,2895,2950,2995,2800,2972.5,2995,2995,2995,2995,2995,2995,2995,2995,2995,2995,2995,2995,2995,2995,2995,3000,3000,3000,3000,2995
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",7,,,,,,,,,,,,950,950,950,935,960,995,950,950,950,925,900,900,900,900,900,950,950,900,900,925,950,925,900,900,900,900,925,950,950,945,945,950,950,925,949.5,945,950,950,950,950,995,975,950,950,960,985,995,995,990,1000,1000,1000,995,995,1000,1050,1000,1015,1000,1000,999,1025,1050,1050,1000,1050,1050,1050,1050,1050,1050,1050,1050,1050,1100,1100,1125,1145,1150,1100,1150,1150,1160,1150,1150,1100,1195,1190,1195,1200,1200,1200,1200
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",8,,,,,,,1250,1295,1250,1297.5,1290,1295,1299,1295,1250,1300,1295,1295,1275,1250,1250,1250,1250,1200,1200,1200,1249,1200,1225,1200,1200,1200,1200,1200,1197,1200,1195,1198,1200,1200,1195,1195,1200,1200,1200,1250,1250,1250,1250,1250,1250,1250,1250,1250,1275,1277.5,1275,1275,1285,1300,1300,1300,1350,1325,1350,1325,1350,1325,1300,1325,1300,1325,1350,1395,1350,1325,1367.5,1300,1300,1300,1325,1350,1325,1350,1370,1450,1400,1395,1400,1475,1475,1450,1425,1450,1495,1500,1550,1550,1550,1550,1547.5,1595,1575,1595
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa",9,,1600,1650,1500,1750,1675,1575,1550,1450,1425,1400,1472.5,1397.5,1450,1395,1400,1422.5,1400,1395,1350,1300,1395,1395,1395,1395,1395,1350,1400,1400,1350,1350,1295,1295,1299,1295,1349.5,1300,1295,1350,1395,1375,1400,1350,1409.5,1450,1400,1450,1425,1400,1400,1449.5,1500,1500,1500,1500,1500,1500,1550,1600,1695,1700,1695,1600,1595,1595,1550,1500,1545,1550,1600,1700,1695,1650,1650,1650,1650,1595,1695,1600,1625,1500,1595,1550,1600,1695,1800,1850,1800,1795,1800,1750,1725,1700,1727.5,1750,1750,1775,1847.5,1850,1800,1800,1800,1795,1750
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York",10,,,,,,,,,,,,,,,,,,,,,,1500,1475,1511.5,1512.5,1550,1600,1675,1625,1625,1575,1597.5,1595,1595,1595,1600,1600,1600,1650,1600,1700,1700,1675,1675,1675,1650,1695,1675,1675,1697.5,1700,1700,1700,1700,1700,1700,1700,1675,1675,1675,1700,1700,1687.5,1675,1675,1687,1700,1687.5,1687.5,1687.5,1687.5,1700,1700,1700,1700,1700,1687.5,1700,1700,1675,1700,1675,1675,1700,1700,1700,1700,1700,1700,1700,1675,1675,1675,1687.5,1700,1687.5,1675,1675,1700,1700,1700,1700,1700,1700
