"RegionID","RegionName","City","State","Metro","CountyName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
274772,"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",1,332800,333500,334300,335000,335700,336400,336900,337300,337600,337800,337800,337600,337300,336900,336400,335700,335000,334200,333200,332200,331100,329900,328600,327300,326000,324700,323500,322400,321200,320200,319100,318100,317100,316100,315100,314100,313200,312300,311500,310900,310300,309800,309400,309100,308900,308700,308600,308600,308700,308900,309200,309700,310300,310900,311600,312300,313100,313900,314700,315300,316100,317100,318100,319300,320500,321800,323200,324600,326100,327500,328900,330100,331500,333000,334400,335800,337300,338800,340300,341700,342800,343400,343300,342400,341000,339500,338200,337300,336700,336400,336300,336800,338600,341600,345600,350000,353900,356800,358600,359400,359700,360000,360900,362200,363700,365200,366400,367700,369300,371200,372800,374100,374700,374600,373900,372700,371800,371900,373000,375300,378800,383300,388400,394600,401400,408500,415200,420800,425000,428200,429600,429600,429300,429000,429100,430200,431700,433000,433800,434000,433500,432800,431100,429200,427800,426400,424400,422600,420800,419100,417600,416100,415300,415500,415100,414100,412900,411500,409400,407700,406300,405900,406600,408000,408400,405800,406400,408100,406800,404100,403400,400400,397700,395800,394400,393900,395000,396100,394800,391900,391200,393900,396800,399000,400900,402700,403400,404200,404700,406600,409800,414100,418100,421300,424000,427500,430500,431200,431500,431700,430800,430100,431300,434000,436900,437900,437700,438900,440900,441900,442100,442800,444400,444800,443700,443300,444600,446500,448300,450100,451900,454100,455700,456500,457800,459900,461500,463600,465900,466800,466200,464900,463600,463900,464800,466200,468400,470100,470400,472400,476100,479600,483400,488600,494000,500100,507600,516000,524500,533300,538800,540700,539300,538700,539000,541700,544500,548400,555200,560300,560300,562700,571700,576800,579100,583700,590900,595300,598000,599600
192689,"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",2,192800,192800,192700,192600,192600,192600,192700,193000,193500,193900,194300,194600,194800,194900,195000,195000,195100,195200,195300,195600,196000,196400,196800,197000,197100,197200,197300,197400,197500,197600,197900,198300,199000,199800,200400,201000,201600,202100,202700,203300,203900,204600,205500,206600,207800,209200,210400,211500,212600,213600,214500,215400,216400,217400,218600,220000,221500,223100,224600,225900,227200,228400,229500,230500,231500,232600,234000,235400,237100,238700,240200,241500,242600,243600,244500,245200,246000,247000,248300,249700,251200,252900,255000,257200,259700,262700,266300,270600,275600,281200,287700,295000,303100,311900,321200,331500,343000,355800,370200,385500,400200,413500,424600,433500,440900,447600,453900,460200,466000,470500,473900,476600,478900,481200,484000,487200,490900,494600,498100,501700,505300,508000,509700,510000,508600,505700,501800,497000,492300,487900,483400,478800,474700,470800,466600,462200,457600,452400,446300,439000,430100,420000,408800,397300,386200,375400,364800,355200,346800,338900,330900,323000,315000,307300,299300,290900,282600,274700,266800,259800,254300,250400,248100,247300,247400,247900,248300,248300,246200,243700,242200,240600,238000,236300,234400,231900,228900,225300,222300,219800,218600,217000,214100,210900,208500,206100,204900,204200,203300,203700,205500,208200,210200,212100,215300,219700,223400,226300,228900,232700,237800,242500,245900,249000,253700,259500,265100,270000,275000,279800,283500,285500,287000,288300,291000,294300,297000,298700,299900,300600,301200,301800,302400,303500,305100,306600,307400,308200,309600,311600,314100,317000,319200,320300,320700,322200,324000,325400,325500,325400,326700,328300,328900,329400,331000,332700,335100,337300,338300,338800,340200,342100,344300,346900,350500,353800,356000,358700,361900,364600,367500,372100,376800,379400,381600,385100,388600,391600,395800,399600
118208,"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,139000,138800,138800,138700,138600,138500,138600,138600,138800,139300,139800,140100,140400,140800,141200,141600,142000,142600,143200,143800,144600,145500,146500,147200,148000,148700,149300,149900,150500,151000,151700,152300,152900,153700,154500,155100,155700,156300,156800,157400,158000,158600,159300,160100,161000,162100,163300,164400,165400,166300,167200,168000,168800,169700,170600,171600,172600,173800,175200,176400,177600,178700,179900,181000,182300,183600,185200,186900,188700,190900,193200,195600,198000,200400,202700,205100,207500,210000,212500,216300,221000,225000,228200,232000,236100,240700,245800,251300,256900,262400,267900,273000,278000,283300,288900,294700,300700,306800,313000,319400,326100,333100,340200,347000,353700,360800,368000,375400,383400,391600,400500,410000,419700,429300,438300,446300,453400,460300,467200,474500,482100,489700,497400,505100,512100,518100,523600,528100,531400,533900,535100,535200,534500,533100,531300,529500,526600,522500,517500,511900,505600,499300,492200,484100,474600,464000,453100,442900,433000,423000,412900,402800,392300,382500,372600,362100,350600,339100,327400,315800,304800,295800,289200,285000,283200,281700,281400,280600,279400,278300,277900,276100,275100,274900,274600,273500,272600,272200,270700,269500,269600,270700,271600,272400,273900,275900,278400,280100,279900,279100,279900,282000,285500,290300,295200,299500,302400,304400,307600,312700,316700,318700,320400,324300,329400,334000,337600,340300,342700,344500,343200,341500,343200,347300,351600,355800,358600,360100,362700,368100,374600,379900,384500,388500,391600,395700,400300,403400,405200,407000,408400,408500,409000,411300,413700,416000,418600,420900,422100,423900,427000,431300,438200,447600,455200,460500,466800,472700,478500,484400,489500,494300,500200,503900,505100,506200,510800,517700,524600,531500,537900,545300,553700,559300,560500,562000,565500,572000,578700,582600
192820,"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",4,171500,171700,171800,171900,172100,172300,172500,172900,173300,173800,174100,174300,174400,174500,174500,174600,174700,174800,175000,175300,175800,176200,176600,176800,176900,177100,177300,177500,177900,178300,178800,179500,180300,181200,182100,182700,183400,184100,184800,185400,186200,187000,188000,189000,190200,191300,192300,193200,193900,194600,195200,195900,196600,197300,198200,199200,200300,201300,202200,202900,203500,204100,204600,205200,205900,206700,207700,208900,210100,211400,212600,213500,214200,215000,215700,216400,217200,218200,219500,220800,222200,223500,224900,226600,228500,230900,233900,237500,241800,246600,252000,257900,264400,271500,279400,288200,298200,309000,320700,332300,343000,352300,360300,367300,374100,380800,387100,392700,397500,401300,404700,407900,410700,413400,416100,419100,422300,425900,430200,435100,440500,445600,449600,451900,452300,451500,450100,448300,446400,444300,441100,436600,431700,427100,422800,418400,413500,408100,402100,394900,386100,376100,365500,354500,343500,332600,321800,311300,301300,291800,282800,274000,265000,256200,247000,237100,226800,216800,207700,200400,194900,190500,187200,184600,182800,180900,179600,179700,180000,179200,177800,176300,175300,174900,173700,172900,171700,170200,169100,168500,168200,168900,169000,167900,166000,163900,162700,161900,160900,160400,160400,160400,160100,160100,161000,163100,165700,168100,169900,171700,174800,178600,182600,186500,190400,193500,196600,199300,201600,203900,206900,208900,211000,213200,214600,216400,219200,222000,225400,229400,232600,235300,236500,236400,236600,237800,239200,240100,240900,242700,245100,247300,249500,251500,253100,256400,259200,260900,262000,263200,265000,267600,269500,271200,273300,275500,278200,281100,283300,285000,286600,288200,290000,292300,294300,296000,297700,300500,304800,309400,313200,317800,323300,327500,330300,332800,335400,337800,340600,342800
192796,"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark",5,233500,232900,232400,231900,231400,231100,230800,230700,230800,231000,231100,231100,231200,231200,231200,231100,231100,231100,231100,231200,231500,231700,231900,231900,232000,232000,232100,232200,232300,232500,232800,233300,234000,234700,235400,236000,236700,237500,238300,239200,240100,241100,242200,243600,245100,246600,248100,249300,250500,251600,252700,253700,254600,255400,256200,257300,258300,259300,260100,260700,261200,261700,262200,262600,263100,263600,264300,265200,266400,267600,268500,269400,270100,270800,271500,272100,272700,273500,274500,275300,276200,278000,280500,282900,285700,288900,292800,297600,303500,310500,318800,328100,338600,349700,361600,374500,388800,404100,420600,437700,454100,469100,482200,493400,503000,511300,518300,524400,529500,533100,535600,537200,538300,539300,540500,541900,543600,545600,547900,550800,553700,555900,557100,556400,554100,550900,547700,544600,541900,539600,537200,534300,531100,527700,523400,517700,510900,503300,494700,484400,472100,458200,443900,429900,417200,405900,395200,384900,375700,367600,359900,352400,345100,337800,330300,322000,313500,305100,297500,291600,288000,286400,285700,285400,285400,285500,285400,285900,285200,283500,281400,279100,276300,274000,270400,266400,262500,258900,256500,254600,252900,250600,248300,246700,245000,242100,240500,239700,239300,240500,241900,243100,244300,246300,249000,252900,256400,258800,261300,265600,270000,273200,275900,278800,282600,287900,294000,298800,303500,308000,311800,314100,316200,318900,323500,329000,334200,338800,342000,344000,345600,346800,347300,348000,349700,350500,350200,349200,348000,347100,347300,347200,346600,346800,347800,349600,351400,353000,354100,356100,359200,362300,363900,365100,366800,368700,371400,374500,376900,379000,381000,383200,386300,389600,391600,392700,394900,398800,403600,407100,409500,412500,415800,417400,417600,418500,421300,425500,430500,434900
268496,"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,128500,128500,128500,128600,128600,128800,128900,129200,129600,130100,130600,131100,131500,132000,132500,132900,133400,133800,134400,134900,135500,136200,136900,137400,137800,138100,138300,138500,138600,138700,138900,139100,139400,139700,140000,140100,140300,140400,140400,140400,140500,140700,140900,141200,141600,142200,142800,143200,143600,144100,144500,144800,145300,145700,146200,146800,147500,148400,149200,149900,150600,151300,151900,152500,153200,154000,154900,156000,157200,158700,160100,161500,162900,164100,165400,166600,167900,169300,170800,172900,175500,178200,180700,183500,186200,189000,192100,195700,199800,204400,209700,215100,220500,225900,231400,237400,244000,251100,258600,266100,273400,280300,286700,292600,298500,304700,311200,318600,326900,335900,345600,355800,365500,374300,382100,388800,394800,400600,406300,412900,420100,426700,432700,438500,443600,448300,452700,456900,461200,465200,467700,470100,472200,472700,471600,470600,468700,465600,461500,456800,451900,446500,439800,433300,426200,417100,406000,395000,383600,372100,360200,348700,337700,327500,316800,306300,295700,284100,272800,264800,259600,255800,252800,250600,249600,249400,250100,245700,239900,237900,239000,236300,233900,233200,235000,236200,235600,233700,232800,232700,232300,231900,232100,232400,232200,231900,231400,230700,230100,230200,231100,233600,237500,241300,244200,246900,249400,252000,254100,256500,258100,259100,259300,261500,264600,268800,273600,279100,283000,285200,286200,287100,288200,289400,291700,296500,300500,301600,301600,303500,305500,306300,306900,308600,312100,316400,320600,324800,330900,336300,339800,342400,345700,349000,351400,354200,358900,364800,368300,370200,372300,375000,376900,378800,381500,384500,388400,393500,399100,403100,406700,410500,414500,417200,420100,423700,429600,437100,444500,450200,454200,457800,461600,463300,464200,467500,471900,475300,477200,478100
273698,"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",7,383300,383200,383300,383500,383800,384200,384400,384600,384700,384600,384300,384000,383700,383500,383400,383500,383500,383500,383500,383400,383100,382800,382300,381900,381700,381700,382100,382600,383400,384300,385300,386400,387400,388300,389200,390100,391200,392600,394300,396200,398300,400400,402400,404300,406000,407400,408500,409500,410600,411900,413400,415000,416700,418200,419600,420900,421800,422400,422500,422400,422400,422700,423200,423900,424700,425500,426100,426500,426700,426600,426000,425300,424800,424600,424900,425400,426100,426800,427400,427500,427000,426900,427300,427200,426300,424600,422100,418800,415200,411900,409500,409000,410800,414400,419400,424900,430000,434200,437200,439500,441700,444200,447100,450300,453600,456800,459800,462700,465600,468700,472000,475000,477200,478600,479300,479700,480000,480700,482400,485800,490700,496300,502100,508000,513700,519300,524400,528400,531100,532200,531600,530200,528600,527300,526700,526300,525600,524700,523600,521800,519200,516000,511800,506700,500200,493000,485600,480100,476800,474700,472300,470000,468100,466600,465100,463300,461300,459100,457200,455700,454700,454000,453600,453300,453300,453800,454400,453500,453300,454700,456300,455900,455700,455100,454800,454000,452900,451500,450200,448700,448200,448600,449100,449100,448700,448500,448900,449800,450200,450200,450900,452900,453300,452200,451400,451600,450700,449600,448400,447800,447700,447600,447000,448200,450600,453600,457100,460200,461600,461700,461900,463100,463600,463800,464100,463400,461300,459500,459000,460000,462000,464200,466900,469600,472500,474500,475300,476300,478400,481600,485100,488100,491700,495200,497600,500000,505300,509500,510900,514200,522500,528800,531400,534700,538400,541500,547100,554300,559400,563400,568500,572100,574800,578600,582400,584600,590900,600300,603400,599900,597500,603600,616500,630300,638100,640700,640100,640100,638600,635900
32059,"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",8,291100,294900,298500,302000,305400,308600,312100,315700,319900,324500,328700,332000,335400,338600,341600,344200,346600,348700,350900,353200,356000,359400,362200,364100,365900,367700,369300,370800,372200,373700,375800,378300,381800,386100,390500,394600,399000,403700,408700,413800,419100,424600,430800,437600,445400,454000,462300,469900,477300,484500,491300,497500,503100,508400,514000,519700,525900,532500,539000,544800,550300,555500,560500,565200,569500,574100,579800,586400,594200,603000,612300,621600,631000,640200,649300,658100,666400,674900,683900,697700,716500,734300,747700,759000,766900,772100,777300,784900,795900,809400,822600,832600,839600,847000,858200,874300,896200,922900,952600,983700,1014600,1044100,1071200,1094000,1113400,1131800,1150800,1170900,1193100,1217600,1243400,1268100,1290300,1310600,1328700,1342500,1351000,1355500,1356800,1356300,1355600,1355900,1356600,1356600,1356100,1356500,1356300,1353800,1350800,1349400,1349400,1347700,1342600,1334800,1324100,1309500,1294100,1281600,1271700,1263500,1258500,1257600,1259500,1258800,1253700,1246200,1237600,1226600,1216900,1211000,1206500,1200300,1193600,1188400,1184800,1178100,1169300,1160100,1156800,1160800,1171600,1183900,1194100,1197400,1200800,1201100,1199900,1196900,1204700,1215000,1220500,1217300,1214700,1203100,1196300,1198900,1193200,1184000,1181300,1185800,1183100,1177400,1182100,1200000,1205100,1193700,1181800,1176400,1191200,1218100,1218300,1195200,1178000,1185900,1186300,1173100,1174100,1210600,1232300,1232600,1233800,1247000,1267500,1288600,1308000,1323100,1325600,1318100,1314600,1307700,1296800,1289100,1289100,1290400,1299000,1329100,1360500,1361600,1355500,1375600,1393600,1385000,1391500,1440500,1475200,1450200,1435600,1467500,1513000,1538300,1567100,1592500,1582700,1556900,1567300,1597800,1618800,1647100,1675700,1674900,1655300,1662200,1680900,1697500,1723300,1780900,1820300,1825800,1816900,1829900,1844200,1862000,1893000,1912200,1909300,1898300,1915800,1952700,1978400,1978000,1973000,1979400,1995000,1996200,1965600,1945700,1979100,2032400,2058500,2061100
273566,"East Side","El Paso","TX","El Paso","El Paso",9,152400,152300,152200,152000,151900,151800,151800,151800,151900,152000,152100,152200,152400,152600,152800,153000,153300,153600,154000,154500,155000,155400,155900,156200,156600,157000,157300,157600,157900,158200,158600,159000,159400,159800,160200,160500,160800,161100,161400,161800,162100,162400,162800,163200,163600,164000,164200,164400,164500,164700,164700,164800,164800,164800,164800,164900,165000,165100,165000,164900,164800,164700,164600,164400,164300,164300,164400,164500,164800,164900,164900,164900,164800,164800,164700,164500,164500,164500,164700,164800,164900,164900,164800,164700,164400,164400,164500,165000,165700,166600,167500,168500,169800,171700,174000,176600,179300,182100,184700,187100,189200,191200,193100,195000,197200,199500,201800,204000,206200,208300,210400,212400,214200,215800,217200,218400,219700,221200,223200,225700,228200,230600,232900,234900,236500,237900,239300,240600,241900,243000,244000,245100,246600,248700,251200,254100,257200,260500,263800,266400,267600,267600,266800,265600,263900,261800,260100,258700,257500,256500,255400,254500,253900,253400,253100,252600,251600,250200,249400,249700,250300,250600,250200,249500,248900,249000,249200,249400,249700,250400,250300,249200,247600,247100,247200,246800,246500,246400,247000,248000,249400,249600,248900,248300,247900,246900,246600,248400,249500,248900,247500,245300,243300,243300,243700,243000,242700,243200,243200,243000,243600,243900,243600,244100,245200,245900,246500,247200,247100,246400,245300,244000,242700,243100,243100,242400,241700,241100,240300,239600,237600,234800,232600,231100,230700,230800,231700,233300,235300,235800,235200,235600,238000,240300,242200,243900,244600,244400,243400,242200,240000,238500,239000,240100,239600,239100,239100,238900,238100,237200,236800,237200,237500,237900,239200,240600,241900,243700,245100,246000,247300,249000,251000,252500,253600,254200,254100,253000,254000,256400
275473,"Southeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas",10,78700,78800,78900,79000,79200,79400,79600,79700,79800,79900,80000,80100,80200,80400,80600,81000,81300,81700,82100,82400,82700,83000,83300,83600,83900,84200,84600,85100,85700,86300,86800,87400,87900,88300,88700,89100,89400,89900,90400,91000,91600,92200,92800,93200,93500,93800,94000,94100,94300,94500,94800,95100,95500,95900,96300,96600,96800,96800,96900,96900,96900,97000,97300,97600,98000,98500,98900,99100,99300,99400,99400,99400,99500,99700,100100,100600,101300,102100,102700,103500,104500,105600,106600,107700,108900,109900,110700,111200,111400,111300,111000,110800,110900,111400,112500,113800,114900,115700,116100,116200,116200,116300,117000,118500,120400,122100,123200,123900,124100,123700,123000,122300,122000,122100,122500,122800,123000,123300,123700,124500,125600,127000,128600,130300,131600,132100,132200,131900,131300,130700,130400,130700,131400,132500,133600,134400,134700,134300,133600,132600,131300,129800,128100,126200,124100,121800,119300,117600,116800,116300,115800,115400,115000,114600,114200,113800,113500,113100,112300,111400,110600,109900,109800,110100,110500,110900,111500,111200,110700,110700,110500,108200,106600,107000,107500,106400,105100,103700,102400,101600,100800,100200,101000,103100,104100,103800,103200,102900,102700,102800,102900,102500,101900,101100,101100,100900,100500,100600,101300,102200,103800,105600,105700,105600,104400,103100,102200,102600,101900,100500,98900,98200,98200,98000,98000,98100,100400,102700,103700,105100,108800,111700,113200,114500,115200,115500,117000,119300,120700,121700,122200,122200,121900,122000,122900,124200,124800,124700,124700,125200,126800,128600,129800,131200,132900,134700,136600,138800,140400,142000,143700,145400,147300,150500,153000,154200,155000,156200,157900,159300,160200,161900,165700,170300,173000,174300,176400,178700,180600,182400
