"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-09-30,274772,"Northeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",0,317100,0.000315457413249211,0.0018957345971564,0.054188829787234,,,"2018-09","2018-Q3",317100,0,"2018-09"
2018-09-30,192689,"Paradise","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",1,255400,0.0122869599682917,0.0420236638106895,0.170485792850596,,,"2006-07","2006-Q3",299100,-0.146104981611501,"2004-12"
2018-09-30,270958,"Upper West Side","NY","New York-Newark-Jersey City","New York","New York",2,1378800,-0.00426085072578898,-0.0145797598627787,-0.0556164383561644,,,"2017-07","2017-Q3",1475700,-0.0656637527952836,"2016-02"
2018-09-30,118208,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",3,469500,0.00513808606294155,0.0127264883520276,0.101595495072736,,,"2018-09","2018-Q3",469500,0,"2018-09"
2018-09-30,270957,"Upper East Side","NY","New York-Newark-Jersey City","New York","New York",4,1357400,-0.0036699941280094,-0.0238745865094204,-0.0170890658942795,,,"2017-06","2017-Q2",1398100,-0.029110936270653,"2017-01"
2018-09-30,192820,"Sunrise Manor","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",5,213600,0.0161750713606089,0.0532544378698225,0.194630872483221,,,"2006-09","2006-Q3",259500,-0.176878612716763,"2005-03"
2018-09-30,192796,"Spring Valley","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",6,272900,0.0114899925871016,0.036854103343465,0.153911205073996,,,"2006-06","2006-Q2",315400,-0.134749524413443,"2004-11"
2018-09-30,268496,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",7,373200,0.00810372771474878,0.0205086136177194,0.0855148342059337,,,"2007-04","2007-Q2",400200,-0.0674662668665667,"2006-06"
2018-09-30,194430,"East New York","NY","New York-Newark-Jersey City","Kings","New York",8,428000,0.00967209247464025,0.0390871570769604,0.0646766169154229,,,"2018-09","2018-Q3",428000,0,"2018-09"
2018-09-30,112547,"Paradise Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",9,334100,0.00300210147102972,0.0145763741269359,0.0708333333333333,,,"2006-05","2006-Q2",363600,-0.0811331133113311,"2005-10"
2018-09-30,198687,"Washington Heights","NY","New York-Newark-Jersey City","New York","New York",10,644900,0.00891739674593242,0.0233259282767375,0.0247894485936755,,,"2018-09","2018-Q3",644900,0,"2018-09"
2018-09-30,111818,"Deer Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",11,246200,0.00448796409628723,0.011088295687885,0.058469475494411,,,"2006-05","2006-Q2",268000,-0.0813432835820895,"2005-10"
2018-09-30,267955,"North Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",12,211600,0.00761904761904762,0.0222222222222222,0.103232533889468,,,"2006-06","2006-Q2",223200,-0.0519713261648745,"2005-12"
2018-09-30,272816,"Astoria","NY","New York-Newark-Jersey City","Queens","New York",13,811700,0.00669725908470793,0.0110861983059292,0.0231942518593218,,,"2018-09","2018-Q3",811700,0,"2018-09"
2018-09-30,273698,"Far North","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",14,380600,0.00157894736842105,0.00369198312236287,0.0670030838239417,,,"2018-09","2018-Q3",380600,0,"2018-09"
2018-09-30,272902,"Bedford Stuyvesant","NY","New York-Newark-Jersey City","Kings","New York",15,836300,0.00722630374563411,0.028279847534735,0.114323784143904,,,"2018-09","2018-Q3",836300,0,"2018-09"
2018-09-30,199001,"Williamsburg","NY","New York-Newark-Jersey City","Kings","New York",16,896500,0.00279642058165548,0.00481954718672943,0.0291585351853978,,,"2018-09","2018-Q3",896500,0,"2018-09"
2018-09-30,32059,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",17,854200,0.00659910440725901,0.0240978299964033,0.10748087644237,,,"2018-09","2018-Q3",854200,0,"2018-09"
2018-09-30,267908,"Camelback East","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",18,328200,0.00183150183150183,0.0101569713758079,0.0739528795811518,,,"2018-09","2018-Q3",328200,0,"2018-09"
2018-09-30,273566,"East Side","TX","El Paso","El Paso","El Paso",19,130800,0.00925925925925926,0.0258823529411765,0.0438946528332003,,,"2007-11","2007-Q4",137100,-0.0459518599562363,"2007-05"
2018-09-30,194737,"Flatbush","NY","New York-Newark-Jersey City","Kings","New York",20,1077100,0.0229841390445436,0.0799077601764588,0.227464387464387,,,"2018-09","2018-Q3",1077100,0,"2018-09"
2018-09-30,275473,"Southeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",21,122900,0.00408496732026144,0.0090311986863711,0.158341187558907,,,"2018-09","2018-Q3",122900,0,"2018-09"
