"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"Northeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",0,1715,-0.00174621653084983,-0.00924321201617562,-0.0514380530973451,57050
2018-09-30,"Maryvale","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",1,1144,0.000874890638670166,0.00350877192982456,0.0428441203281677,49156
2018-09-30,"Paradise","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",2,1285,0.000778816199376947,0.00390625,0.0304731355252606,61870
2018-09-30,"Upper West Side","NY","New York-Newark-Jersey City","New York","New York",3,3626,0,-0.0079343365253078,-0.0738186462324393,71051
2018-09-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,2440,0.00411522633744856,0.0120282040647034,0.010351966873706,34570
2018-09-30,"Upper East Side","NY","New York-Newark-Jersey City","New York","New York",5,3444,-0.000290275761973875,-0.000580383052814858,-0.0317683441102052,82606
2018-09-30,"Sunrise Manor","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",6,1190,-0.000839630562552477,0,0.037489102005231,43549
2018-09-30,"Spring Valley","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",7,1292,0,0.000774593338497289,0.0189274447949527,64681
2018-09-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",8,2301,0.00392670157068063,0.00568181818181818,-0.0141388174807198,25505
2018-09-30,"East New York","NY","New York-Newark-Jersey City","Kings","New York",9,2178,-0.000458926112895824,-0.00183318056828598,-0.021123595505618,20236
2018-09-30,"Paradise Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",10,1598,-0.00125,-0.00311915159076731,0.000626174076393237,60501
2018-09-30,"Washington Heights","NY","New York-Newark-Jersey City","New York","New York",11,2478,-0.00120918984280532,-0.00721153846153846,-0.0784678319077724,14868
2018-09-30,"Deer Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",12,1346,0,-0.00148367952522255,-0.00148367952522255,53047
2018-09-30,"North Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",13,1246,0,-0.000801924619085806,0.000803212851405623,49662
2018-09-30,"Astoria","NY","New York-Newark-Jersey City","Queens","New York",14,2237,0,0,-0.0299219427580226,26547
2018-09-30,"Far North","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",15,2205,0.000453720508166969,0,-0.0290620871862616,31372
2018-09-30,"Bedford Stuyvesant","NY","New York-Newark-Jersey City","Kings","New York",16,2377,-0.00167996640067199,-0.00627090301003344,-0.055621771950735,26320
2018-09-30,"Williamsburg","NY","New York-Newark-Jersey City","Kings","New York",17,2729,-0.00146359312111233,-0.00727537286285922,-0.0820719811638076,23863
2018-09-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",18,2795,-0.00107219442458899,-0.00462962962962963,-0.0470508012274122,11828
2018-09-30,"Camelback East","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",19,1445,-0.000691562932226833,-0.00344827586206897,-0.00344827586206897,48124
2018-09-30,"East Side","TX","El Paso","El Paso","El Paso",20,996,-0.00100300902708124,-0.00200400801603206,-0.0386100386100386,39741
2018-09-30,"Flatbush","NY","New York-Newark-Jersey City","Kings","New York",21,2197,-0.00136363636363636,-0.009021199819576,-0.0125842696629213,15017
2018-09-30,"Southeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",22,1209,0,-0.000826446280991736,0.020253164556962,30648
2018-09-30,"Alhambra","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",23,1199,0,-0.000833333333333333,0.0161016949152542,34383
2018-09-30,"Crown Heights","NY","New York-Newark-Jersey City","Kings","New York",24,2349,-0.00169995750106247,-0.00844238075137189,-0.0309405940594059,16425
2018-09-30,"Jamaica","NY","New York-Newark-Jersey City","Queens","New York",25,2106,-0.000474608448030375,-0.00378429517502365,-0.0326136885622416,22464
2018-09-30,"Harlem","NY","New York-Newark-Jersey City","New York","New York",26,2835,-0.000704970038773352,-0.00421496311907271,-0.0643564356435644,16455
2018-09-30,"Enterprise","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",27,1390,0,0.00216294160057678,0.0319227913882702,52952
2018-09-30,"Williamsbridge","NY","New York-Newark-Jersey City","Bronx","New York",28,1831,-0.0010911074740862,-0.00326619488296135,0.00549148819330038,12017
2018-09-30,"East Harlem","NY","New York-Newark-Jersey City","New York","New York",29,2831,-0.00105857445306987,-0.00492091388400703,-0.0616506463374213,9940
2018-09-30,"North Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Scottsdale",30,2551,-0.00234649980445835,-0.00739299610894942,-0.00468201326570425,60570
2018-09-30,"Roosevelt","CA","Fresno","Fresno","Fresno",31,1192,0,0.000839630562552477,0.0356211989574283,26628
2018-09-30,"South Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",32,1205,0,0.000830564784053156,0.00836820083682008,32182
2018-09-30,"East San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",33,3316,0.000905523694536674,0.00332829046898638,0.0304536979490367,20520
2018-09-30,"Bushwick","NY","New York-Newark-Jersey City","Kings","New York",34,2299,-0.00260303687635575,-0.0120326600773528,-0.0759646302250804,15281
2018-09-30,"East Flatbush","NY","New York-Newark-Jersey City","Kings","New York",35,2188,-0.00091324200913242,-0.00227998176014592,-0.0104025327905925,15823
2018-09-30,"South Side","TX","Corpus Christi","Nueces","Corpus Christi",36,1520,0.00131752305665349,0.0033003300330033,0.00662251655629139,30249
2018-09-30,"Alief","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",37,1342,0,0,0.0323076923076923,22476
2018-09-30,"Corona","NY","New York-Newark-Jersey City","Queens","New York",38,2235,0.000895656068069861,0.00269179004037685,-0.03539059128183,9934
2018-09-30,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby","Memphis",39,932,0.00107411385606874,0.0021505376344086,0.00865800865800866,41535
2018-09-30,"Sunset Park","NY","New York-Newark-Jersey City","Kings","New York",40,2178,-0.00183318056828598,-0.0050251256281407,-0.0522193211488251,9248
2018-09-30,"Bullard","CA","Fresno","Fresno","Fresno",41,1482,0.00202839756592292,0.00610997963340122,0.027027027027027,30600
2018-09-30,"Southwest Dallas","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",42,1390,0,0,0.0198092443140132,21786
2018-09-30,"Borough Park","NY","New York-Newark-Jersey City","Kings","New York",43,2192,-0.000911577028258888,-0.00408905043162199,-0.0531317494600432,9799
2018-09-30,"Bensonhurst","NY","New York-Newark-Jersey City","Kings","New York",44,2084,-0.00191570881226054,-0.00667302192564347,-0.0625281151596941,12528
2018-09-30,"Central City","TX","Corpus Christi","Nueces","Corpus Christi",45,1117,-0.000894454382826476,0.000896057347670251,0.0294930875576037,27522
2018-09-30,"West San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",46,3721,-0.0005372011818426,-0.000805585392051557,-0.00826226012793177,22660
2018-09-30,"Northeast","TX","El Paso","El Paso","El Paso",47,890,-0.00112233445566779,-0.00224215246636771,-0.0122086570477248,25847
2018-09-30,"Elmhurst","NY","New York-Newark-Jersey City","Queens","New York",48,2203,0.00136363636363636,0.00181900864029104,-0.0221926320461607,12668
2018-09-30,"East","TX","Dallas-Fort Worth-Arlington","Tarrant","Arlington",49,1347,0,0.000742942050520059,0.00974512743628186,17198
2018-09-30,"Koreatown","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",50,2644,-0.0011333585190782,-0.002640513013957,-0.0189239332096475,4603
2018-09-30,"Westlake","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",51,2505,-0.00199203187250996,-0.00909810126582278,-0.0507768093974991,4180
2018-09-30,"South Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Scottsdale",52,1618,-0.000617665225447807,-0.00185070943861814,0.00372208436724566,44569
2018-09-30,"Blossom Valley","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",53,3439,0,0,0.0235119047619048,18057
2018-09-30,"North Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",54,2260,0.00132919805050953,0.00132919805050953,0.000885739592559787,15450
2018-09-30,"Sheepshead Bay","NY","New York-Newark-Jersey City","Kings","New York",55,2157,-0.00323475046210721,-0.0110041265474553,-0.0447298494242693,15478
2018-09-30,"South Bronx","NY","New York-Newark-Jersey City","Bronx","New York",56,1898,0.000527148128624143,0,0.0237324703344121,3615
2018-09-30,"Soundview","NY","New York-Newark-Jersey City","Bronx","New York",57,1848,0.000541418516513265,0.000541418516513265,0.021558872305141,5299
2018-09-30,"Willow Glen","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",58,3540,0,0,-0.0136528280858178,20503
2018-09-30,"Southeast","TX","Dallas-Fort Worth-Arlington","Tarrant","Arlington",59,1539,0,0,-0.00452781371280724,25627
2018-09-30,"Northwest","TX","El Paso","El Paso","El Paso",60,1299,0,0.000770416024653313,-0.00459770114942529,24224
2018-09-30,"Canarsie","NY","New York-Newark-Jersey City","Kings","New York",61,2170,-0.000460617227084293,-0.00183992640294388,-0.00504355800091701,14518
2018-09-30,"White Haven-Coro Lake","TN","Memphis","Shelby","Memphis",62,767,0.00130548302872063,0.00130548302872063,0.00921052631578947,26809
2018-09-30,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",63,2787,0.000358937544867193,0.00107758620689655,0.0216275659824047,13888
2018-09-30,"Downtown","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",64,3245,-0.000308071472581639,-0.000615953187557746,0.00030826140567201,15727
2018-09-30,"Mid City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",65,2990,-0.00200267022696929,-0.00927766732935719,-0.0125495376486129,17460
2018-09-30,"Logan Square","IL","Chicago-Naperville-Elgin","Cook","Chicago",66,1654,-0.000604229607250755,-0.00421432871763998,-0.0428240740740741,14359
2018-09-30,"Preston Hollow","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",67,2270,0.00265017667844523,0.00620567375886525,0.00575985821887461,19354
2018-09-30,"Lower East Side","NY","New York-Newark-Jersey City","New York","New York",68,3704,-0.000809279741030483,-0.00242391597091301,-0.0483042137718397,9391
2018-09-30,"Estrella","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",69,1194,0,-0.000836820083682008,0.00505050505050505,19763
2018-09-30,"Sun Valley","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",70,2711,0.00073827980804725,0.00444609114486847,0.0430934974990381,16088
2018-09-30,"Northridge","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",71,3144,0.00063653723742839,0.00063653723742839,-0.00851466414380322,17311
2018-09-30,"Flushing","NY","New York-Newark-Jersey City","Queens","New York",72,2203,0.000454132606721163,0.000454132606721163,-0.0213238560639716,16175
2018-09-30,"South Ozone Park","NY","New York-Newark-Jersey City","Queens","New York",73,2122,0.000471475719000471,-0.00235072872590503,-0.0393843368039837,15071
2018-09-30,"Ahwatukee Foothills","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",74,1583,-0.000631313131313131,-0.00314861460957179,0.00828025477707006,28667
2018-09-30,"Sylmar","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",75,2644,0.00151515151515152,0.00647125999238675,0.0492063492063492,16553
2018-09-30,"Boyle Heights","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",76,2235,-0.00223214285714286,-0.0136804942630185,-0.0278381905176164,7782
2018-09-30,"Sharpstown","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",77,1371,-0.000728862973760933,-0.00218340611353712,0.0223713646532438,12869
2018-09-30,"West","TX","Dallas-Fort Worth-Arlington","Tarrant","Arlington",78,1539,-0.000649350649350649,-0.000649350649350649,-0.00323834196891192,25032
2018-09-30,"North Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",79,2734,0.000365898280278083,-0.00109609061015711,0.00922849760059062,11390
2018-09-30,"San Pedro","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",80,2562,-0.00233644859813084,-0.00813008130081301,-0.00155884645362432,19894
2018-09-30,"North Valley","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",81,3300,0,0.000303122158229767,0.0119595216191352,15476
2018-09-30,"Evergreen","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",82,3535,0,-0.000565450947130336,-0.00169443659983056,23799
2018-09-30,"Woodland Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",83,3437,0.000582241630276565,0.00087361677344205,-0.0134902411021814,22059
2018-09-30,"Eldridge - West Oaks","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",84,1747,-0.0005720823798627,-0.00171428571428571,0.0282519128899353,11879
2018-09-30,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",85,3554,-0.00140488901376791,-0.00642996924797316,-0.0289617486338798,19605
2018-09-30,"Pacoima","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",86,2544,0.00118063754427391,0.00355029585798817,0.0396403759705762,11001
2018-09-30,"Murray Hill","NY","New York-Newark-Jersey City","Queens","New York",87,2239,0,0,-0.0398799313893654,13699
2018-09-30,"Little Village","IL","Chicago-Naperville-Elgin","Cook","Chicago",88,1392,0,-0.00143472022955524,0.000718907260963336,4499
2018-09-30,"North Raleigh","NC","Raleigh","Wake","Raleigh",89,1569,0.00127632418634333,0.00383877159309021,-0.012586532410321,27644
2018-09-30,"Southwest","CA","San Diego-Carlsbad","San Diego","Chula Vista",90,2336,0,0.00171526586620926,0.025010969723563,12505
2018-09-30,"Canyon Country","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Santa Clarita",91,2595,0.00038550501156515,0.00154380548050946,0.0148611654282362,18636
2018-09-30,"Mira Mesa","CA","San Diego-Carlsbad","San Diego","San Diego",92,2524,0.00278108859753675,0.008792965627498,0.00637958532695375,19544
2018-09-30,"West Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange","Anaheim",93,2638,0,0,0.00304182509505703,10401
2018-09-30,"Far Rockaway","NY","New York-Newark-Jersey City","Queens","New York",94,2131,-0.00093764650726676,0.000469483568075117,-0.0014058106841612,6652
2018-09-30,"Forest Hills","NY","New York-Newark-Jersey City","Queens","New York",95,2141,0,0,0.0239120038259206,22544
2018-09-30,"Cordova-Appling","TN","Memphis","Shelby","Memphis",96,1246,0,0.000803212851405623,0.00890688259109312,23241
2018-09-30,"Northwest Raleigh","NC","Raleigh","Wake","Raleigh",97,1577,0.00126984126984127,0.00381922342457034,-0.0106649937264743,23728
2018-09-30,"Valencia","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Santa Clarita",98,2737,-0.000365230094959825,0.00183016105417277,0.00256410256410256,16201
2018-09-30,"Reseda","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",99,2714,0.00258588843738456,0.00518518518518519,0.0331176246669204,13832
2018-09-30,"Ridgewood","NY","New York-Newark-Jersey City","Queens","New York",100,2253,0.00133333333333333,0.00356347438752784,-0.0140043763676149,7509
2018-09-30,"Central Southwest","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",101,1338,-0.000746825989544436,-0.000746825989544436,0.0174904942965779,18237
2018-09-30,"West Rogers Park","IL","Chicago-Naperville-Elgin","Cook","Chicago",102,1534,0,0.00130548302872063,-0.00260078023407022,16409
2018-09-30,"East Village","NY","New York-Newark-Jersey City","New York","New York",103,3741,-0.000534330750734705,-0.00558213716108453,-0.0765243149839546,15842
2018-09-30,"South Dorchester","MA","Boston-Cambridge-Newton","Suffolk","Boston",104,2499,0.000400320256204964,0.00442122186495177,0.0204164965291956,13142
2018-09-30,"Park Slope","NY","New York-Newark-Jersey City","Kings","New York",105,2721,-0.00183418928833456,-0.00693430656934307,-0.0568457538994801,16533
2018-09-30,"Hickory Ridge-South Riverdale","TN","Memphis","Shelby","Memphis",106,955,0,0.00209863588667366,0.00420609884332282,13941
2018-09-30,"South Belt - Ellington","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",107,1442,0,-0.000693000693000693,-0.00138504155124654,14135
2018-09-30,"Panorama City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",108,2499,0.000800961153384061,0.00482509047044632,0.0254411161263849,7987
2018-09-30,"Jackson Heights","NY","New York-Newark-Jersey City","Queens","New York",109,2183,0.0018357044515833,0.00506445672191529,0.0277777777777778,10720
2018-09-30,"Greater Fondren Southwest","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",110,1398,-0.000714796283059328,0,0.00143266475644699,12254
2018-09-30,"Clear Lake","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",111,1732,0.00115606936416185,0.00173510699826489,0.0260663507109005,17543
2018-09-30,"Northeast Raleigh","NC","Raleigh","Wake","Raleigh",112,1301,0,-0.000768049155145929,0.00463320463320463,22639
