"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"Northeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",0,1814,0.0011037527593819,-0.00493691716950082,-0.0397035468501853,52251
2018-09-30,"Maryvale","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",1,1143,0.000875656742556918,0.00263157894736842,0.0428832116788321,47687
2018-09-30,"Paradise","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",2,1292,0,0,0.027027027027027,57470
2018-09-30,"Upper West Side","NY","New York-Newark-Jersey City","New York","New York",3,3802,0.000789681495130297,-0.00314630309386471,-0.100118343195266,39067
2018-09-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,2493,0.00483675937122128,0.012591389114541,0.0179665169456921,22323
2018-09-30,"Upper East Side","NY","New York-Newark-Jersey City","New York","New York",5,3822,0,-0.00156739811912226,-0.0657540943534588,39468
2018-09-30,"Sunrise Manor","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",6,1191,0,0,0.0356521739130435,40751
2018-09-30,"Spring Valley","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",7,1292,0,0,0.016522423288749,61719
2018-09-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",8,2380,0.00762066045723963,0.0183996576807873,0,13669
2018-09-30,"East New York","NY","New York-Newark-Jersey City","Kings","New York",9,2194,-0.000910746812386157,-0.000910746812386157,-0.0222816399286988,5601
2018-09-30,"Paradise Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",10,1634,-0.000611620795107034,-0.00183262064752596,-0.00122249388753056,57869
2018-09-30,"Washington Heights","NY","New York-Newark-Jersey City","New York","New York",11,2649,-0.00301091456529921,-0.0141421659843692,-0.0909402882635553,4265
2018-09-30,"Deer Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",12,1347,-0.000741839762611276,-0.00148257968865827,-0.00148257968865827,51392
2018-09-30,"North Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",13,1248,0,0,-0.0016,46817
2018-09-30,"Astoria","NY","New York-Newark-Jersey City","Queens","New York",14,2284,-0.000437636761487965,0,-0.0193215972520395,5131
2018-09-30,"Far North","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",15,2268,0.00132450331125828,0.00353982300884956,-0.0207253886010363,28901
2018-09-30,"Bedford Stuyvesant","NY","New York-Newark-Jersey City","Kings","New York",16,2610,-0.000382995021064726,-0.00533536585365854,-0.055032585083273,3566
2018-09-30,"Williamsburg","NY","New York-Newark-Jersey City","Kings","New York",17,2953,-0.00236486486486486,-0.0100569896077774,-0.044336569579288,8629
2018-09-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",18,3079,0.00064998375040624,0,-0.0206743002544529,5515
2018-09-30,"Camelback East","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",19,1512,0,0.00132450331125828,0.00732844770153231,43546
2018-09-30,"East Side","TX","El Paso","El Paso","El Paso",20,1002,0,-0.00397614314115308,-0.037463976945245,36839
2018-09-30,"Flatbush","NY","New York-Newark-Jersey City","Kings","New York",21,2261,-0.00352578228294403,-0.0126637554585153,-0.0378723404255319,4448
2018-09-30,"Southeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",22,1215,-0.000822368421052632,-0.00164338537387017,0.0227272727272727,29711
2018-09-30,"Alhambra","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",23,1200,0,-0.00166389351081531,0.0160880609652837,32037
2018-09-30,"Crown Heights","NY","New York-Newark-Jersey City","Kings","New York",24,2470,-0.00202020202020202,-0.00843034925732638,-0.0344018764659891,2853
2018-09-30,"Jamaica","NY","New York-Newark-Jersey City","Queens","New York",25,2122,-0.000941619585687382,-0.00328792860497886,-0.0531012940651495,9789
2018-09-30,"Harlem","NY","New York-Newark-Jersey City","New York","New York",26,3057,-0.0019588638589618,-0.0135527589545015,-0.0694063926940639,5844
2018-09-30,"Enterprise","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",27,1391,0,0.000719424460431655,0.0273264401772526,50105
2018-09-30,"Williamsbridge","NY","New York-Newark-Jersey City","Bronx","New York",28,1837,-0.000544069640914037,-0.00217273221075502,-0.00970350404312668,2668
2018-09-30,"East Harlem","NY","New York-Newark-Jersey City","New York","New York",29,3029,-0.00230566534914361,-0.0130335614206582,-0.0731334149326805,3013
2018-09-30,"North Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Scottsdale",30,2647,-0.00301318267419962,-0.00675422138836773,-0.000377643504531722,57418
2018-09-30,"Roosevelt","CA","Fresno","Fresno","Fresno",31,1199,0,0,0.023037542662116,24706
2018-09-30,"South Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",32,1205,0.000830564784053156,0.000830564784053156,0.00836820083682008,30197
2018-09-30,"East San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",33,3321,0.00120590895387398,0.00392986698911729,0.0313664596273292,19729
2018-09-30,"Bushwick","NY","New York-Newark-Jersey City","Kings","New York",34,2337,-0.000855066267635742,-0.00341151385927505,-0.05,896
2018-09-30,"East Flatbush","NY","New York-Newark-Jersey City","Kings","New York",35,2210,-0.001806684733514,-0.00629496402877698,-0.0212577502214349,5527
2018-09-30,"South Side","TX","Corpus Christi","Nueces","Corpus Christi",36,1535,0.000651890482398957,0.00195822454308094,0.00261267145656434,28688
2018-09-30,"Alief","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",37,1343,0,0.000745156482861401,0.0330769230769231,21330
2018-09-30,"Corona","NY","New York-Newark-Jersey City","Queens","New York",38,2200,0.00045475216007276,0.00136549840691853,0.0256410256410256,2597
2018-09-30,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby","Memphis",39,951,0.00105263157894737,0.00105263157894737,0.00210748155953635,38951
2018-09-30,"Sunset Park","NY","New York-Newark-Jersey City","Kings","New York",40,2196,-0.00136425648021828,-0.00272479564032698,-0.0261640798226164,1661
2018-09-30,"Bullard","CA","Fresno","Fresno","Fresno",41,1491,0,0.000671140939597315,0.0296961325966851,29402
2018-09-30,"Southwest Dallas","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",42,1391,0,0,0.0145878920495988,20937
2018-09-30,"Borough Park","NY","New York-Newark-Jersey City","Kings","New York",43,2283,-0.00218531468531469,-0.0104031209362809,-0.0794354838709677,3222
2018-09-30,"Bensonhurst","NY","New York-Newark-Jersey City","Kings","New York",44,2187,-0.00182565038795071,-0.00771324863883848,-0.0988875154511743,3512
2018-09-30,"Central City","TX","Corpus Christi","Nueces","Corpus Christi",45,1121,0,0.000892857142857143,0.031278748850046,26532
2018-09-30,"West San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",46,3741,0,-0.000267236771779797,-0.0118858954041204,19920
2018-09-30,"Northeast","TX","El Paso","El Paso","El Paso",47,892,-0.00111982082866741,-0.00223713646532438,-0.0110864745011086,24184
2018-09-30,"Elmhurst","NY","New York-Newark-Jersey City","Queens","New York",48,2201,0.000909504320145521,0.00273348519362187,0.0265858208955224,5955
2018-09-30,"East","TX","Dallas-Fort Worth-Arlington","Tarrant","Arlington",49,1349,0,0.000741839762611276,0.00897531787584144,16088
2018-09-30,"Koreatown","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",50,2853,0.00175561797752809,0.00777110561638997,0.00955414012738853,2695
2018-09-30,"Westlake","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",51,2631,0,-0.00227531285551763,-0.00416351249053747,2014
2018-09-30,"South Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Scottsdale",52,1649,-0.000606060606060606,-0.00121138703815869,-0.00121138703815869,41084
2018-09-30,"Blossom Valley","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",53,3439,0,0,0.0216874628639335,17219
2018-09-30,"North Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",54,2329,0.00172043010752688,0.00648228176318064,0.0148148148148148,11438
2018-09-30,"Sheepshead Bay","NY","New York-Newark-Jersey City","Kings","New York",55,2178,-0.00229042601923958,-0.00864815657715066,-0.0716112531969309,8065
2018-09-30,"South Bronx","NY","New York-Newark-Jersey City","Bronx","New York",56,1922,0.00104166666666667,0.00470465237846315,0.0245202558635394,818
2018-09-30,"Soundview","NY","New York-Newark-Jersey City","Bronx","New York",57,1847,0.000541711809317443,0.000541711809317443,0.011500547645126,826
2018-09-30,"Willow Glen","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",58,3589,0.000557568999163646,0.000836586726157278,-0.0110223201984018,18332
2018-09-30,"Southeast","TX","Dallas-Fort Worth-Arlington","Tarrant","Arlington",59,1542,0,0,-0.00516129032258065,24838
2018-09-30,"Northwest","TX","El Paso","El Paso","El Paso",60,1347,0,0,-0.0189366351056082,22054
2018-09-30,"Canarsie","NY","New York-Newark-Jersey City","Kings","New York",61,2192,0,-0.00136674259681093,-0.0201162270898525,3870
2018-09-30,"White Haven-Coro Lake","TN","Memphis","Shelby","Memphis",62,769,0,0.00260756192959583,0.00786369593709043,26136
2018-09-30,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",63,2850,-0.000350754121360926,0.000702247191011236,0.0318609703113686,11508
2018-09-30,"Downtown","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",64,3241,-0.000308451573103023,-0.000616712920135677,-0.000616712920135677,12025
2018-09-30,"Mid City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",65,3353,0,0,-0.00974601299468399,9982
