"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-09-30,"Northeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",0,1287,0,0.000777604976671851,0.00783085356303837,10927
2018-09-30,"Maryvale","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",1,1007,0.00099403578528827,-0.0117762512266928,0.0735607675906183,4737
2018-09-30,"Paradise","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",2,1038,-0.000962463907603465,0.000964320154291225,0.0778816199376947,21964
2018-09-30,"Upper West Side","NY","New York-Newark-Jersey City","New York","New York",3,3618,-0.000276319425255595,-0.00767964893033461,-0.0730207532667179,67705
2018-09-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,2288,0.00615655233069481,0.0110472823685373,0.00615655233069481,10726
2018-09-30,"Upper East Side","NY","New York-Newark-Jersey City","New York","New York",5,3434,0,-0.000291120815138282,-0.03076488851256,78367
2018-09-30,"Sunrise Manor","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",6,849,0,-0.00117647058823529,0.026602176541717,7463
2018-09-30,"Spring Valley","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",7,979,0,-0.00203873598369011,0.0664488017429194,22356
2018-09-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",8,2255,0.00985221674876847,0.0217489805165383,0.00400712377560107,10441
2018-09-30,"East New York","NY","New York-Newark-Jersey City","Kings","New York",9,2169,-0.000460829493087558,-0.00275862068965517,-0.0198825124265703,15613
2018-09-30,"Paradise Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",10,1228,0,-0.00243704305442729,0.0106995884773663,11291
2018-09-30,"Washington Heights","NY","New York-Newark-Jersey City","New York","New York",11,2460,-0.00162337662337662,-0.00926298832057994,-0.0765765765765766,14090
2018-09-30,"Deer Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",12,1141,0,0,0.0151245551601423,5250
2018-09-30,"North Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",13,1140,0,0.00263852242744063,0.0178571428571429,10871
2018-09-30,"Astoria","NY","New York-Newark-Jersey City","Queens","New York",14,2232,0.000448229493500672,0,-0.0261780104712042,23777
2018-09-30,"Far North","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",15,1358,-0.00366837857666911,-0.00293685756240822,-0.0123636363636364,8906
2018-09-30,"Bedford Stuyvesant","NY","New York-Newark-Jersey City","Kings","New York",16,2380,-0.00167785234899329,-0.00584795321637427,-0.0536779324055666,24309
2018-09-30,"Williamsburg","NY","New York-Newark-Jersey City","Kings","New York",17,2731,-0.00146252285191956,-0.00727008360596147,-0.0807808818579603,22839
2018-09-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",18,2634,-0.00189465706707086,-0.00828313253012048,-0.0589496248660236,8548
2018-09-30,"Camelback East","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",19,1207,0,0.000829187396351575,0.00667222685571309,19990
2018-09-30,"East Side","TX","El Paso","El Paso","El Paso",20,849,0,-0.00468933177022274,-0.0352272727272727,2913
2018-09-30,"Flatbush","NY","New York-Newark-Jersey City","Kings","New York",21,2161,-0.00322878228782288,-0.0109839816933638,-0.0109839816933638,12438
2018-09-30,"Southeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",22,1081,0.00278293135435993,0.00933706816059757,0.0505344995140913,1183
2018-09-30,"Alhambra","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",23,1104,0.00181488203266788,0.0119156736938588,0.0454545454545455,9172
2018-09-30,"Crown Heights","NY","New York-Newark-Jersey City","Kings","New York",24,2341,-0.00127986348122867,-0.00678829019940602,-0.0286307053941909,14652
2018-09-30,"Jamaica","NY","New York-Newark-Jersey City","Queens","New York",25,2111,-0.000473484848484848,-0.00236294896030246,-0.00798872180451128,10918
2018-09-30,"Harlem","NY","New York-Newark-Jersey City","New York","New York",26,2808,-0.00177746178457163,-0.00672090555359038,-0.0686567164179104,15112
2018-09-30,"Enterprise","NV","Las Vegas-Henderson-Paradise","Clark","Las Vegas",27,1155,-0.000865051903114187,-0.00345125107851596,0.0230292294065545,8524
2018-09-30,"Williamsbridge","NY","New York-Newark-Jersey City","Bronx","New York",28,1821,-0.00164473684210526,-0.00491803278688525,0.0122290161200667,9074
2018-09-30,"East Harlem","NY","New York-Newark-Jersey City","New York","New York",29,2824,-0.0010611956137248,-0.00528355054596689,-0.0621056127532381,9278
2018-09-30,"North Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Scottsdale",30,1459,0.000685871056241426,-0.000684931506849315,-0.00341530054644809,19250
2018-09-30,"Roosevelt","CA","Fresno","Fresno","Fresno",31,818,0,-0.00365408038976857,0.0123762376237624,2493
2018-09-30,"South Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",32,1160,0,-0.00514579759862779,0.00259291270527226,3776
2018-09-30,"East San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",33,2658,0.00150715900527506,0.00188465887674331,-0.0162842339008142,2495
2018-09-30,"Bushwick","NY","New York-Newark-Jersey City","Kings","New York",34,2297,-0.00217202432667246,-0.011617900172117,-0.0760257441673371,14291
2018-09-30,"East Flatbush","NY","New York-Newark-Jersey City","Kings","New York",35,2163,-0.00230627306273063,-0.00551724137931034,-0.0032258064516129,10521
2018-09-30,"South Side","TX","Corpus Christi","Nueces","Corpus Christi",36,1199,0,-0.000833333333333333,-0.0196238757154538,2143
2018-09-30,"Alief","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",37,1090,0,0.00832562442183164,0.0341555977229602,3350
2018-09-30,"Corona","NY","New York-Newark-Jersey City","Queens","New York",38,2232,0.00134589502018843,0.00404858299595142,-0.0333477695972282,8868
2018-09-30,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby","Memphis",39,993,0,0.00100806451612903,0.0237113402061856,5210
2018-09-30,"Sunset Park","NY","New York-Newark-Jersey City","Kings","New York",40,2170,-0.00229885057471264,-0.0059551076500229,-0.0540540540540541,8854
2018-09-30,"Bullard","CA","Fresno","Fresno","Fresno",41,1193,-0.000837520938023451,-0.00167364016736402,-0.03322528363047,3724
2018-09-30,"Southwest Dallas","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",42,1146,0,0,0.0195729537366548,850
2018-09-30,"Borough Park","NY","New York-Newark-Jersey City","Kings","New York",43,2187,-0.000913659205116492,-0.00364464692482916,-0.0462276493676406,8881
2018-09-30,"Bensonhurst","NY","New York-Newark-Jersey City","Kings","New York",44,2056,-0.0014570179698883,-0.00724287783679382,-0.0624715002279982,10523
2018-09-30,"Central City","TX","Corpus Christi","Nueces","Corpus Christi",45,1119,-0.00178412132024978,-0.00267379679144385,-0.0628140703517588,1718
2018-09-30,"West San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",46,3150,0,0.000635324015247776,-0.00316455696202532,6396
2018-09-30,"Northeast","TX","El Paso","El Paso","El Paso",47,788,0,-0.00126742712294043,0.00254452926208651,1162
2018-09-30,"Elmhurst","NY","New York-Newark-Jersey City","Queens","New York",48,2199,0.000910332271279017,0.00365130077590141,0.00548696844993141,10907
2018-09-30,"East","TX","Dallas-Fort Worth-Arlington","Tarrant","Arlington",49,1149,0,-0.00260416666666667,0.0123348017621145,950
2018-09-30,"Koreatown","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",50,2532,-0.00157728706624606,-0.00549882168106834,-0.0144024912417283,3808
2018-09-30,"Westlake","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",51,2440,0.000820344544708778,-0.00529963310232369,-0.0442616529573051,3114
2018-09-30,"South Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Scottsdale",52,1372,-0.00218181818181818,-0.00867052023121387,-0.00867052023121387,24992
2018-09-30,"Blossom Valley","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",53,2556,0.000783085356303837,0.00313971742543171,0.00748916042569965,5004
2018-09-30,"North Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",54,2117,0.00761542122798667,0.0124342419894787,-0.0239741816505302,4184
2018-09-30,"Sheepshead Bay","NY","New York-Newark-Jersey City","Kings","New York",55,2139,-0.000934142923867352,-0.00650255457501161,-0.0228414801279123,10966
2018-09-30,"South Bronx","NY","New York-Newark-Jersey City","Bronx","New York",56,1893,0.000528541226215645,-0.000527983104540655,0.0226904376012966,2887
2018-09-30,"Soundview","NY","New York-Newark-Jersey City","Bronx","New York",57,1846,0,0,0.0215827338129496,4720
2018-09-30,"Willow Glen","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",58,3136,0,-0.000318775900541919,0.000638162093171666,4771
2018-09-30,"Southeast","TX","Dallas-Fort Worth-Arlington","Tarrant","Arlington",59,1291,-0.000773993808049536,-0.00154679040989946,0.0394524959742351,535
2018-09-30,"Northwest","TX","El Paso","El Paso","El Paso",60,999,0,-0.00597014925373134,-0.0758556891766883,1320
2018-09-30,"Canarsie","NY","New York-Newark-Jersey City","Kings","New York",61,2144,-0.000466200466200466,-0.00139729855612483,-0.00325430032543003,11409
2018-09-30,"White Haven-Coro Lake","TN","Memphis","Shelby","Memphis",62,789,0,0,-0.0259259259259259,1549
2018-09-30,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",63,2310,0.00391134289439374,0.010498687664042,0.0271231658514896,4309
2018-09-30,"Downtown","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara","San Jose",64,3139,-0.000318471337579618,-0.00190779014308426,-0.00977917981072555,7392
2018-09-30,"Mid City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",65,2722,-0.00548045305078553,-0.018037518037518,-0.0412116942585417,8063
2018-09-30,"Logan Square","IL","Chicago-Naperville-Elgin","Cook","Chicago",66,1553,-0.000643500643500643,-0.00128617363344051,-0.0389851485148515,9517
2018-09-30,"Preston Hollow","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",67,1241,0,-0.000805152979066023,-0.00957701516360734,2117
