RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
274772,Northeast Dallas,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78100,78200,70300,71900,71800,80500,73500,77300,79500,86900,85100,79800,83300,82e3,85400,82100,83500,79e3,80500,79800,82600,81900,87100,89800,86700,86700,84400,86500,79700,82600,89800,95500,92500,89e3,88e3,93400,91700,94100,91700,95400,99100,102600,101300,103100,102900,107900,107100,109e3,108500,109200,113900,115700,118700,120100,117500,115300,117700,119e3,121600,119700,128200,128900,130200,124300,123400,124900,129800,135900,135200,135200,134e3,137600,139300,
112345,Maryvale,Arizona,2,,,,,,,,,,,,,,,,,,,47400,49600,51900,51400,51400,50600,49100,48800,49400,50400,49200,45500,44e3,41600,41100,39e3,39900,39e3,38900,38100,38800,39600,40100,40700,41800,43400,44400,44800,45600,46200,49e3,50700,54800,57e3,59e3,60400,63600,67100,67900,67900,68700,70600,71100,72600,74e3,78200,80600,84500,87400,89200,92e3,91500,93e3,89900,91600,93600,97500,98400,99600,101400,102300,101500,102300,103900,103100,104200,105400,109e3,112600,114400,117100,116100,117400,118500,118200,121600,123400,127300,128100,129500,131900,132400,133200,133600,137700,141900,144e3,142700,142300,144200,147100,149500,150100,151e3,150600,151700,155500,158800,159900,159100,160800,162400,163400,164400,167400,170100,171e3,170100,173400
118208,South Los Angeles,California,3,,,,,,275300,261600,255900,242300,228800,217800,212100,212900,2e5,186800,175300,178200,183e3,182900,178900,183500,191300,194400,196300,194e3,195600,198e3,205400,199800,200100,202600,210300,204100,194300,199200,211400,217500,207700,201e3,196e3,200300,195100,194800,194700,190100,19e4,187600,195500,198900,200200,200100,197300,195900,199400,198500,204300,207e3,214800,220100,219100,222600,227800,234e3,236700,237100,237500,247500,252300,263100,266800,270400,277800,278500,279800,277600,281e3,279500,282e3,283800,290200,290500,291300,295100,299100,302400,314e3,315500,313100,305200,304500,309100,315300,320200,322600,319500,329500,336600,343200,340300,345100,350100,359800,357900,357100,35e4,355300,359400,362900,366e3,369600,371700,378400,383600,392700,389900,397600,396e3,408200,414e3,433300,441700,442300,440600,435400,432700,432600,427900
192820,Sunrise Manor,Nevada,4,,,,,,,,,,,,,,,,,,,64700,66200,65200,67500,66900,68800,68700,70300,68900,68100,67600,68100,67e3,63700,62900,62400,63500,62500,63100,61800,61900,61200,60600,60800,59600,58900,58e3,56200,56100,55e3,56600,56500,57900,61100,63200,65400,63800,67200,67700,72100,71900,74100,73e3,70300,69900,71800,78e3,81400,84e3,85200,87400,89100,91300,92700,95100,96200,97700,88100,88800,91700,102400,103500,101800,100900,101800,102800,105700,104e3,105e3,100400,102500,102300,109900,114400,117500,117600,115e3,115400,116500,120700,121400,121700,121900,122300,121800,119400,119600,125800,125100,126300,125100,132900,138600,143400,145e3,146600,142400,140700,135100,141e3,145400,153900,157700,158800,159100,161900,165400,170500,
192796,Spring Valley,Nevada,5,174100,171700,166400,160900,151700,149200,146400,142300,133700,126500,124300,119500,109e3,93800,83e3,80100,77100,75700,70500,70300,69700,69e3,69e3,67700,69400,71500,69900,69600,65500,67900,65900,64500,63500,62500,63900,61600,61900,59800,59400,58400,58100,56300,54600,54900,57500,57500,58200,58600,60400,60100,59600,61200,62200,63300,62200,64700,67100,69500,69300,70600,72500,74e3,75400,77200,78400,80100,80400,84200,85600,87900,90100,89e3,90200,85900,85600,78800,82200,83200,90100,87800,88500,87400,91600,90800,91100,90600,94100,91600,92700,92100,95800,94500,93400,93900,92800,96300,97900,102500,100100,99600,97200,100400,102400,105500,107200,109100,11e4,111600,109800,113e3,115800,124300,126100,126e3,126400,128200,133500,133e3,138500,139400,142300,142700,145e3,150600,148300,151300,
268496,Southeast Los Angeles,California,6,,,,,,232700,219200,211800,199700,197600,193600,172200,153300,139300,141500,137e3,131800,127e3,128800,132100,139500,145100,154900,152600,150400,142500,142400,149e3,148e3,153800,157700,168800,169900,164900,158200,155500,160300,168700,170500,170100,167800,170200,164100,161300,156800,157900,155300,152400,152500,159600,165600,173900,168300,179300,174e3,184500,183800,189400,187300,175800,181100,184500,195400,197800,197700,213800,222700,226800,214700,214600,215600,220400,212800,218300,219300,230200,234200,240500,239600,236900,246200,246800,254900,246500,253200,253200,261900,269800,271e3,265600,265500,271800,280500,282700,281300,282400,281900,283e3,279100,277500,283e3,288100,290300,292e3,294e3,297200,3e5,304300,311900,313500,319900,317800,321500,323700,329900,334800,341e3,345800,346500,340700,342600,344900,348900,349500,351500,362300,365100
112547,Paradise Valley,Arizona,7,160700,152700,147200,149800,145700,144500,142100,137500,131500,125200,123300,116800,109500,100200,91e3,86100,85300,85300,86500,87500,86900,83200,78700,78200,77800,76e3,76200,77700,78600,75600,73300,71900,71900,69900,69600,67500,67800,64300,64700,64800,66200,65900,65900,68200,70600,72e3,72700,73500,72700,70900,71700,75500,79100,80800,82800,87200,89200,91e3,89700,91600,92200,95e3,97700,1e5,107400,111900,114e3,114600,116e3,119e3,120100,119600,122800,121200,121700,118900,119100,120900,127200,126700,126400,118100,121600,122700,127100,126200,126800,128200,122600,121400,120700,128200,129900,130700,131700,134200,136e3,136500,137800,141600,143600,145300,147200,149400,146e3,145800,144200,143200,144600,148200,155600,152500,157200,158e3,163600,163800,167100,164100,162400,158800,161800,160100,168200,173100,180500,174600,172400
111818,Deer Valley,Arizona,8,167800,166400,161200,160100,158200,15e4,142800,134300,130400,124500,120700,113400,110800,100900,97300,92400,92700,90500,86e3,84600,80700,81200,78900,80200,77700,80700,81300,87e3,83400,80400,74800,70700,69500,65600,66300,65800,68600,68600,7e4,68600,69700,68900,69300,68700,68700,67100,69e3,68500,70200,70500,75200,78600,79600,82500,86500,87900,88100,91600,97300,95900,94900,97e3,104200,109100,110600,112800,113600,116700,119800,120500,122900,122800,126700,125100,127600,125e3,127200,127400,131300,129700,129800,127900,128e3,125200,125100,125900,128200,129700,132800,134100,134600,133900,134700,137300,139200,142600,141700,145300,145e3,143500,140700,143300,146200,150200,149200,152900,153300,157500,161200,163200,163700,164700,166300,165900,162500,16e4,162200,166100,173600,175200,178300,178400,175500,172700,172500,173300,175800
267955,North Mountain,Arizona,9,,,,,,,,,,,,,,,,,,,62900,64500,68900,65900,69e3,64400,65700,62600,64e3,66300,65100,63700,59900,58600,58800,55900,56200,51500,52900,50600,52700,52e3,53100,53600,53500,53900,55600,57e3,60500,59100,61400,61500,64200,69e3,70300,71600,67500,71e3,76300,80500,82600,84800,88300,88600,89900,94e3,98900,102900,104e3,104700,111400,112e3,112300,107e3,108800,109900,110300,109900,109500,111e3,107700,105400,105400,111e3,117600,118100,118700,12e4,120700,121500,122400,122400,123200,122800,124500,125300,130900,131400,132100,128300,132200,135100,136900,137e3,137400,138100,143100,145600,148100,147700,150800,152400,151700,148500,147200,147300,149300,151800,158300,158800,165600,163400,168700,163300,163400,163900,166200,164100,158800
267908,Camelback East,Arizona,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68800,71500,73700,73e3,74400,77300,79500,80700,83300,89800,89500,90200,89800,92900,97300,95900,98e3,96400,99400,1e5,100400,101200,96e3,98100,94200,101300,100700,105600,105900,102200,99700,98e3,102200,105600,108900,112e3,110700,112e3,106700,118e3,116500,127800,124600,130600,124500,123100,123600,127300,131700,131200,130800,134600,136300,140800,137600,139700,146e3,145300,148200,144200,144700,146900,146e3,155100,153400,156400,152500,154800,159500,162300,162300,166100
273566,East Side,Texas,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82e3,82500,83500,81400,81800,80600,80400,80300,85300,83800,82200,78400,84200,85e3,83200,79100,81400,88900,91600,93700,91100,88200,88900,89500,92400,91200,93700,94400,92500,91e3,90600
272734,Alhambra,Arizona,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62800,63800,65100,67100,7e4,72500,74300,76300,77300,80300,81800,86600,89200,90100,89100,87700,89200,89400,91600,88400,9e4,93700,97900,101300,100700,105700,106100,107300,105800,107300,110300,112300,113900,109400,114300,113e3,116500,113200,102e3,105300,109300,128500,127900,127700,126600,127600,132100,131400,129900,13e4,132900,139600,141700,142500,142600,142800,144900,146900,144300,143600,138800,138100,140800,149e3,153900,155500,154500,157200,158700,161300,158900,157900
25294,Jamaica,New York,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195e3,181900,171400,180400,189600,177e3,196800,186900,187100,155100,147100,160700,173200,189100,181800,182300,176e3,163900,153e3,146200,157500,160300,164600,158400,167300,174800,179e3,170300,165300,168600,196400,197e3,205300,188400,19e4,181400,183900,177100,188400,179700,182700,178800,181100,207e3,206200,210200,209500,211600,201400,194100,186300,201700,201800,212700,216900,203600,193900,168400,178100,189500,217700,205100,203700,205300,224900,217400,200500,199300,198500,21e4,197800,207e3,189400,213900,220400,228500,204400,203100,226100,245300,253300,260300,259700,259700,236600,249500,255500
