RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
274772,Northeast Dallas,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172600,176500,170100,167500,160500,164100,163900,167800,166400,166600,171e3,173300,174e3,181800,182400,180900,172800,173900,177100,177700,177e3,175600,171500,175400,168600,173400,172300,181900,180600,178100,178100,180300,185400,185800,187300,187500,185900,185900,187700,192200,194900,196500,194300,196900,196200,202200,207800,207300,208500,211600,214600,218100,215300,231700,227700,229300,224600,232500,231600,228900,233800,239900,243800,234e3,237100,242300,257900,256200,257600,258900,260900,257200,260400,
112345,Maryvale,Arizona,2,,,,,,,,,,,,,,,,,,,146300,139900,136e3,138100,137600,140500,138800,138400,135300,128700,128300,129400,130300,124200,122600,124100,123600,122600,117700,121900,115300,117300,112200,111400,108700,107e3,114200,115600,119900,118500,120100,122200,12e4,127900,129400,133100,126800,126500,13e4,131500,135500,136400,140500,142200,145e3,150300,155900,155400,162500,164400,17e4,169300,172300,171200,171200,167400,171300,164900,166700,165e3,169e3,168e3,169500,172800,171500,171700,168200,172900,174100,178e3,176800,179800,182200,185400,185600,183800,183800,185600,191500,194500,192700,194e3,193200,199100,196800,198100,196300,195400,198900,204200,208400,209200,208500,206900,207800,207300,213900,214600,217200,216800,219300,222600,223100,225600,222400,220700,221800,225e3,228900
192689,Paradise,Nevada,3,262400,254600,252200,245800,241500,237500,231500,227100,219800,211500,202700,194400,189600,181900,178100,172400,168200,161700,154700,148e3,144600,143800,148300,144500,140400,134400,136500,137800,137900,135300,135500,134600,134700,134900,135900,132800,130200,127800,128800,128600,126700,125e3,123e3,122900,125100,124400,125500,122100,124900,126800,128300,128500,127900,126700,125700,125900,130600,134e3,138300,138200,142800,144300,15e4,149700,153900,155800,16e4,161400,163100,165500,169600,171200,171200,169700,172100,173900,174800,174700,175200,176700,178300,180900,181900,184500,184900,188600,189900,190400,190100,190500,193700,194300,198100,197900,201600,202200,2e5,199400,197600,204500,206500,209700,208900,213400,214100,215300,212800,212600,214900,217200,221e3,225e3,225200,228700,230600,234e3,237e3,242700,250300,25e4,248800,249800,257300,262400,262600,259500,
270958,Upper West Side,New York,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403300,396200,380900,381400,385700,403100,404800,413400,404400,404100,381600,380100,380700,378300,371300,367700,383800,385600,375800,371200,371500,387600,383400,371800,356200,362900,378700,393800,393100,385300,380200,358800,359400,364100,383700,396600,391200,392500,382200,386e3,382100,394400,394e3,404100,412100,412100,410500,407300,42e4,421e3,407400,404200,405800,414300,422300,410800,398800,394400,405600,41e4,412200,411700,433500,424600,434100,426100,424800,427400,422400,426400,421900,413800,407600,410400,424300,438400,437900,432800,441500,444400,463300,456500,462e3,461300,459600,465800,468e3,473e3,462600,458600,461600,475200,478400,
192820,Sunrise Manor,Nevada,5,,,,,,,,,,,,,,,,,,,146900,139400,132400,132700,127700,126300,123e3,127300,128200,130200,127500,126700,123600,121900,121700,122700,122800,122600,122700,123400,123e3,120600,119800,119300,119e3,118700,117600,115300,112200,111300,114800,116800,117300,115400,115e3,114700,116e3,119200,12e4,122100,125e3,128500,128700,129300,133100,138e3,142100,144e3,145900,144900,147200,151900,154800,156600,156200,156e3,155800,154700,156200,163800,166700,169300,164700,166600,167500,170100,168900,173900,174600,177500,175700,178500,179900,180500,177800,176500,176800,179700,183300,185900,185800,187300,187100,188e3,187400,191300,195300,198200,198700,198800,201100,203300,207100,209500,212e3,213300,217300,217100,222300,221100,226300,226200,233200,237200,240500,240700,240700,244e3,
192796,Spring Valley,Nevada,6,261500,255100,255200,246500,242300,233700,227700,221700,214300,211300,204e3,200500,194300,188e3,182600,175400,169900,162100,157300,155200,153900,153200,149900,146700,147700,148300,149700,149300,146100,142300,138100,138e3,138100,137900,136800,135400,136700,134e3,134100,131800,132e3,130600,128300,127800,127500,127e3,125900,125500,128600,129600,131e3,130100,132300,133200,133500,135400,137e3,141200,141300,143200,148300,151300,154400,152500,157400,159100,160400,159400,162200,165800,167900,168900,174600,175800,180900,179e3,181400,180200,181700,184e3,185200,186800,189600,196700,197900,201800,197600,199600,197e3,197800,199500,195900,197900,196400,205700,208900,211200,212e3,212400,213900,214100,211300,214e3,215800,221400,223400,223300,224200,228500,230900,232800,231600,234800,238700,240100,243600,245100,248900,252300,256600,264600,267900,269700,268e3,267700,27e4,
194430,East New York,New York,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377200,386100,369700,372e3,375e3,377600,389700,412200,423e3,424500,405e3,407600,397300,392700,399700,431400,433900,446300,436800,431800,444400,414500,429900,380800,422600
112547,Paradise Valley,Arizona,8,253500,248900,249100,243100,237700,231800,230200,228300,228400,220700,213400,202500,198e3,188700,183600,181400,18e4,178e3,170500,170500,165600,167500,165200,164900,161e3,159e3,158400,162900,162700,163100,154100,151200,148e3,148200,148300,147600,149e3,148200,144400,144200,141400,139200,136300,136900,140100,140200,141e3,140600,145300,145100,148600,148400,151100,156e3,160300,166200,168100,169300,167900,169200,168800,171800,179400,187e3,191400,192700,194e3,199600,202900,205100,205500,204800,207600,209800,209300,209600,209100,210400,211900,212700,213400,209700,214700,217100,221700,220300,221800,222300,222100,222400,223500,225300,226800,229600,232600,233e3,234400,234e3,238e3,238400,24e4,241400,243900,243600,243700,245800,245700,241100,243300,246200,252600,252500,255100,255600,253500,256200,261200,263200,265300,265400,268300,265900,267e3,271e3,277300,278800,275900
111818,Deer Valley,Arizona,9,23e4,230900,223700,223800,219900,218100,214500,210800,204100,199600,198e3,194700,191300,186800,185e3,180300,172e3,165700,160300,156600,153e3,152300,152100,149200,146400,145200,147e3,144500,144400,144300,146800,144900,143300,139900,139e3,136900,137800,135500,134400,133100,133500,131500,130300,128e3,130200,129700,13e4,129900,130400,133600,134800,140100,142100,144100,145600,149800,155400,154e3,153500,154500,160500,165e3,167100,168400,171100,173300,177400,177800,182100,182100,187500,187200,190800,187e3,19e4,187800,193e3,194600,195800,195800,193800,198100,2e5,202200,199500,199100,200500,204700,204700,2e5,200300,204700,210600,213200,211500,212700,212600,216500,218800,221900,223100,224500,225400,226500,228600,227300,229100,231200,233900,235e3,232600,233700,232400,233800,234700,240100,244500,244800,242300,240300,242600,249100,251900,253400,250200,248300,249500
267955,North Mountain,Arizona,10,,,,,,,,,,,,,,,,,,,154500,138600,135400,139200,144300,142800,139200,141700,142700,142700,139e3,145500,140400,131900,124700,124800,13e4,132400,133700,136100,131e3,131700,130100,126e3,120300,114600,117800,121100,129700,131200,132700,131100,130300,132900,136600,139900,138100,134300,135200,137900,145100,147e3,149800,151200,153700,157e3,159200,162100,165400,169100,170400,172e3,170200,177600,180100,184600,181100,180700,181200,182600,185400,186500,188400,190200,192500,192900,199200,200500,203600,201500,201700,201300,194100,185400,185200,193300,203900,214800,216300,219400,209800,210900,213100,218400,219700,207900,210200,211100,227700,230500,232900,229700,228e3,230400,234e3,233900,227500,219200,220600,225500,236900,243800,245400,244700,244600,253400,257100,256700,249500
273698,Far North,Texas,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174400,172800,180200,171e3,172500,174300,181100,180900,181900,180800,174200,172200,170800,172600,172900,172700,173800,171300,174500,178600,170100,168500,167e3,175700,185400,185100,188e3,183400,185600,188400,189900,207200,203400,204400,181200,191600,192100,209100,207700,216700,220100,219800,208900,208800,214800,226300,227800,230100,226300,229900,225800,237500,231700,231500,229300,240900,246800,256400,250200,252700,248200,248600,237900,
32059,Hollywood,California,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588900,59e4,611300,621900,624400,615500,616e3,609900,613500,613500,618300,588700,610300,627900,662500,679e3,673100,682400,636200,623e3,619700,647900,687800,688800,699e3,671600,681700,688600,719500,7e5,666e3,643800
267908,Camelback East,Arizona,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150200,154800,159900,164e3,163800,168200,175600,176300,178900,180800,188100,190300,195e3,198e3,203e3,214300,213200,216500,206900,208600,204700,200500,2e5,204600,206600,205900,204400,206900,214600,217100,218e3,218100,22e4,222300,220800,224700,226200,231200,228800,231200,233600,234500,230500,233100,237500,242600,239300,237100,235600,236e3,241500,244500,241400,241300,241500,247600,251800,255e3,260100,255500,260900,257e3,261300,262500,266900,268700,264800,263800,268500,272400,279500,271700
273566,East Side,Texas,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117200,118e3,121400,121200,119700,118700,117700,119400,115300,114e3,113200,113700,115500,113500,115900,116600,117500,115600,112300,112e3,113200,114900,118400,117500,121500,119300,118800,115900,114800,118200,113700,114300,113400,117500,118500,118600,119200,119800,119200,118200,117100,117100,116500,119500,119700,119300,116600,115200,119300,118200,119100,114900,116400,114900,115500,117900,117e3,116100,113400,115500,116700,117400,118100,118200,119800,119600,120700,12e4,120100,122100,121500,123400,121100,122500,122500,123500,123800,124100,124500,125300,125600,124100,124300,123700,127400,130400,132200,131900
272734,Alhambra,Arizona,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157500,142900,146e3,149600,150600,152100,152900,163400,167e3,171300,167400,170400,173200,180600,185800,183300,175300,174e3,178700,191e3,194800,196200,202e3,199900,201700,191300,194200,196300,202100,194600,197500,196200,203600,2e5,202400,204100,204900,202e3,198800,201300,205100,213600,216400,216e3,215400,218200,217800,223e3,223300,230900,229700,231200,231500,233300,232600,232800,234900,237800,241600,235800,233100,232600,236300,243500,240300,244400,242500,250700,257300,256400,254100,250600
25294,Jamaica,New York,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340800,331500,342800,322800,339500,320700,331100,314800,310600,311400,317600,325100,321600,319400,337e3,333200,343500,324900,332800,322200,334600,332900,342900,339500,338900,336800,339100,343100,342700,343800,337700,340800,339e3,354200,351100,356700,345500,347200,357e3,357700,359200,349e3,345300,346900,348e3,37e4,372800,374400,357e3,364300,368e3,382100,378400,381800,382400,406e3,409900,410900,396400,4e5,405700,401600,401600,396600,406900,406100,416e3,414400,417300,417200,416e3,417500,420900,426e3,434800,439100,441e3,436600,434200,452400,461700,479400,483400,478400,462700,452400,459100
35521,Enterprise,Nevada,17,258700,252400,246e3,239900,235400,229400,224500,217600,213e3,206500,198700,190400,184400,180700,176100,168400,160500,153300,151e3,146500,146400,143400,144600,141900,142500,142400,144e3,142e3,140500,137400,138400,135900,137500,135200,136e3,132600,131400,130800,130900,129500,127400,125100,126100,125300,126e3,123200,124500,123600,124800,124600,129100,130400,131800,127900,132e3,132700,14e4,139600,142700,143900,147800,151300,153100,155400,159e3,162200,166600,169600,171700,172400,174200,178300,180600,184800,184e3,184700,183600,185500,190200,190200,191700,190900,192600,192e3,192100,193800,197600,198300,198500,198e3,199700,202500,203100,204300,205100,207800,208300,213e3,214900,217600,215700,216100,216700,216600,219900,221e3,224600,225400,228900,230900,232500,235300,236200,239800,241300,243700,246200,248e3,254700,255600,262700,266700,272e3,271600,269900,271500,
274742,North Scottsdale,Arizona,18,267100,267e3,267100,253700,242100,231500,231400,230300,219100,204800,197700,202400,208400,204200,204800,198400,201700,194200,188300,181100,165900,154900,148300,155900,166500,162600,159700,156800,162e3,159600,155100,156400,158400,159800,153200,149100,145900,148900,156100,154500,150800,147400,152400,153900,151200,147e3,143600,143200,145600,151300,159800,162100,160700,167200,170600,174800,169800,177600,180700,184600,184500,188800,192500,192300,194200,195700,198600,197200,2e5,204900,211500,211600,207400,204600,204e3,205800,2e5,203700,213700,226700,225e3,214300,209900,211300,218600,221900,220800,222e3,221300,220500,218100,220300,221200,221500,221200,226400,227200,234900,234800,237400,233800,236300,238700,237400,239600,241800,245800,243200,244400,240900,245700,247500,249600,247800,249200,257800,257200,256e3,249100,253900,257e3,265300,274e3,275200,272900,276800,278200
275237,Roosevelt,California,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185e3,186100,184900,186800,186800,188600,190100,193300,196500,197100,198600,197800,201100,204100,207700,208700,208100,210600,211500,213600,21e4,212100,213800,217800,221e3,220100,218600,219800,222700,225700,225200,226e3,228900,228100,230800,23e4,232400,233200,239100,242300,249500,250800,248200,246300,247100,253e3,252800,251700,257200,256400,258700,252e3
267971,South Mountain,Arizona,20,,,,,,,,,,,,,,,,,165500,162900,161e3,154400,153200,148800,140800,133e3,134200,141300,142e3,138800,137500,144500,140800,134500,128600,128700,133400,132200,137700,137e3,134900,129600,130800,131500,131100,125600,127600,126800,128700,128200,131100,138500,137500,138700,138e3,142600,139300,137400,134600,142300,147400,154900,157900,160300,162100,165900,168300,177800,179900,181500,179600,178900,177700,175400,191400,194500,193200,178400,177900,180500,185700,185600,187900,189600,195200,195200,195100,194600,199700,203100,205800,205300,204100,205400,206700,208700,211900,212e3,214900,213300,215600,214100,214500,22e4,220400,223100,218500,221500,221300,225300,228e3,230900,230200,231600,234e3,235900,235900,236900,241500,243800,243800,242400,244800,243100,242600,244800,250500,256500,250600
273555,East Memphis-Colonial-Yorkshire,Tennessee,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104200,108100,104e3,106800,106100,111900,114400,112300,112900,109900,109600,111500,111800,110700,111900,111700,116200,113600,110900,113300,116500,118600,119100,118700,119500,114200,112200,110300,110600,116600,117200,116800,111100,114100,116100,116500,117200,120300,122600,121600,119800,122500,125100,125500,126700,124300,127200,126600,126800,126e3,123800,128300,128200,131e3,131200,136700,135300,136100,137500,143800,143200,143700,142800,148500
273088,Bullard,California,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158300,156e3,150600,151300,145700,148300,143900,146500,145500,146900,145600,148400,149300,152e3,149900,155300,159200,165700,166800,167800,166e3,165e3,169e3,170300,172800,174300,18e4,185900,187600,188100,188600,192800,196400,199200,196700,195300,194200,193200,193e3,192800,198100,202700,203600,201900,202200,205400,209400,21e4,209400,209400,211500,213100,212200,210400,211200,215200,219200,220800,219100,221900,227900,234500,232100,229e3,228900,228300,230500,231200,233e3,234400,236900,241400,242300,240900,244900,250400,252e3,249500,247e3,248200,249600,250500,249400,253400,251500
275501,Southwest Dallas,Texas,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157200,163700,167100,159600,166400,174100,177900,172100,172300,170900,174500,175600,179900,182700,190300,190300,188800,184100,184500,194900,203800,210800,203700,206400,203200,205900,198800,200600,199100,204800,206700,206100,208100,213800,218300,209e3,213200,223200,240900,243200,245300,235900,
276652,West San Jose,California,24,768e3,758600,756400,726200,698300,713600,716e3,741900,722200,733300,719300,688100,653900,637900,644200,657e3,642100,637600,631500,651200,665200,672200,635700,633200,625300,660300,66e4,669300,651e3,660400,648300,655500,661600,646900,647200,619200,616500,617900,616100,625500,584700,589600,604100,638e3,642900,641600,626800,623800,603600,612300,610300,652400,658800,664800,659100,688400,710400,737800,714e3,717200,717700,742300,759300,781300,808800,829400,817800,811900,815e3,819400,838500,841700,849700,847e3,862900,876900,873400,879700,875100,885200,893600,906200,943700,959800,967900,973400,970300,988500,1006600,1022e3,1054600,1067900,1077e3,1071600,1058600,1021700,1034e3,1021600,1069700,1046600,1052900,1040600,1061700,1087e3,1100600,1127900,1126700,1150400,1139600,1191800,1193400,1212100,1132600,1146700,1188300,1298500,1382100,1402600,1411100,1413600,1354e3,1349400,1314e3,1384900,1361600,1385200,1403800
271503,Northeast,Texas,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112100,113200,113e3,112600,112300,113300,115800,115600,115e3,115200,115100,116600,118700,119500,119600,119300,119400,119800,119e3,123600,125300,121200,118600,118100,124e3,124900,126500,126400,128100,129600,126700,124800
275454,South Scottsdale,Arizona,26,247700,250300,248700,240900,234e3,224700,224800,221300,218e3,215700,215200,213800,207400,196500,188600,184400,181900,177200,173300,170500,170800,166100,163500,164400,165300,166e3,160800,156500,156400,157e3,154200,147100,140500,145600,151e3,155300,149700,146600,146900,145300,142e3,14e4,14e4,142400,143500,147500,145e3,147600,147700,156e3,156200,157100,159600,162400,165300,166700,165200,172200,169800,176400,176500,184700,187800,191300,195e3,197500,199300,200200,202200,204100,206900,208900,210300,211500,211700,214400,215900,216200,216900,217400,219800,219700,219700,226800,229e3,231400,225600,226e3,226100,231100,231900,231100,230700,235800,240300,245800,246e3,247100,243900,242700,240800,240300,242700,247100,248400,255e3,256600,259500,26e4,260600,263500,260400,262800,264500,264900,267700,265200,271100,27e4,279500,277100,278900,274300,277800,280900,283400,280600
276215,Blossom Valley,California,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781200,797500,800300,811900,807300,815800,816300,843100,844600,843900,829400,829700,832200,827900,829500,841900,858600,863900,874100,873300,896600,913e3,936400,932400,927400,918500,918400,928100,949600,987200,1003900,1040100,1054800,1102600,1123500,1147100,1142700,1128300,1128700,
118987,Willow Glen,California,28,762900,758500,719200,729200,716600,722400,702700,702800,669900,678500,656400,663400,654600,634300,624900,605400,616700,620300,608700,587600,591900,623200,621300,631500,624800,642700,634400,634500,622700,631200,619200,654700,637100,654900,634300,647900,623200,603900,593500,592900,618400,614e3,625300,608100,597500,584400,594700,613400,606900,601700,602200,612500,636400,645700,671600,666500,675500,680300,702400,705500,699800,707100,715300,744100,755300,769800,772300,769300,766100,763700,756300,772100,796100,816300,807e3,788100,791e3,799100,821500,831200,858600,862900,859600,856100,881800,909900,931900,927e3,927300,944800,953800,951600,928200,967200,995900,1039800,990500,981500,956600,989900,991e3,981900,961400,993500,1030600,1057300,1066300,1063600,1081100,1068900,1101800,1103200,1134300,1141900,1174700,1185e3,1211100,1246500,1267e3,1312900,1324800,1344800,1321800,1318e3,1331200,1333400,
275467,Southeast,Texas,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158100,159900,160500,164900,164900,168100,166700,168600,166900,169800,169900,170100,172500,174600,178200,179800,183500,185300,188100,189700,191100,191800,199400,204900,207700,202500,201100,201100,201700,203500,205300,211500,210700,211200,209700,211400,218200,222100,227600,231200,233300,230800
271511,Northwest,Texas,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127600,128300,130200,128200,128200,128400,130600,128100,128300,129500,134400,134300,133e3,135100,135100,134400,132e3,135400,136200,136800,137300,136900,138200,134200,135800,133600,134500,133100,136600,139700,143200,139300
276659,White Haven-Coro Lake,Tennessee,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85900,84200,82700,83700,83400,83100,83200,83800,82800,82400,83e3,82900,84500,86e3,87700,90200,91100,92900,90700,90300,91500,92800,91e3,90700,88e3,89900,96700,96600,95900,86600,91100,90800,92700,91300,91100,90200,92700,92400,98100,95400,97200,96e3,96e3,98200,97800,98300,99e3,99600,102100,102e3,104600,100300,101100,98500,99300,98600,98200,102900,104200,109600,115700,120900,118800
273480,Downtown,California,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725900,729700,719e3,726200,694100,727e3,719600,773300,759400,812900,813700,824700,771e3,786200,800300,833900,835e3,829900,845700,847300,867e3,864700,874500,871100,876e3,875300,875600,875900,884600,932100,932900,922e3,88e4,879100,896400,907500,914e3,911e3,908300,938300,929800,972800,991600,1055600,1067200,1111700,1167100,1206800,1184600,1176700,1152100,1216300,
269592,Logan Square,Illinois,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198800,202e3,211900,216200,216700,218200,215800,219100,210800,213400,21e4,218700,214100,214200,214900,219900,215100,209600,215200,225100,238400,219e3,222400,220600,237100,237700,231900,229600,208500,214100,224100,239e3,238300,231600,238600,244e3,252400,249200,243600,234900,235800,242600,250500,249800,247300,239800,253700,259400,267200,264e3,256400,250200
275090,Preston Hollow,Texas,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191500,182900,189600,165900,175200,174400,180700,183700,182500,188200,181100,185400,194800,207e3,214700,204100,207700,214500,227600,223100,216200,218900,228300,234800,23e4,231800,226200,232900,230800,220500,22e4,225400,232200,231400,224900,234900,265300,287300,291200,268400,256300,258500,253500,257400,
273652,Estrella,Arizona,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151300,154800,157800,163100,163700,164500,164500,165500,166600,167900,167900,166e3,166400,167500,169400,169900,172300,172700,177600,178600,181400,178500,176300,177100,177e3,179900,179600,181e3,181900,184e3,186600,187e3,188600,190800,195e3,196800,198900,200400,202200,202200,202200,203900,205500,208200,208500,209800,211700,213200,216e3,214900,217100,217500,221500,221800,222300,220900,224200,226900,229300,231900,231700,234e3,230900
41131,Sun Valley,California,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360900,358300,362500,357700,357800,354700,355400,348800,350200,341900,345300,348e3,355300,363600,364400,363100,365e3,366100,367600,353900,365300,366500,396400,397700,415400,421600,426e3,437700,439500,439800,437700,427500,434200,434100,450500,454500,456e3,446300,443400,440600,449100,453600,475700,463900,468800,477300,486e3,490500,481700,499e3,505600,502400,506200,508900,502700,504100,529900,548600,546e3,517100,513700,522200,531700,538100,540600,543400,543600,549700,570500,568500,571200,560700,569900,572900,571300,577300,578800,589300,587800,580300,591200,595500,606800,603600,622500,639800,637900,619400,605800
33183,Northridge,California,37,540400,546500,538400,517100,498700,494200,483400,464700,459700,477200,491100,464300,451e3,448700,457100,450800,434200,433900,432900,431700,424500,428e3,434200,448100,453900,441600,444700,437700,441600,440300,438500,437e3,416700,424e3,420400,426600,410600,419100,421e3,412300,419100,409200,423400,410200,418300,402200,404800,393200,402100,394400,401900,405300,408700,416600,411500,421200,424e3,442600,433200,431900,430600,446300,451800,451e3,447600,484800,498600,516900,499800,5e5,504500,508100,513200,510900,520100,532700,540600,538200,53e4,528e3,529800,544100,549e3,557400,555400,554500,546800,549800,565400,575700,586600,587800,571e3,585100,599100,615200,610700,607400,628900,628800,636e3,631200,636800,632100,626500,618200,618200,626800,639600,650800,651300,660700,654600,663e3,648700,645600,641400,659500,656800,662e3,663e3,691500,688400,667400,669300,698600,723800
15046,Alafaya,Florida,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177800,171100,172300,167700,171300,171800,176900,176400,177400,181100,184e3,185600,188e3,191e3,193500,189900,191200,192700,195900,196900,197600,199900,202e3,202500,204600,203500,206e3,209e3,214e3,217500,218900,219800,223900,224500,226600,226500,226600,228400,227200,226800,231100,237700,244600,241900,241700,241400,248200,247100,248200,241300
267900,Ahwatukee Foothills,Arizona,39,,,,,,,,,,,,,,,,,,,,,,,,,,,175900,172e3,162800,164500,164400,162300,159400,157900,160900,157900,154500,15e4,147e3,146700,150300,149700,146e3,145700,144900,147400,149300,152e3,154200,153500,157300,161300,163e3,168200,173400,176400,175500,173100,174300,175700,182200,187300,191600,191400,198200,200600,207300,205800,209700,209100,213e3,213900,214200,214500,213500,216800,222500,229500,225500,225600,226500,233200,231600,231500,23e4,229100,226700,228300,229700,232100,233400,235200,236600,237600,243700,249400,251100,248200,246600,245500,244100,246100,247500,247100,244200,245100,248300,250900,257700,259800,262800,260900,262300,259100,256100,254700,256300,258600,268600,273100,278900,277400,282700,285800,286800,279300,273300
34213,Sylmar,California,40,,,,,,455900,452600,443700,435400,432700,418e3,411100,391200,397600,388600,387300,383300,373700,372500,367500,367300,373300,368600,380600,370600,376800,373900,372400,380100,369600,376700,366200,367e3,367e3,366900,377800,375e3,369700,356600,354e3,362200,356e3,359e3,347600,350300,347800,348e3,351500,336600,339e3,337600,345100,350400,351500,362300,361200,356800,357600,356e3,368600,370600,382700,387100,392900,397400,408300,414800,420500,426e3,430300,432400,434e3,422500,419900,425600,442100,449e3,469500,478900,482300,461600,467300,478300,484700,485100,485600,474800,476e3,471600,484400,482200,485300,494200,499600,507700,515700,519600,521900,517400,517e3,522400,531100,535800,537300,535800,534800,53e4,530800,535900,539600,545500,555e3,586e3,583100,584800,561e3,557200,558300,571e3,597500,597900,599500,595600,598800,615200,620100,618800
