RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
274772,Northeast Dallas,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253900,261100,264700,245e3,247700,255700,259200,258100,245600,256900,258700,262300,269600,268500,267500,266100,269500,268900,262500,259600,268200,273e3,274400,269200,277200,281500,289200,273900,277e3,273300,293700,294400,297e3,299500,303800,307e3,3e5,304200,296600,280800,276200,298700,325300,327200,313200,317e3,317e3,325300,321500,320700,321100,324700,331e3,331200,332100,342600,351700,355500,354200,338300,340500,333800,351300,321700,326700,326700,344900,349900,344e3,356500,360100,362500,369e3,
112345,Maryvale,Arizona,2,,,,,,,,,,,,,,,,,,,48300,51300,56600,56300,56500,54100,52300,52100,50600,52700,51e3,48e3,45500,42800,42200,39900,41700,41600,41900,40500,39400,40300,40400,41900,43300,45100,45700,45300,47100,49300,52200,54300,61700,65200,66900,66500,69100,74500,74500,76e3,84800,88100,86400,78e3,82e3,87800,89900,98600,100300,104300,97300,98e3,97200,95300,96700,99600,101500,102600,102900,105900,105600,106100,106400,114800,113400,115700,112200,116300,118200,119600,122400,122700,123300,122200,122400,124400,128400,139900,140800,141900,136200,137600,140600,141e3,145200,146400,149200,149300,151100,152900,153700,154800,153100,153900,152300,154400,157900,161500,161700,161600,165600,169300,17e4,170200,170700,173800,174700,175900,179e3
192689,Paradise,Nevada,3,271600,285500,287800,256200,229400,212700,202200,190500,181200,168500,165400,149600,138100,126700,121800,112900,113100,112800,114900,112700,115e3,118e3,118500,118200,116200,116100,116700,116100,117300,113700,111700,105300,106e3,105500,107100,107600,105e3,107e3,101400,103200,98300,99700,96400,98500,100100,101100,103700,101900,105500,101600,104900,106600,114900,113e3,115600,112800,123100,127e3,132600,134e3,134400,138e3,139e3,142e3,143900,145100,147400,148400,151800,153900,156600,157e3,157200,154500,155400,147600,153200,165400,173700,173200,163e3,167400,169500,170800,173200,175e3,175800,168800,168300,171e3,180700,181700,184500,181100,181300,181200,178600,182100,182e3,186700,185500,187600,188900,193e3,191e3,192300,193500,196100,198900,197900,202800,205700,208e3,207400,211800,215100,22e4,222800,230400,232900,231900,230200,234300,241500,244100,244500,
270958,Upper West Side,New York,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036700,1011900,928900,998100,1034100,1026500,916100,904900,932600,1005600,1079300,1130200,1072500,931700,848900,874500,951900,946400,926200,973800,999e3,997400,890400,1034700,1057100,1125700,922e3,925300,897900,965800,962600,899400,908500,925100,997700,1011700,1102200,1137300,1096500,1009400,1042400,1107300,1102700,1066400,1088500,1092800,1099300,1074700,1061900,1017300,1054600,1100900,1144500,1074200,1108500,1149100,1227e3,1195200,1241800,1464e3,1524900,1504900,1275600,1266700,1156500,1141700,1098400,1157900,1121200,1148e3,1126700,1313200,1266700,1259300,1133200,1115700,1153200,1163100,1195700,1199900,1163e3,1118300,1093800,1187400,1310600,1322900,1197e3,1115200,1189900,1213400,1193800,1124300,1297800,1300400
118208,South Los Angeles,California,5,,,,,,288700,268900,264e3,245300,231500,219400,212100,212600,197800,185900,175700,179900,184800,183500,179500,184100,191900,197700,198300,196500,194700,199800,207500,202600,201600,203e3,211800,205500,196600,202100,215400,220200,207900,200400,201400,207200,203300,198100,198300,194100,193200,191200,197400,201500,200600,200600,200700,201400,206500,205400,210200,212600,217400,223e3,220500,225300,228e3,235100,237e3,241500,242900,251900,256300,266500,270400,273e3,278800,279900,284900,286600,291e3,288100,288100,291100,294900,295900,294400,300900,301900,307e3,314300,317200,314400,309800,309200,313800,320100,326500,33e4,329300,339400,345e3,348900,345800,354400,362600,371100,368100,368700,365600,374500,377200,381800,384900,388100,394200,409100,418700,429300,421100,424400,424400,439100,455800,465400,472500,460900,469500,475600,477700,481600,468600
192820,Sunrise Manor,Nevada,6,,,,,,,,,,,,,,,,,,,73200,76e3,74500,83400,86700,90100,83600,83300,83400,83900,82e3,81600,79600,76700,73300,70900,72100,73e3,74100,72700,72e3,72e3,68500,67400,65900,68e3,67800,65700,65500,65900,70600,70500,73600,74800,78500,78800,80700,82100,84400,86e3,90300,96e3,99e3,97800,96200,98700,103200,108100,110400,111e3,111300,111e3,112900,114200,118400,117900,118600,112400,113700,115600,121600,125800,128e3,130700,131500,131900,132e3,133900,135400,136200,140500,140600,141300,137300,133300,134900,159200,164800,166300,153300,156e3,156400,148300,149500,150500,151600,146400,147200,149200,159100,163700,166400,166700,168100,171500,173100,171600,170800,168900,175900,181500,190800,193900,194900,199900,210900,215100,212800,
192796,Spring Valley,Nevada,7,234400,228100,224300,221800,214700,213900,199e3,195800,186200,184400,178200,171900,165700,150800,137700,129800,127600,125600,120800,124100,126200,127200,127200,127600,132300,132900,132e3,133800,127200,125700,118e3,120400,119600,117900,116200,117e3,117300,113800,112900,115600,115400,111300,106e3,107900,109400,109600,109700,109800,118200,117400,120600,121200,126600,130100,127400,131400,134600,14e4,143700,145100,152900,153800,154600,152400,155e3,159700,162300,164900,166900,165800,167700,170600,173e3,175e3,176900,176900,172300,170700,171e3,182800,183200,189700,183900,187300,187200,189200,188600,187700,187700,189500,191400,190800,191500,192300,193500,203100,225e3,228200,221300,202500,207900,208e3,209400,208100,226200,227400,228200,211800,213200,213100,218100,224200,227200,235600,237900,243800,242300,245300,252700,254800,266800,267800,27e4,263e3,260900,263400,
268496,Southeast Los Angeles,California,8,,,,,,237e3,219400,212500,201900,199600,193300,170300,151900,138900,142400,138e3,133200,127400,129e3,132100,140600,145900,154600,151700,149900,143e3,143e3,149600,149e3,154100,157700,168700,171100,165900,158e3,153800,159e3,168400,172500,172200,171e3,171200,164800,161200,157900,158800,155e3,150800,151200,159200,166e3,174300,17e4,181800,176300,186600,187800,193200,188800,173900,179600,184100,195800,198200,198800,214300,223600,227400,216900,216e3,219100,222100,214800,217800,220500,231500,236300,241200,239800,236700,248800,249e3,255200,243800,251200,255400,265400,274100,274800,268900,268400,273100,284300,287100,284600,285100,285900,289300,283700,282e3,286800,291600,296e3,299900,304500,307200,311800,319100,324200,321300,325200,326600,332600,340100,345100,353200,362e3,368300,365300,347700,350400,354e3,360900,361100,362400,379500,377600
194430,East New York,New York,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,220100,224200,242900,252100,238200,220700,2e5,222200,238300,251500,244900,246100,259300,257800,238600,232200,216300,221900,212100,244e3,268600,265500,236900,217800,210300,208800,222300,231500,243100,229700,217800,218400,228e3,247600,256400,262900,273300,281300,254800,264900,289700,323400,311100,290700,274700,283600,289400,272100,271400,278500,302600,296700,279600,279300,277300,277200,276200,253400,253500,248100,268800,285100,297100,303700,289100,289700,313700,336600,361600,350400,319700,309500,296100,316900,314800,324600,340700,343700,349600,360100,359600,364100,370500,377500,391200,363200,373200,351500,342700,329800,363300,403600,414400,413100,379100,359900,341800,365300,371100,400800
112547,Paradise Valley,Arizona,10,274600,264300,271100,271600,267300,252800,246400,234100,246600,240700,234400,203500,181100,167100,166400,171400,174100,173200,169300,164900,169100,172900,177200,163e3,156800,153600,163100,169400,170800,163900,151800,148e3,144700,149200,150400,151300,142500,140200,134400,140700,14e4,143700,141900,138900,145200,148500,158700,162600,170900,177800,186600,195100,205200,208600,210900,206700,207300,211500,214400,219800,211900,213400,225200,247800,264e3,256600,248500,241100,244500,247300,264200,254700,251300,235e3,240600,246200,248e3,249500,244700,241800,246e3,246800,262400,264300,268400,255900,257300,259900,254500,256900,255500,262500,283500,282600,291500,268100,290400,283600,291900,272500,275400,276e3,282500,283600,282600,285800,285700,291e3,291700,298e3,294700,291200,292500,295400,296600,293800,293e3,296300,299400,293600,291900,297800,310600,316800,315900,312500,304800
