,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
2,270958,Upper West Side,New York,NY,New York-Newark-Jersey City,New York,3,12.07,11.52,10.42,10.61,13.38,15.67,20.3,22.85,24.37,26.19,28.14,28.38,29.86,30.76,30.55,31.23,30.04,29.23,28.56,28.38,28.36,26.34,21.61,22.8,28.94,37.04,34.55,29.97,28.15,24.48,29.22,26.61,21.9,18.74,16.74,15.35,16.59,16.47,19.53,21.92,30.33,31.79,36.19,29.09,28.29,32.6,35.43,38.05,32.36,36.24,38.25,40.59,45.65,50.0,54.56,60.1,64.96,69.04,74.03,77.37
4,270957,Upper East Side,New York,NY,New York-Newark-Jersey City,New York,5,13.39,12.4,11.12,10.93,12.46,14.02,21.16,24.54,26.45,28.13,29.82,30.36,31.05,30.93,30.91,31.32,31.29,31.47,30.44,29.23,27.07,25.81,22.64,22.23,26.68,32.37,33.53,31.6,31.11,27.18,28.63,25.45,21.25,17.45,16.01,16.35,19.39,20.1,22.32,25.3,31.73,31.34,34.5,23.66,22.15,25.66,28.8,31.65,30.1,33.59,35.54,38.74,42.29,47.53,52.66,59.62,66.06,72.05,76.92,77.79
8,194430,East New York,New York,NY,New York-Newark-Jersey City,Kings,9,37.18,33.84,30.88,27.48,24.52,20.31,14.4,13.99,15.46,15.5,18.26,19.01,21.97,25.16,27.54,31.0,31.72,31.4,30.6,29.79,32.31,28.46,24.07,22.21,25.47,25.71,13.83,14.94,20.04,19.32,23.87,15.86,21.88,18.39,20.05,20.52,22.21,19.81,17.29,12.77,7.38,3.46,2.72,2.88,3.31,4.27,6.4,6.85,7.31,8.32,11.61,13.17,22.14,29.02,35.88,38.09,36.23,26.96,27.82,39.68
10,198687,Washington Heights,New York,NY,New York-Newark-Jersey City,New York,11,14.79,14.09,14.09,13.83,15.59,15.69,19.39,23.2,25.37,27.0,27.41,27.67,28.02,28.56,29.47,33.04,30.92,28.74,27.89,27.92,24.27,25.49,20.29,18.9,20.08,21.86,18.23,16.26,15.67,11.8,8.0,15.85,15.54,17.54,15.23,16.59,18.59,16.69,18.11,20.06,23.81,21.79,22.55,16.14,10.87,11.89,12.75,16.1,12.86,12.72,14.4,15.73,15.04,15.37,18.67,31.2,46.62,58.58,57.3,55.63
13,272816,Astoria,New York,NY,New York-Newark-Jersey City,Queens,14,9.12,10.96,12.97,12.36,12.27,10.41,18.04,20.01,22.74,26.82,26.32,26.51,26.96,27.24,27.31,29.73,30.17,30.83,25.54,25.38,24.58,25.99,30.97,32.44,34.87,37.72,20.58,18.88,18.74,17.74,21.3,8.94,7.0,6.33,3.68,6.17,3.76,4.06,3.36,3.26,3.67,1.47,3.24,4.42,5.37,7.76,6.12,6.47,4.89,6.24,8.28,7.83,12.79,20.92,22.86,27.37,23.84,22.88,31.45,33.49
15,272902,Bedford Stuyvesant,New York,NY,New York-Newark-Jersey City,Kings,16,4.59,5.27,6.29,8.14,8.6,9.59,6.06,8.22,8.5,10.39,10.97,10.08,11.49,12.3,12.76,11.23,10.01,9.69,11.51,12.99,14.85,18.84,19.98,22.49,26.63,30.89,23.76,25.2,28.71,24.71,20.75,6.96,7.74,7.71,8.29,8.83,10.25,11.87,11.63,15.19,17.76,18.88,18.5,20.01,20.21,29.27,30.86,31.99,29.4,31.3,31.55,29.6,32.44,33.76,37.01,41.13,34.97,29.21,34.68,62.56
16,199001,Williamsburg,New York,NY,New York-Newark-Jersey City,Kings,17,5.35,6.74,8.15,10.28,10.42,8.99,4.5,5.76,6.87,9.57,11.86,12.07,13.85,15.63,17.89,20.5,21.49,20.42,18.08,18.92,18.95,23.48,25.35,28.35,32.62,33.84,26.81,29.67,33.94,33.66,34.76,28.27,28.43,24.08,21.89,18.78,19.9,20.48,21.55,26.47,28.24,27.39,28.04,29.89,29.71,33.19,33.77,33.12,28.7,32.38,33.63,31.14,34.69,32.3,35.54,35.13,36.6,34.39,44.99,60.71
19,194737,Flatbush,New York,NY,New York-Newark-Jersey City,Kings,20,12.5,12.53,14.26,14.9,15.03,14.25,12.11,14.33,14.68,16.47,18.36,18.52,19.4,19.94,18.51,18.25,18.29,18.17,16.52,17.48,19.43,17.18,17.89,20.1,24.12,23.71,17.44,20.93,26.0,26.89,28.34,25.53,25.09,23.55,23.2,20.67,22.1,20.63,14.88,14.03,11.11,12.06,12.75,14.7,12.93,16.78,19.47,20.19,17.36,18.94,20.08,18.57,18.69,19.77,22.78,23.26,24.98,21.46,20.88,24.19
22,403222,Crown Heights,New York,NY,New York-Newark-Jersey City,Kings,23,7.86,9.7,10.54,10.73,9.66,7.94,3.18,3.94,5.74,7.2,6.86,7.85,7.97,8.37,9.24,9.51,7.85,6.84,4.22,4.98,6.69,5.77,6.09,8.52,16.31,21.89,17.01,16.83,18.05,20.8,22.37,6.92,7.49,8.39,9.03,7.6,8.95,10.9,12.37,15.58,22.68,26.58,25.85,19.65,19.11,23.25,23.65,25.05,23.85,34.15,42.26,42.07,41.92,42.24,48.07,47.88,42.34,35.21,43.48,62.27
23,25294,Jamaica,New York,NY,New York-Newark-Jersey City,Queens,24,17.76,16.6,15.35,13.1,12.06,11.71,8.95,11.05,11.94,11.89,11.48,12.23,11.66,12.54,14.27,16.47,16.99,18.27,13.67,7.34,5.83,6.19,6.43,6.78,9.62,13.07,14.5,13.15,11.66,10.19,10.62,2.11,2.26,4.25,2.07,1.39,1.51,1.29,1.65,3.02,3.26,2.68,3.14,3.46,4.69,8.75,7.04,9.56,8.49,7.35,9.29,9.29,8.83,12.72,12.12,10.27,7.28,5.77,7.43,21.05
25,343222,Williamsbridge,New York,NY,New York-Newark-Jersey City,Bronx,26,23.56,21.94,23.23,22.72,22.04,22.19,21.68,25.43,32.57,33.81,30.76,30.76,31.0,28.86,27.54,26.72,20.21,14.25,6.59,5.18,4.19,6.44,10.4,16.27,22.62,28.38,29.98,26.69,22.76,19.7,18.34,11.34,8.13,4.65,2.5,1.93,1.97,2.12,2.54,3.95,5.46,5.19,9.03,7.7,7.17,7.06,8.17,6.91,4.41,6.73,5.86,7.23,15.63,13.26,14.21,13.52,13.86,16.55,9.95,18.41
26,270828,East Harlem,New York,NY,New York-Newark-Jersey City,New York,27,14.86,13.1,15.99,16.31,15.39,17.34,15.46,17.66,17.41,18.11,19.29,20.88,20.84,21.51,20.86,19.61,18.2,18.29,20.17,23.01,28.18,25.58,21.75,21.79,28.31,33.03,22.67,19.3,14.44,9.75,10.43,16.18,13.55,10.38,9.37,9.5,10.85,12.34,13.41,15.51,15.88,19.09,18.07,12.65,16.5,19.97,23.68,26.35,20.67,25.59,29.53,35.3,35.51,40.75,44.49,47.25,55.22,61.7,62.44,68.19
31,193587,Bushwick,New York,NY,New York-Newark-Jersey City,Kings,32,8.0,7.29,7.54,9.35,12.35,11.75,6.66,7.02,7.99,8.72,14.29,17.8,18.33,16.48,15.41,12.42,8.45,7.22,5.31,5.77,9.98,13.06,15.38,16.22,17.96,19.46,7.75,8.67,13.76,14.8,15.14,12.63,20.23,20.58,17.08,15.91,9.07,7.79,8.87,8.63,10.53,10.53,11.72,14.79,20.12,20.95,25.33,26.15,24.56,23.32,25.12,26.62,34.98,40.75,42.71,50.82,57.98,56.27,61.01,72.6
32,194379,East Flatbush,New York,NY,New York-Newark-Jersey City,Kings,33,21.4,21.32,22.04,20.75,20.37,19.3,15.48,14.4,16.37,16.84,20.34,24.65,28.68,29.73,28.75,29.57,27.37,25.33,24.42,24.58,27.76,26.27,19.4,15.1,16.66,15.83,9.12,12.61,16.04,17.44,17.35,5.73,5.97,4.92,3.93,3.76,4.45,5.22,5.06,4.58,3.59,3.14,3.25,3.86,3.53,3.77,4.51,4.8,5.17,6.71,12.68,14.01,14.91,19.25,20.5,17.52,13.4,12.33,12.99,25.14
33,10957,Corona,New York,NY,New York-Newark-Jersey City,Queens,34,16.11,16.56,17.88,16.24,13.74,11.93,14.19,19.27,20.58,21.24,19.6,18.86,16.25,15.39,15.82,16.31,17.97,18.99,15.3,15.38,15.17,16.97,24.63,25.65,25.9,24.47,25.21,20.15,23.05,20.23,18.92,7.73,8.04,8.27,6.14,3.98,3.17,2.52,2.36,3.02,2.52,1.74,3.6,3.33,3.64,5.5,5.15,5.0,3.68,3.95,4.3,4.69,6.62,10.26,12.7,11.15,10.91,10.6,13.47,16.22
35,270945,Sunset Park,New York,NY,New York-Newark-Jersey City,Kings,36,19.28,19.69,22.28,22.56,23.38,22.62,14.17,12.73,12.87,12.53,12.59,15.74,17.93,18.32,16.4,16.79,16.47,16.38,16.71,17.63,22.08,22.83,24.2,21.23,19.15,19.31,14.06,17.09,23.03,25.76,25.15,15.63,13.57,15.69,15.69,13.69,14.19,13.77,13.4,16.98,13.05,13.29,11.29,12.08,10.68,11.29,13.06,15.61,13.18,16.72,19.62,15.13,21.45,34.33,37.0,33.84,36.57,32.87,26.85,24.36
38,193406,Borough Park,New York,NY,New York-Newark-Jersey City,Kings,39,32.87,34.32,34.78,32.12,29.33,24.24,10.9,8.4,7.78,5.61,5.48,5.84,6.86,7.41,7.84,7.3,7.59,8.21,12.76,22.23,35.62,39.05,38.64,36.98,34.75,33.88,19.24,20.95,25.92,29.13,31.52,11.94,9.14,13.4,12.81,11.94,12.28,9.26,6.19,5.88,4.57,3.55,3.95,8.22,10.96,10.92,17.83,17.99,15.41,18.43,23.97,26.86,23.9,21.44,24.0,22.04,25.61,19.55,15.03,22.28
39,193285,Bensonhurst,New York,NY,New York-Newark-Jersey City,Kings,40,15.02,15.05,15.87,14.96,15.93,18.2,14.87,15.4,14.07,15.26,15.26,14.75,14.86,15.79,15.4,15.26,15.8,14.84,14.67,17.56,23.91,22.34,21.43,25.48,31.02,30.82,17.15,18.35,20.93,19.5,22.14,7.44,8.1,8.82,9.14,8.62,8.56,7.76,6.93,7.6,7.03,5.7,4.7,4.41,4.58,4.59,4.3,5.08,5.25,5.8,9.81,12.26,23.05,28.41,28.81,27.63,24.92,24.47,22.01,27.75
41,403223,Elmhurst,New York,NY,New York-Newark-Jersey City,Queens,42,13.09,13.0,14.87,15.09,13.89,13.04,18.2,22.2,26.14,28.12,28.54,28.03,27.62,29.33,30.01,30.84,29.71,31.22,29.69,29.98,29.83,27.48,32.46,36.14,46.5,46.17,39.83,39.44,31.55,31.6,29.98,15.7,15.17,13.63,12.33,9.65,9.35,8.7,6.48,5.51,5.83,2.18,3.14,2.52,2.4,2.77,2.86,3.2,2.55,2.47,3.03,3.72,5.71,13.1,16.74,16.73,13.78,10.46,11.91,14.23
48,403131,Sheepshead Bay,New York,NY,New York-Newark-Jersey City,Kings,49,19.13,18.69,19.09,19.09,19.18,18.86,23.55,28.38,30.65,32.79,35.56,38.37,41.57,42.68,41.57,42.67,43.95,44.15,43.75,41.36,40.26,35.48,29.95,28.48,30.61,28.56,23.78,24.58,28.29,28.94,29.8,14.37,15.21,13.51,13.16,11.78,13.86,14.99,13.58,13.92,13.83,11.38,10.26,7.13,6.78,6.48,5.96,6.78,7.42,9.16,10.66,9.47,12.08,12.66,14.72,16.88,14.38,12.14,14.58,22.38
49,343217,South Bronx,New York,NY,New York-Newark-Jersey City,Bronx,50,41.0,37.15,32.26,29.82,26.09,24.81,25.61,32.69,34.36,34.49,33.72,29.99,28.21,24.02,24.02,23.28,22.75,24.84,24.63,26.48,25.93,19.58,16.5,18.23,29.19,28.24,38.04,36.56,34.85,28.47,16.32,6.03,5.91,3.2,1.23,0.86,2.83,2.22,1.48,2.47,4.7,6.18,6.55,4.94,5.56,12.36,11.5,10.38,8.28,6.8,8.52,6.67,14.07,18.77,22.35,24.07,25.68,27.78,22.35,23.09
50,343205,Soundview,New York,NY,New York-Newark-Jersey City,Bronx,51,35.8,44.48,53.47,58.36,62.78,63.72,60.35,56.71,52.76,52.13,53.08,49.76,45.11,33.91,29.65,20.88,18.8,15.72,9.05,5.5,24.75,5.13,28.61,34.35,37.78,43.9,49.57,49.21,48.0,46.17,39.98,4.26,3.77,3.28,8.52,10.34,13.14,4.38,2.07,1.7,1.7,0.97,2.92,4.26,2.07,2.19,4.01,2.55,1.7,5.59,5.71,5.59,7.17,7.78,6.93,9.96,17.38,22.24,40.1,55.04
53,193640,Canarsie,New York,NY,New York-Newark-Jersey City,Kings,54,22.79,23.46,21.53,20.66,20.92,20.12,21.61,24.42,26.78,28.75,37.89,47.85,53.55,54.93,59.47,63.17,59.11,56.61,52.4,47.47,47.82,44.13,33.97,22.94,20.96,19.01,12.5,11.62,16.25,17.81,20.51,15.33,14.83,14.44,15.46,18.4,20.64,22.36,21.17,23.69,23.67,15.88,11.48,15.59,14.81,17.16,18.09,17.32,12.45,15.26,14.11,12.03,16.06,21.04,21.71,21.89,20.3,22.25,17.1,20.28
59,270875,Lower East Side,New York,NY,New York-Newark-Jersey City,New York,60,6.36,6.07,7.22,7.59,10.11,10.23,11.22,14.54,15.98,15.81,17.61,18.13,18.65,21.11,22.1,23.75,22.15,21.65,25.82,25.05,23.63,19.93,19.3,19.05,20.88,25.43,20.23,15.89,22.76,17.66,22.26,23.91,24.86,25.41,12.89,10.54,11.94,11.27,10.02,11.74,13.89,12.22,15.44,14.17,15.07,15.67,19.65,21.94,15.09,16.74,17.92,18.86,21.08,26.68,33.33,53.58,55.18,59.08,68.12,72.45
