,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
2,270958,Upper West Side,New York,NY,New York-Newark-Jersey City,New York,3,86.02,87.0,88.02,87.79,84.77,82.23,77.32,74.74,73.19,71.31,69.17,68.78,67.13,66.15,66.55,65.71,66.94,67.91,68.36,67.9,67.63,69.76,75.33,73.63,67.33,59.4,60.08,66.42,68.14,72.44,67.08,67.99,72.8,76.95,80.15,80.88,78.25,78.31,74.4,71.59,63.04,61.45,57.99,64.96,66.25,62.01,59.05,56.41,62.12,58.29,55.78,53.87,49.07,44.92,40.05,35.26,30.59,26.63,21.03,18.68
4,270957,Upper East Side,New York,NY,New York-Newark-Jersey City,New York,5,84.99,85.92,87.18,87.41,85.48,83.63,76.23,73.17,71.09,69.34,67.67,66.99,65.97,65.85,66.05,65.72,65.94,65.87,65.96,66.55,68.77,70.32,73.9,74.5,69.85,63.99,62.36,65.11,65.98,69.03,68.16,70.05,74.68,79.14,80.76,80.67,76.82,74.92,73.1,69.68,62.09,63.29,59.81,71.3,73.23,69.03,65.12,61.53,64.9,61.13,59.51,56.53,52.97,47.95,42.57,36.25,29.67,23.95,18.91,18.54
8,194430,East New York,New York,NY,New York-Newark-Jersey City,Kings,9,51.77,56.77,60.21,65.71,68.65,74.05,80.7,81.47,79.5,78.65,76.07,74.64,71.85,66.79,64.93,61.79,61.23,62.11,60.64,60.02,57.73,62.91,67.78,67.88,66.06,68.9,81.16,78.87,73.93,73.42,69.72,77.3,66.95,69.88,67.95,69.88,68.28,69.42,73.86,77.57,83.03,90.7,94.8,94.72,94.32,92.47,89.48,89.1,90.14,86.89,81.13,79.06,68.83,59.38,52.03,48.74,52.75,62.05,59.51,48.79
10,198687,Washington Heights,New York,NY,New York-Newark-Jersey City,New York,11,82.99,84.23,83.83,84.44,82.5,82.06,77.66,74.74,72.45,71.33,70.76,70.52,70.11,69.52,68.44,65.42,67.42,69.28,70.1,70.33,73.65,72.81,76.74,79.43,78.26,75.61,79.94,82.53,82.6,87.54,88.39,81.09,82.58,80.45,80.97,81.92,79.23,80.7,79.52,78.38,73.27,75.15,74.26,82.24,87.37,86.42,85.11,81.5,85.79,85.38,84.27,82.82,83.42,82.44,79.55,65.27,49.09,38.05,40.64,42.14
13,272816,Astoria,New York,NY,New York-Newark-Jersey City,Queens,14,87.51,85.57,84.16,84.75,84.95,86.51,78.26,76.39,72.81,69.32,69.52,69.72,69.83,68.94,68.91,65.88,65.44,64.41,69.84,70.3,70.67,70.13,64.86,62.96,59.29,57.09,73.22,76.69,77.83,77.07,75.94,87.25,88.87,91.68,95.06,91.56,94.98,94.53,95.86,96.13,95.62,98.08,96.25,94.65,93.98,91.3,92.65,91.98,93.72,92.13,89.57,89.88,82.93,74.73,71.99,67.63,70.31,72.24,61.68,61.28
15,272902,Bedford Stuyvesant,New York,NY,New York-Newark-Jersey City,Kings,16,94.09,93.38,92.02,90.1,89.73,88.43,92.46,90.14,89.52,88.01,87.26,88.52,86.37,85.78,85.45,87.29,88.7,88.61,86.44,84.18,81.64,77.93,76.4,73.78,70.39,65.53,73.59,72.36,66.72,71.75,75.89,90.27,89.58,89.07,86.82,86.85,85.42,85.21,84.67,80.85,78.4,77.6,78.44,76.76,74.42,64.67,64.12,62.79,65.87,64.24,63.62,62.91,60.28,60.52,57.55,52.37,57.84,64.46,55.15,27.92
16,199001,Williamsburg,New York,NY,New York-Newark-Jersey City,Kings,17,93.35,92.0,90.1,88.12,87.64,89.24,94.58,92.95,91.7,88.82,86.14,85.61,83.94,81.83,79.56,76.96,75.7,76.63,77.93,77.0,77.4,72.4,69.27,65.96,61.23,61.18,69.05,66.27,62.79,63.07,62.0,67.64,66.1,69.84,71.21,76.0,74.03,71.2,71.34,66.4,64.03,65.91,65.07,64.79,65.13,61.51,60.15,61.23,64.98,61.72,59.43,62.07,59.25,60.86,58.39,58.7,57.07,59.27,45.0,32.02
19,194737,Flatbush,New York,NY,New York-Newark-Jersey City,Kings,20,83.56,83.2,81.43,81.33,80.69,82.33,83.51,82.67,83.0,81.24,79.32,79.44,78.48,77.76,78.21,79.04,79.25,79.4,80.57,79.46,76.94,78.56,77.86,73.56,72.37,72.66,78.55,75.56,69.73,67.94,66.13,69.11,71.39,71.25,72.74,76.1,72.62,74.35,81.36,83.02,84.65,83.58,83.19,81.99,82.24,78.73,76.85,76.26,78.93,77.16,75.7,77.95,77.9,76.84,72.86,73.06,71.01,73.14,73.7,69.86
22,403222,Crown Heights,New York,NY,New York-Newark-Jersey City,Kings,23,89.73,88.39,87.48,86.98,88.04,89.65,95.79,94.18,92.61,90.73,91.8,90.92,90.57,89.95,89.08,88.74,90.5,91.86,94.81,94.09,90.97,92.58,91.71,88.88,80.56,75.62,81.31,80.95,79.34,76.45,75.55,91.72,89.07,88.82,88.28,88.71,87.42,84.49,82.91,79.08,70.28,66.97,68.82,72.1,74.19,69.65,69.47,68.31,71.33,57.89,50.76,51.33,51.78,50.38,45.92,45.32,50.43,56.81,47.18,26.37
23,25294,Jamaica,New York,NY,New York-Newark-Jersey City,Queens,24,75.35,77.16,78.39,81.35,82.84,83.24,86.16,83.15,81.41,82.22,82.61,82.3,83.08,82.46,80.78,77.81,76.89,75.38,79.24,86.89,90.28,89.96,89.7,89.51,84.55,80.69,79.41,80.63,83.54,86.23,85.56,97.02,96.58,94.43,96.78,97.81,98.01,98.1,97.17,96.04,95.12,96.26,94.76,94.36,92.37,85.05,87.68,84.51,86.26,88.71,86.0,85.77,86.66,81.88,82.69,85.49,89.92,92.17,88.39,66.27
25,343222,Williamsbridge,New York,NY,New York-Newark-Jersey City,Bronx,26,64.87,65.41,67.86,67.59,68.93,69.2,68.47,65.15,56.3,54.44,58.35,59.66,59.18,61.85,64.21,65.31,71.98,78.74,88.84,92.27,92.99,90.7,83.77,78.78,71.86,64.55,60.11,62.31,68.47,72.55,73.27,77.66,83.86,89.07,94.44,93.46,95.87,96.29,95.83,91.12,90.4,90.83,83.3,85.47,86.41,85.99,85.87,86.67,90.46,85.97,87.11,85.32,75.73,79.71,79.07,81.21,81.32,79.27,84.13,68.91
26,270828,East Harlem,New York,NY,New York-Newark-Jersey City,New York,27,82.3,84.38,81.21,80.36,81.16,79.01,82.67,80.51,81.04,80.63,79.0,77.77,77.73,77.19,77.68,79.02,80.11,80.09,77.23,73.3,66.9,71.75,74.98,74.31,67.62,63.0,72.6,77.56,82.52,88.77,87.45,81.19,84.5,87.87,87.8,86.89,85.61,85.07,83.65,81.29,80.01,76.96,77.44,84.42,78.98,75.47,71.42,68.32,74.01,69.35,65.78,60.49,58.73,53.79,50.08,46.58,36.97,30.23,28.58,25.24
31,193587,Bushwick,New York,NY,New York-Newark-Jersey City,Kings,32,88.65,89.84,90.91,88.13,84.77,85.61,91.4,91.77,91.4,88.98,83.9,80.39,79.73,82.55,82.65,86.37,89.13,90.25,93.76,91.92,85.73,84.62,84.05,81.58,81.46,78.32,91.1,90.4,85.55,81.04,84.16,85.61,77.78,76.49,81.64,82.46,81.04,89.37,88.53,88.18,86.15,84.5,82.25,78.7,75.74,75.03,71.36,67.81,70.6,69.85,70.52,66.55,57.36,51.35,49.18,42.59,34.86,36.69,28.1,17.56
32,194379,East Flatbush,New York,NY,New York-Newark-Jersey City,Kings,33,67.78,67.43,68.78,70.02,70.83,72.69,76.21,78.43,77.15,76.87,72.36,66.23,62.33,61.05,62.3,61.68,64.09,66.12,64.71,63.9,59.39,59.98,68.84,75.06,75.13,78.1,87.33,83.39,79.02,78.08,77.97,92.09,91.44,92.79,93.79,94.07,92.38,92.13,92.85,93.18,94.91,96.18,96.14,95.22,95.86,95.37,94.23,93.18,93.03,90.5,82.48,80.88,79.89,74.76,73.05,75.28,80.54,81.66,80.78,66.11
