,RegionID,RegionName,StateName,SizeRank,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
3,270958,Upper West Side,New York,4,6.0,7.0,7.0,6.0,8.0,6.0,8.0,6.0,6.0,4.0,12.0,5.0,3.0,8.0,10.0,5.0,10.0,7.0,9.0,2.0,6.0,3.0,4.0,6.0,5.0,3.0,8.0,3.0,13.0,0.0,5.0,11.0,5.0,7.0,6.0,10.0,5.0,8.0,3.0,10.0,4.0,2.0,7.0,2.0,8.0,6.0,6.0,7,5,3.0,15.0,6.0,5.0,3.0,9.0,10.0,10.0,5.0,8.0,5.0
5,270957,Upper East Side,New York,6,13.0,9.0,12.0,11.0,15.0,16.0,13.0,18.0,7.0,10.0,11.0,11.0,8.0,14.0,9.0,12.0,7.0,11.0,3.0,8.0,9.0,6.0,10.0,17.0,13.0,8.0,8.0,10.0,10.0,14.0,10.0,8.0,9.0,11.0,7.0,5.0,8.0,6.0,10.0,4.0,13.0,8.0,7.0,8.0,11.0,10.0,6.0,6,5,7.0,7.0,3.0,7.0,7.0,10.0,15.0,9.0,3.0,15.0,7.0
9,194430,East New York,New York,10,9.0,12.0,8.0,8.0,9.0,4.0,3.0,11.0,5.0,7.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,7.0,7.0,4.0,9.0,7.0,6.0,8.0,6.0,7.0,6.0,5.0,10.0,6.0,10.0,6.0,7.0,9.0,4.0,7.0,6.0,3.0,3.0,5.0,3.0,2.0,8.0,7.0,5.0,6,10,9.0,5.0,3.0,5.0,3.0,11.0,,,,,
13,272816,Astoria,New York,14,7.0,7.0,8.0,9.0,2.0,5.0,7.0,8.0,8.0,4.0,4.0,7.0,12.0,4.0,7.0,9.0,8.0,3.0,6.0,4.0,6.0,6.0,4.0,5.0,1.0,6.0,7.0,5.0,4.0,3.0,5.0,4.0,8.0,6.0,2.0,5.0,3.0,4.0,7.0,6.0,2.0,4.0,2.0,7.0,3.0,7.0,2.0,3,7,6.0,5.0,6.0,7.0,2.0,4.0,7.0,5.0,3.0,5.0,3.0
15,199001,Williamsburg,New York,16,6.0,6.0,3.0,8.0,3.0,8.0,6.0,9.0,3.0,3.0,2.0,6.0,1.0,3.0,2.0,7.0,4.0,11.0,5.0,6.0,3.0,4.0,4.0,1.0,3.0,0.0,2.0,1.0,11.0,5.0,8.0,1.0,5.0,8.0,5.0,4.0,0.0,4.0,1.0,7.0,2.0,7.0,3.0,2.0,3.0,4.0,9.0,6,3,1.0,1.0,3.0,3.0,1.0,2.0,5.0,,,,
21,403222,Crown Heights,New York,22,4.0,1.0,5.0,1.0,0.0,1.0,0.0,2.0,6.0,1.0,10.0,4.0,5.0,1.0,5.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,3.0,6.0,4,2,2.0,2.0,2.0,2.0,,,,,,,
22,25294,Jamaica,New York,23,14.0,25.0,22.0,15.0,15.0,28.0,23.0,25.0,12.0,16.0,23.0,23.0,14.0,15.0,24.0,14.0,15.0,12.0,18.0,14.0,29.0,19.0,12.0,16.0,21.0,18.0,22.0,17.0,15.0,16.0,15.0,19.0,22.0,18.0,19.0,23.0,16.0,17.0,27.0,17.0,18.0,14.0,19.0,18.0,18.0,13.0,30.0,30,14,19.0,23.0,20.0,24.0,23.0,16.0,17.0,10.0,24.0,16.0,14.0
23,195267,Harlem,New York,24,12.0,7.0,18.0,9.0,13.0,9.0,7.0,8.0,9.0,10.0,13.0,7.0,6.0,8.0,5.0,7.0,4.0,10.0,6.0,1.0,11.0,3.0,7.0,13.0,5.0,4.0,5.0,2.0,2.0,4.0,2.0,6.0,9.0,9.0,10.0,5.0,3.0,3.0,4.0,4.0,4.0,1.0,7.0,6.0,2.0,4.0,9.0,2,8,0.0,1.0,4.0,4.0,6.0,9.0,5.0,6.0,1.0,3.0,
25,270828,East Harlem,New York,26,6.0,1.0,0.0,7.0,0.0,5.0,4.0,0.0,4.0,2.0,1.0,2.0,0.0,7.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,3.0,2.0,4.0,2.0,0.0,2.0,2,2,0.0,2.0,0.0,2.0,1.0,1.0,,,,,
30,193587,Bushwick,New York,31,0.0,1.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,
