,RegionID,RegionName,StateName,SizeRank,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
3,270958,Upper West Side,New York,4,206.0,155.0,257.0,188.0,140.0,170.0,153.0,199.0,194.0,191.0,241.0,191.0,210.0,119.0,168.0,146.0,197.0,152.0,156.0,145.0,244.0,205.0,199.0,252.0,232.0,248.0,195.0,155.0,114.0,170.0,95.0,132.0,207.0,175.0,181.0,237.0,147.0,139.0,142.0,174.0,142.0,142.0,107.0,138.0,150.0,187.0,188.0,153,133,122.0,117.0,140.0,120.0,134.0,134.0,149.0,139.0,167.0,201.0,103.0
5,270957,Upper East Side,New York,6,246.0,181.0,254.0,194.0,177.0,178.0,146.0,197.0,186.0,218.0,249.0,176.0,180.0,171.0,165.0,166.0,155.0,186.0,170.0,157.0,214.0,218.0,213.0,226.0,175.0,167.0,255.0,142.0,182.0,234.0,170.0,164.0,190.0,201.0,211.0,202.0,165.0,120.0,123.0,170.0,131.0,137.0,126.0,200.0,199.0,211.0,209.0,163,159,136.0,224.0,193.0,141.0,133.0,136.0,151.0,156.0,184.0,187.0,146.0
9,194430,East New York,New York,10,7.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0,3,2.0,1.0,3.0,1.0,,,,,,,
13,272816,Astoria,New York,14,8.0,7.0,7.0,6.0,6.0,11.0,7.0,8.0,2.0,9.0,5.0,18.0,2.0,7.0,12.0,9.0,6.0,16.0,6.0,9.0,16.0,22.0,12.0,16.0,16.0,12.0,18.0,20.0,7.0,13.0,6.0,5.0,5.0,10.0,24.0,21.0,6.0,10.0,13.0,10.0,8.0,11.0,4.0,3.0,8.0,7.0,8.0,10,11,10.0,13.0,9.0,8.0,9.0,12.0,9.0,13.0,10.0,8.0,10.0
15,199001,Williamsburg,New York,16,36.0,39.0,40.0,44.0,40.0,26.0,25.0,39.0,37.0,35.0,32.0,43.0,44.0,23.0,40.0,36.0,28.0,28.0,80.0,36.0,44.0,44.0,50.0,116.0,36.0,32.0,42.0,24.0,43.0,61.0,45.0,36.0,42.0,53.0,47.0,56.0,35.0,53.0,79.0,69.0,40.0,45.0,46.0,33.0,53.0,43.0,52.0,44,23,27.0,28.0,33.0,15.0,24.0,25.0,21.0,20.0,26.0,18.0,13.0
21,403222,Crown Heights,New York,22,5.0,6.0,4.0,10.0,7.0,7.0,10.0,5.0,12.0,5.0,20.0,11.0,8.0,5.0,19.0,7.0,7.0,18.0,6.0,7.0,6.0,5.0,11.0,12.0,11.0,11.0,19.0,30.0,14.0,6.0,13.0,17.0,16.0,13.0,7.0,16.0,8.0,10.0,9.0,5.0,3.0,12.0,7.0,13.0,11.0,12.0,15.0,11,14,5.0,10.0,9.0,6.0,6.0,12.0,11.0,6.0,8.0,13.0,8.0
22,25294,Jamaica,New York,23,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,4.0,5,6,6.0,2.0,3.0,2.0,7.0,,,,,,
23,195267,Harlem,New York,24,21.0,18.0,18.0,20.0,13.0,24.0,19.0,35.0,29.0,17.0,26.0,12.0,24.0,29.0,21.0,32.0,35.0,29.0,27.0,17.0,33.0,18.0,24.0,24.0,22.0,24.0,20.0,14.0,18.0,19.0,12.0,23.0,17.0,30.0,21.0,15.0,22.0,19.0,36.0,31.0,33.0,23.0,19.0,22.0,28.0,20.0,27.0,16,13,16.0,14.0,20.0,14.0,13.0,14.0,15.0,15.0,24.0,12.0,17.0
25,270828,East Harlem,New York,26,23.0,11.0,18.0,33.0,10.0,20.0,10.0,18.0,17.0,12.0,22.0,11.0,12.0,6.0,16.0,11.0,13.0,16.0,8.0,5.0,30.0,8.0,11.0,13.0,7.0,10.0,14.0,3.0,9.0,12.0,20.0,15.0,12.0,13.0,18.0,14.0,10.0,15.0,9.0,11.0,6.0,5.0,7.0,6.0,10.0,11.0,18.0,8,6,7.0,8.0,12.0,10.0,4.0,3.0,9.0,6.0,9.0,17.0,10.0
30,193587,Bushwick,New York,31,0.0,0.0,35.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,7.0,8.0,2.0,3.0,2.0,0.0,2.0,2.0,8.0,8.0,2.0,1.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,1.0,2.0,2.0,5.0,7.0,6.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,6.0,6.0,0.0,3.0,4,4,3.0,5.0,4.0,5.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0
